b214eaa63fbada8ac6ed1d9fe527bf581e34cea26a683c91d1d9516c012a1c07,18795ad64c101ded0c26752d32d5b78731f9b64a9af67e1a4e1574bfc9f6d02e,76cad1037fd8ae94897dfcab1201c38afd8178e682663185c988c7f0824ff306,cd9b37d54a1964b0081126528aca464638e2423d53e85d418e36cab52654d0da,7e57c23b1e7afe876bbe880c93c4cf4eb4d9def973b2fdf0d831e4c805350459,0d34ef785c9489d74733c196aa35d7a066f3bbe76d900a86c537f27865ab0eee,4a380cd8ecd58bbf3dc87e1865362eb807c488a385da4ea361272da78e82c552,5437707d597fa878936ec4234655760fa50c953094a0b962b0304eb798314477,8a7d14d74cf1670fa22ecf96ab39ba7e18c4339f1a94d3684f938f6c705aed6c,373167100aa1c50a005de8e9f0e1cd52a827bc2af8c18ef9b97a830a67fc11d2,71ce2d713b59642d885477a80df4013eeff0d418c7e641d877651430c21e09f9,03d6121bd39b59e19c5ffbef5e260e35bb5cac411344c53dff2f575760542b12,35b7cd5b84475b357ebc7fa4893ac7de0dca4c03b4714ff8179b82bf03563ab4,7089a101635aec1e11bc85930122af140fbb059b229d07614ee13595b4f10638,90e6741533ee9e7992ad2d8ec4b4f948beb6a46c985180a8e04b131a5e8ecad7,214b3babe9dab3815bf1cb40e713ff65683521d6449e8dac2803e019c734640e,646beb876c266dafadcba0c771bb6c803779378840e4c4144e05d83b1e77a456,1636cb52adc6398fcbca146ca4d9bbcd23ce1e8b5f066da5c89b5facbfce7eba,411997a4a5411f9090a4449fc848308b3cc5e50396afbca02a84c0fae6474a21,a4a86d3c7e93f3414847d729cb34db6c201a59ff8de76764a436d0e9b1806530,f7d6af31345f92b694a133d61bc65085f9a9b338e4f493478af5ee14e587bffa
"2","0","1","0","1","31043","5000","0","0","1","0","0","90006","2","5000","30","91002","30","8","1001","0"
"2","0","2","0","31","31043","4500","0","0","1","0","0","90006","2","4500","25","91002","100","8","1001","0"
"2","0","3","0","101","31043","4000","0","0","1","0","0","90006","2","4000","20","91002","300","8","1001","0"
"2","0","4","0","301","31043","3500","0","0","1","0","0","90006","2","3500","18","91002","1000","8","1001","0"
"2","0","5","0","1001","31043","3000","0","0","1","0","0","90006","2","3000","16","91002","2000","8","1001","0"
"2","0","6","0","2001","31043","2000","0","0","1","0","0","90006","2","2000","14","91002","5000","8","1001","0"
"2","0","7","0","5001","31043","1500","0","0","1","0","0","90006","2","1500","12","91002","10000","8","1001","0"
"2","0","8","0","10001","31043","1000","0","0","1","0","0","90006","2","1000","10","91002","20000","8","1001","0"
"2","0","9","0","20001","31043","500","0","0","1","0","0","90006","2","500","5","91002","-1","8","1001","0"
"2","0","10","0","1","31022","5000","0","0","1","0","0","90006","2","20000","30","91002","1","8","1002","0"
"2","0","11","0","2","31022","5000","0","0","1","0","0","90006","2","15000","30","91002","2","8","1002","0"
"2","0","12","0","3","31022","5000","0","0","1","0","0","90006","2","12000","30","91002","3","8","1002","0"
"2","0","13","0","4","31022","5000","0","0","1","0","0","90006","2","10000","30","91002","20","8","1002","0"
"2","0","14","0","21","31022","4500","0","0","1","0","0","90006","2","8000","25","91002","50","8","1002","0"
"2","0","15","0","51","31022","4500","0","0","1","0","0","90006","2","6000","25","91002","100","8","1002","0"
"2","0","16","0","101","31022","4000","0","0","1","0","0","90006","2","4000","20","91002","250","8","1002","0"
"2","0","17","0","251","31022","3500","0","0","1","0","0","90006","2","3500","18","91002","500","8","1002","0"
