d8eba6e5c8dfd22b050991ca66391658b10ace3013a4f07382e5fdfd32d03979,03a0845070842baa24ec26b74efb8097a4a935f354c110802f8db0cad4a1be2d,c9e1a35351ddb81c8dee1aac7b257fc431381800bb0cdda14b7a7a0dc2b40aa4,58abb51bb1c5aa81a3e83f7a84ac91d34c9bb512868505a0ba1bb7d7f873a2fc,1e3e4b4908fa19585560ad3f30bc4f8e8da00dd3fae7aa94f52ef529412f2f20,56acff0e55701fbb26178d8d7f267a17f88aa3eb0a8109e0c52bcaf0288607b7,8e21b824109b7631f1de740319908775f2165466b073c8eb5eb8aa34aa4a168e,2d4ce1055eb61b599a1c5e37441927709464e4190bde8732da19766e90cf4903,74a7b052c01fd30dc0e42ddf716c75c62ef5e75da7066199096b4abce58f7a87,664483224aef61d570c07571d9e7cfed464763ae0f2d593b3fe4314f55f6de9b,b58511fba453fa291fbcfa1e1e856702535f33f23fd6e814736d6e3d1786b69f,09c4913a58c922528e245ef2d71a0047a69efccf0c341ede5cc454459dcbcb03
"0","1","0","0","0","3","4","1010001","1","0","0","1"
"0","1","0","0","0","0","2","1010002","0","vo_minigame_1005","vo_minigame_1005_nikki01_000","2"
"1","1","202","1.418","0","0","1","1010003","0","0","0","3"
"0","1","0","0","0","1","4","1010004","1.858","0","0","4"
"2","1","316","2.536","0","0","1","1010005","0","0","0","5"
"0","1","0","0","0","1","4","1010006","3.484","0","0","6"
"0","1","0","0","0","0","2","1010007","0","vo_minigame_1005","vo_minigame_1005_nikki01_001","7"
"3","1","183","1.131","0","0","1","1010008","0","0","0","8"
"0","1","0","0","0","1","4","1010009","1.407","0","0","9"
"3","1","318","1.043","183","0","1","1010010","0","0","0","10"
"0","1","0","0","0","1","4","1010011","1.719","0","0","11"
"3","1","389","0.69","318","0","1","1010012","0","0","0","12"
"0","1","0","0","0","1","4","1010013","0.69","0","0","13"
"4","1","244","1.694","0","0","1","1010014","0","0","0","14"
"0","1","0","0","0","1","4","1010015","2.204","0","0","15"
"4","1","384","1.298","244","0","1","1010016","0","0","0","16"
"0","1","0","0","0","1","4","1010017","1.298","0","0","17"
"5","1","67","1.118","0","0","1","1010018","0","0","0","18"
"0","1","0","0","0","1","4","1010019","1.199","0","0","19"
"5","1","103","0.958","67","0","1","1010020","0","0","0","20"
"0","1","0","0","0","1","4","1010021","1.269","0","0","21"
"5","1","394","1.373","103","0","1","1010022","0","0","0","22"
"0","1","0","0","0","1","4","1010023","1.373","0","0","23"
"6","1","0","0.193","0","0","1","1010024","0","0","0","24"
"0","1","0","0","0","1","4","1010025","0.552","0","0","25"
"6","1","368","2.64","0","0","1","1010026","0","0","0","26"
"0","1","0","0","0","1","4","1010027","3.195","0","0","27"
"7","1","64","0.599","0","0","1","1010028","0","0","0","28"
"0","1","0","0","0","1","4","1010029","0.929","0","0","29"
"7","1","315","1.302","64","0","1","1010030","0","0","0","30"
"0","1","0","0","0","1","4","1010031","2.395","0","0","31"
"0","1","0","0","0","0","2","1010032","0","vo_minigame_1005","vo_minigame_1005_nikki01_002","32"
"8","1","345","2.09","0","0","1","1010033","0","0","0","33"
"0","1","0","0","0","1","4","1010034","2.512","0","0","34"
"9","1","63","0.868","0","0","1","1010035","0","0","0","35"
"0","1","0","0","0","1","4","1010036","0.907","0","0","36"
"9","1","315","1.107","63","0","1","1010037","0","0","0","37"
"0","1","0","0","0","1","4","1010038","1.107","0","0","38"
"10","1","162","1.107","0","0","1","1010039","0","0","0","39"
"0","1","0","0","0","1","4","1010040","1.455","0","0","40"
"10","1","162","1.65","162","0","1","1010041","0","0","0","41"
"0","1","0","0","0","1","4","1010042","2.654","0","0","42"
"0","1","0","0","0","0","2","1010043","0","vo_minigame_1005","vo_minigame_1005_nikki01_003","43"
"10","1","262","0.685","162","0","1","1010044","0","0","0","44"
"0","1","0","0","0","1","4","1010045","1.036","0","0","45"
"10","1","397","0.378","262","0","1","1010046","0","0","0","46"
"0","1","0","0","0","1","4","1010047","0.378","0","0","47"
"11","1","377","2.438","0","0","1","1010048","0","0","0","48"
"0","1","0","0","0","1","4","1010049","3.395","0","0","49"
