6a2e1067629f430c1ed6a0d98de816e08240a8798007dfb0059d2d60d92bfd35,6d7ab1594941e720b73fd75c0ebd7cd61392be260142cc13c3c67f2788acd92a,6b78ad033b0ec8327892d01765c14adb78fe3379ebda9924a914a4bd03b20c29,382cf2f295fc1cb6d9449cd59299cfe296e8f05bba3c2e4402b085021f44da44,80e09d73446fb07baa6eb11f8dd09beceb34c453a87827b46dac2e6434401155,cb8eb34561a47ae42770a150e5a1dad09ee0516869128e6dd05841c333bb582a,dd5613695896edc98bfd3564fd7601d86028aa0a445b3a4f23672a2673184647,33861404244df872d39d9f7b9a76a245039c0a1a9a1807b64dea4d6c1562b592,1ecf4aebd52ef1e1eb8205f0af3cafcfa791446eea615cc8a7ca5d67ec885413,4f9d7b02db1d23f618f3c471c5f5138e8397a1f173333ea8b80c0c93c773b9f6,8f004077870c7d63fe8dbca399e60b6f858511d3de538dcb13981afee9ccaf87,82d4e18b7b7c275f03fdf10d754e872fca879eef97f7f6a07d477f2239669477,e71c6a8cd05f938f249a5302b89adfa8e4ba1ab4a526dafe62001932709a1157,87615a336dabd114d2f67e8a8c8dd7495694523c597c617a43ddef5a0ca7b23c,862a288b9a4c88601cfbd2044f1326966d042ca16036ed914c25c5217a78e495,f2bf436a99a09467efff9d4387020bd8ad4483b798c4c9dcca0c0fffc078a268,700bd97775ea225366f655009b021404e2282801ee7d306d8d1a056435fdce61,ba94f917cd749dcc10f853e8f9b29b418a0dd902444c9fa5d48cb5e7ae53219e,13edacf6d58d9549f4682d2c30307df877eff60b8848db2293bdccd552e56e1e,82f4815d260eb64175cadb5100ca0e5d402d43ee572499e42676d38aaa7d2212,0021976bc9e385267df730ed786d60da29176ed288a022ac3c2d7f544ef22756
"NONE","0","SpeedTerritoryA","0","2500","AccelBoardA","0","EnemyA","0","0","600","NONE","NONE","EnemyD","NONE","NONE","JumpOverTrap","3100","1000","1000","1800"
"NONE","0","WholeCake","0","2000","AccelBoardA","0","EnemyC","0","0","500","NONE","NONE","SpeedTerritoryA","NONE","NONE","AccelBoardA","3000","800","1001","1300"
"NONE","0","EnemyB_NoColl","0","1600","EnemyA_NoColl","0","Balloon","0","0","400","NONE","NONE","SpeedTerritoryA_NoColl","NONE","NONE","TrapA_NoCall","2000","1000","1002","1300"
"NONE","0","JumpOverTrap","0","3000","AccelBoardA","0","JumpOverTrap","0","0","700","NONE","NONE","EnemyB","NONE","NONE","AccelBoardA","3300","1500","1003","2300"
"NONE","0","SpeedTerritoryA","0","2700","EnemyA","0","JumpOverTrap","0","0","800","NONE","NONE","JumpOverTrap","NONE","NONE","NONE","0","1300","1004","1900"
"NONE","0","AccelBoardA","0","2600","JumpOverEnemyC","0","JumpBoard","0","0","300","NONE","NONE","SpeedTerritoryA","NONE","NONE","EnemyC","3300","1500","1005","2000"
"NONE","3700","JumpOverTrap","0","2500","TrapA","0","EnemyA","0","0","700","NONE","TrapA","TrapA","NONE","NONE","AccelBoardA","3000","1300","1006","1800"
"NONE","0","EnemyC","0","2400","EnemyC","0","AccelBoardA","0","0","500","NONE","NONE","JumpOverTrap","NONE","NONE","JumpOverTrap","3100","1300","1007","1800"
"NONE","3700","AccelBoardA","0","2700","JumpBoard","0","AccelBoardA","0","0","500","NONE","EnemyC","EnemyC","NONE","NONE","JumpOverTrap","3400","1100","1008","2300"
"NONE","3700","JumpOverTrap","0","2900","TrapA_NoCall","0","Balloon","0","0","400","NONE","SpeedTerritoryA","EnemyA_NoColl","NONE","NONE","JumpOverTrap","3300","1000","1009","2000"
"NONE","0","EnemyB","0","3000","SpeedTerritoryA","0","JumpOverTrap","0","0","400","NONE","NONE","JumpOverTrap","NONE","NONE","JumpOverTrap","3500","1400","1010","2200"
"NONE","3300","JumpOverTrap","0","2400","SpeedTerritoryA","0","EnemyH","0","0","400","NONE","AccelBoardA","JumpBoard","NONE","NONE","EnemyA","2800","900","1011","1500"
"NONE","0","JumpBoard","0","2850","SpeedTerritoryA_NoColl","0","Balloon","0","0","300","NONE","NONE","SpeedTerritoryA_NoColl","NONE","NONE","EnemyB","3750","1200","1012","2200"
"NONE","0","EnemyH","0","2600","AccelBoardA","0","SpeedTerritoryA","0","0","900","NONE","NONE","TrapA","NONE","NONE","TrapA","3300","1400","1013","2100"
"NONE","3000","JumpOverEnemyB","0","2200","SpeedTerritoryA","0","WholeCake","0","3500","400","NONE","AccelBoardA","TrapA","NONE","JumpOverEnemyB","JumpOverTrap","2600","1400","1014","1800"
"NONE","0","TrapA_NoCall","0","2500","EnemyA_NoColl","0","Balloon","0","0","600","NONE","NONE","SpeedTerritoryA_NoColl","NONE","NONE","EnemyC","3700","1100","1015","1900"
"NONE","0","TrapA","0","3300","EnemyB","0","AccelBoardA","0","0","600","NONE","NONE","AccelBoardA","NONE","NONE","NONE","0","1400","1016","2300"
"NONE","0","AccelBoardA","0","2500","EnemyB","0","AccelBoardA","0","0","400","NONE","NONE","WholeCake","NONE","NONE","TrapA","3300","1200","1017","1600"
"NONE","2900","EnemyB_NoColl","0","1900","TrapA","0","TrapA","0","0","600","NONE","EnemyB_NoColl","Balloon","NONE","NONE","EnemyA_NoColl","2400","900","1018","1100"
"NONE","3800","EnemyA","0","2500","TrapA","0","TrapA","0","0","500","NONE","TrapA","TrapA","NONE","NONE","AccelBoardA","3000","1200","1019","2000"
"NONE","3100","TrapA","0","2300","JumpBoard","0","AccelBoardA","0","3700","400","NONE","EnemyH","TrapA","NONE","EnemyH","TrapA","2700","900","1020","1900"
"NONE","0","TrapA_NoCall","0","2400","Balloon","0","EnemyB","0","0","400","NONE","NONE","EnemyA_NoColl","NONE","NONE","AccelBoardA","3400","700","1021","1550"
"NONE","0","AccelBoardA","0","2500","TrapA","0","EnemyC","0","0","800","NONE","NONE","TrapA","NONE","NONE","SpeedTerritoryA","3400","1200","1022","1800"
"NONE","3500","WholeCake","0","2000","TrapA","0","EnemyD","0","0","500","NONE","TrapA","JumpOverEnemyC","NONE","NONE","TrapA","3000","1000","1023","1500"
"NONE","3200","SpeedTerritoryA_NoColl","0","1800","Balloon","0","EnemyC","0","3700","400","NONE","TrapA","EnemyA_NoColl","NONE","JumpOverEnemyC","EnemyB_NoColl","2300","600","1024","1300"
"NONE","0","AccelBoardA","0","2700","AccelBoardA","0","EnemyB","0","0","900","NONE","NONE","AccelBoardA","NONE","NONE","AccelBoardA","3400","1300","1025","2000"
"NONE","0","JumpBoard","0","2500","AccelBoardA","0","EnemyB","0","0","400","NONE","NONE","WholeCake","NONE","NONE","NONE","0","800","1026","1500"
