2badbf66164b454b22b487e07ee5d12f5df5071bf987f04cb9562a16c842afc9,fc8d50b30f31cc5a1aada3c83f664d14865b5fe76b816911161beef2c05903c4,a64ca319f4ab9bc0ea1518b588b818ba452bf43dceb0d46210de72f63fa7a337,f0a88ebe1baa1fd51a2ef5efeafbcb553d51fea86879a026735d885219f76182,b2454412ac5d21f487814da044676945d16593f5604f1edfb2c768d59d2d952c,41741da2a26176c4e40e561eac438585ed9704c044b8eab5ae5b787fd28a34b2,012b16d1bbc567d52f06e7da1f915ef7cfc5cdf0604d872d1c7a5bedee1529cc
"角色歌曲\n\n時間 / 01:33\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　可可蘿（伊藤美来）\n　　　凱留（立花理香）\n作詞 / しほり\n作曲 / 田中公平\n編曲 / 根岸貴幸","bgm_M152","00:58","01:33","1","Lost Princess","bgm_M152"
"角色歌曲\n\n時間 / 01:56\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　可可蘿（伊藤美来）\n　　　凱留（立花理香）\n作詞 / 畑亜貴\n作曲 / 高尾奏之介（F.M.F）\n編曲 / 奈良悠樹","bgm_M153","01:01","01:56","2","Connecting Happy!!","bgm_M153"
"主線冒險\n\n時間 / 01:48\n作曲 / 本田晃弘（Cygames）\n編曲 / 伊藤翼","bgm_M61","00:00","01:48","3","踏上旅程","bgm_M61_juke"
"主線冒險\n\n時間 / 01:35\n作曲 / 本田晃弘（Cygames）\n編曲 / カワイヒデヒロ","bgm_M62","00:00","01:35","4","穿過森林的風","bgm_M62_juke"
"戰隊競賽\n\n時間 / 01:18\n作曲 / 西木康智\n編曲 / 西木康智","bgm_M90","00:00","01:18","5","梅莎路提姆","bgm_M90_juke"
"故事劇情主題曲\n-「Smiley Contrast」編曲-\n\n時間 / 01:02\n作曲 / 渡部チェル\n編曲 / 加藤慶","bgm_M32","00:00","01:02","6","初音的禮物大作戰","bgm_M32_juke"
"故事劇情頭目戰\n\n時間 / 02:34\n作曲 / 多田彰文\n編曲 / 多田彰文","bgm_M47","00:00","02:34","7","席茲","bgm_M47_juke"
"角色歌曲\n\n時間 / 01:40\n演唱　 / 初音（大橋彩香）\n　　　栞（小清水亜美）\n作詞 / 磯谷佳江\n作曲 / 渡部チェル\n編曲 / 渡部チェル","bgm_M149","00:57","01:40","8","Smiley Contrast","bgm_M149"
"戰隊競賽\n\n時間 / 00:59\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M97","00:00","00:59","9","牛頭怪","bgm_M97_juke"
"故事劇情主題曲\n-「小小冒險」編曲-\n\n時間 / 01:00\n作曲 / 池田健仁\n編曲 / 西村真吾","bgm_M98","00:00","01:00","10","小小甜心大冒險","bgm_M98_juke"
"故事劇情頭目戰\n\n時間 / 02:31\n作曲 / 西木康智\n編曲 / 西木康智","bgm_M102","00:00","02:31","11","阿爾瑪","bgm_M102_juke"
"角色歌曲\n\n時間 / 01:22\n演唱　 / 鏡華（小倉唯）\n　　　禊（諸星すみれ）\n　　　美美（日高里菜）\n作詞 / Mitsu\n作曲 / 池田健仁\n編曲 / 池田健仁","bgm_M145","00:45","01:22","12","小小冒險","bgm_M145"
"戰隊競賽\n\n時間 / 01:07\n作曲 / 江原大介\n編曲 / 江原大介","bgm_M139","00:00","01:07","13","大胃王","bgm_M139_juke"
"故事劇情主題曲\n-「還要！兩人的派～對～夜～」編曲-\n\n時間 / 01:01\n作曲 / TAKT\n編曲 / 西村真吾","bgm_M135","00:00","01:01","14","不給布丁就搗蛋！約定的萬聖節派對","bgm_M135_juke"
"故事劇情頭目戰\n\n時間 / 02:26\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M138","00:00","02:26","15","傑克南瓜布丁","bgm_M138_juke"
"角色歌曲\n\n時間 / 01:21\n演唱　 / 忍（大坪由佳）\n　　　宮子（雨宮天）\n作詞 / 亀井博之（Cygames）\n作曲 / TAKT\n編曲 / TAKT","bgm_M161","00:46","01:21","16","還要！兩人的派～對～夜～","bgm_M161"
"主線冒險\n\n時間 / 01:31\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M140","00:00","01:31","17","閃耀的冰晶","bgm_M140_juke"
"角色歌曲\n\n時間 / 02:01\n演唱　 / 望（日笠陽子）\n　　　千歌（福原綾香）\n　　　紡希（木戸衣吹）\n作詞 / 莊野ジュリ\n作曲 / 武田城以\n編曲 / TAKT","bgm_M150","01:00","02:01","18","Shining Future","bgm_M150"
"角色歌曲\n\n時間 / 01:31\n演唱　 / 千歌（福原綾香）\n作詞 / 野村イクミ\n作曲 / 內海孝彰\n編曲 / 內海孝彰","bgm_M143","00:37","01:31","19","向風起誓","bgm_M143"
"角色歌曲\n\n時間 / 01:47\n演唱　 / 望（日笠陽子）\n作詞 / Manami\n作曲 / 內海孝彰\n編曲 / 岡野裕次郎","bgm_M144","00:54","01:47","20","因為想看到你的笑容","bgm_M144"
"角色歌曲\n\n時間 / 01:34\n演唱　 / 紡希（木戸衣吹）\n作詞 / 磯谷佳江\n作曲 / 磯谷佳江\n編曲 / 內海孝彰","bgm_M148","00:48","01:34","21","無法坦率的心！","bgm_M148"
"主線冒險\n\n時間 / 01:46\n作曲 / 本田晃弘（Cygames）\n編曲 / 岡出莉菜","bgm_M42","00:00","01:46","22","向詭譎氣氛挺身而出的鬥志","bgm_M42_juke"
"戰隊競賽\n\n時間 / 01:07\n作曲 / 西木康智\n編曲 / 西木康智","bgm_M104","00:00","01:07","23","野豬雙胞胎","bgm_M104_juke"
"故事劇情主題曲\n-「Peaceful*沖繩雜炒」編曲-\n\n時間 / 00:54\n作曲 / 小野貴光\n編曲 / 東大路憲太","bgm_M106","00:00","00:54","24","吸血鬼獵人with伊莉亞","bgm_M106_juke"
"故事劇情頭目戰\n\n時間 / 03:18\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M109","00:00","03:18","25","加爾格","bgm_M109_juke"
"角色歌曲\n\n時間 / 01:30\n演唱　 / 真步（内田真礼）\n　　　香織（高森奈津美）\n作詞 / 磯谷佳江\n作曲 / 小野貴光\n編曲 / 玉木千尋","bgm_M151","00:44","01:30","26","Peaceful*沖繩雜炒","bgm_M151"
"戰隊競賽\n\n時間 / 01:12\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M166","00:00","01:12","27","天蠍毒者","bgm_M166_juke"
"故事劇情主題曲\n-「最強對吧，對吧？」編曲-\n\n時間 / 01:30\n作曲 / Heart's Cry\n編曲 / 多田彰文","bgm_M162","00:00","01:30","28","暮光破壞者","bgm_M162_juke"
"故事劇情頭目戰\n\n時間 / 02:02\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M165","00:00","02:02","29","奧拉姆","bgm_M165_juke"
"角色歌曲\n\n時間 / 01:22\n演唱　 / 杏奈（髙野麻美）\n　　　七七香（佳村はるか）\n作詞 / Heart's Cry\n作曲 / Heart's Cry\n編曲 / Heart's Cry","bgm_M176","00:42","01:22","30","最強對吧，對吧？","bgm_M176"
"主線冒險\n\n時間 / 02:05\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M141","00:00","02:05","31","冰海之地","bgm_M141_juke"
"主線冒險\n\n時間 / 01:08\n作曲 / 西村真吾\n編曲 / 西村真吾","bgm_M58","00:00","01:08","32","冰天雪地","bgm_M58_juke"
"主線冒險\n\n時間 / 01:05\n作曲 / 加藤慶\n編曲 / 加藤慶","bgm_M101","00:00","01:05","33","涼爽的風","bgm_M101_juke"
"戰隊競賽\n\n時間 / 01:02\n作曲 / 白井友規（Cygames）\n編曲 / 白井友規（Cygames）","bgm_M115","00:00","01:02","34","加爾基諾司","bgm_M115_juke"
"故事劇情主題曲\n-「充滿笑容的家」編曲-\n\n時間 / 01:05\n作曲 / Lucas\n編曲 / 西村真吾","bgm_M112","00:00","01:05","35","危險的假期海岸邊的美食家公主","bgm_M112_juke"
"故事劇情頭目戰\n\n時間 / 02:10\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M116","00:00","02:10","36","天塔帕斯","bgm_M116_juke"
"角色歌曲\n\n時間 / 01:40\n演唱　 / 咲戀（堀江由衣）\n　　　鈴莓（悠木碧）\n作詞 / Mitsu\n作曲 / Lucas\n編曲 / Lucas","bgm_M147","01:00","01:40","37","充滿笑容的家","bgm_M147"
"戰隊競賽\n\n時間 / 00:45\n作曲 / 庄司真吾（Cygames）\n編曲 / 庄司真吾（Cygames）","bgm_M175","00:00","00:45","38","人馬座","bgm_M175_juke"
"故事劇情主題曲\n-「Ding Dong Holy Night♪」編曲-\n\n時間 / 00:55\n作曲 / 馬淵直純\n編曲 / 中村早織（Cygames）","bgm_M171","00:00","00:55","39","忘却的頌歌","bgm_M171_juke"
"故事劇情頭目戰\n\n時間 / 02:57\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M172","00:00","02:57","40","霧奇","bgm_M172_juke"
"角色歌曲\n\n時間 / 01:28\n演唱　 / 綾音（芹澤優）\n　　　胡桃（植田佳奈）\n作詞 / 磯谷佳江\n作曲 / 馬淵直純\n編曲 / 馬淵直純","bgm_M187","00:42","01:28","41","Ding Dong Holy Night♪","bgm_M187"
"主線冒險\n\n時間 / 00:57\n作曲 / 多田彰文\n編曲 / 多田彰文","bgm_M93","00:00","00:57","42","險峻枯原","bgm_M93_juke"
"戰隊競賽\n\n時間 / 01:06\n作曲 / 庄司真吾（Cygames）\n編曲 / 西村真吾","bgm_M119","00:00","01:06","43","奧爾獅","bgm_M119_juke"
"故事劇情主題曲\n-「閃亮亮☆Happiness！」編曲-\n\n時間 / 01:10\n作曲 / 齊藤裕也\n編曲 / 西村真吾","bgm_M121","00:00","01:10","44","珠希和美冬的無人島0盧幣生活","bgm_M121_juke"
"故事劇情頭目戰\n\n時間 / 02:35\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M124","00:00","02:35","45","島鯨","bgm_M124_juke"
"角色歌曲\n\n時間 / 01:20\n演唱　 / 珠希（沼倉愛美）\n　　　美冬（田所あずさ）\n　　　秋乃（松嵜麗）\n　　　優花梨（今井麻美）\n作詞 / joru\n作曲 / 齊藤裕也\n編曲 / 齊藤裕也","bgm_M146","00:42","01:20","46","閃亮亮☆Happiness！","bgm_M146"
"主線冒險\n\n時間 / 01:20\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M179","00:00","01:20","47","新的出航","bgm_M179_juke"
"戰隊競賽\n\n時間 / 00:58\n作曲 / 加藤慶\n編曲 / 加藤慶","bgm_M181","00:00","00:58","48","阿爾珈提","bgm_M181_juke"
"故事劇情主題曲\n-「TwinkleStars」編曲-\n\n時間 / 00:58\n作曲 / 石濱翔（MONACA）\n編曲 / 東大路憲太","bgm_M182","00:00","00:58","49","新春破曉之星大危機！","bgm_M182_juke"
"故事劇情頭目戰\n\n時間 / 02:32\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M183","00:00","02:32","50","邪餅神鏡餅","bgm_M183_juke"
"角色歌曲\n\n時間 / 01:24\n演唱　 / 優衣（種田梨沙）\n　　　日和（東山奈央）\n　　　怜（早見沙織）\n作詞 / 野村イクミ（Cygames）\n作曲 / 石濱翔（MONACA）\n編曲 / 石濱翔（MONACA）","bgm_M202","00:45","01:24","51","TwinkleStars","bgm_M202"
"主線冒險\n\n時間 / 01:26\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M94","00:00","01:26","52","酷熱沙漠","bgm_M94_juke"
"戰隊競賽\n\n時間 / 01:25\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M132","00:00","01:25","53","美杜莎","bgm_M132_juke"
"故事劇情主題曲\n-｢Aloofness Code｣編曲-\n\n時間 / 01:29\n作曲 / 小野貴光\n編曲 / 多田彰文","bgm_M128","00:00","01:29","54","黑鐵的亡靈（Nightmare）","bgm_M128_juke"
"故事劇情頭目戰\n\n時間 / 02:28\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M131","00:00","02:28","55","亡靈鎧甲","bgm_M131_juke"
"角色歌曲\n\n時間 / 01:20\n歌　 / 純（川澄綾子）\n　　　克莉絲提娜（たかはし智秋）\n　　　智（茅原実里）\n　　　茉莉（下田麻美）\n作詞 / a*mu\n作曲 / 小野貴光\n編曲 / 玉木千尋","bgm_M154","00:46","01:20","56","Aloofness Code","bgm_M154"
"角色歌曲\n\n時間 / 01:13\n歌　 / 凱留（立花理香）\n作詞 / corochi（Cygames）\n作曲 / 馬淵直純\n編曲 / 馬淵直純","bgm_M214","00:44","01:13","57","Absolute Secret","bgm_M214"
"戰隊競賽\n\n時間 / 01:00\n作曲 / 加藤慶\n編曲 / 加藤慶","bgm_M186","00:00","01:00","58","水之里歐斯","bgm_M186_juke"
"故事劇情主題曲\n-｢SUPER CHOCOLATE｣アレンジ-\n\n時間 / 01:02\n作曲 / 山崎真吾\n編曲 / 藤原宏惠","bgm_M189","00:00","01:02","59","情人節之戰！正中紅心的甜蜜戰鬥","bgm_M189_juke"
"故事劇情頭目戰\n\n時間 / 02:24\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M192","00:00","02:24","60","醜陋可愛","bgm_M192_juke"
"角色歌曲\n\n時間 / 01:15\n歌　 / 靜流（生天目仁美）\n　　　璃乃（阿澄佳奈）\n作詞 / 坂井龍二\n作曲 / 山崎真吾\n編曲 / 山崎真吾","bgm_M200","00:40","01:15","61","SUPER CHOCOLATE","bgm_M200"
"主線冒險\n\n時間 / 01:07\n作曲 / 石塚玲衣\n編曲 / 石塚玲衣","bgm_M118","00:00","01:07","62","砂海綠洲","bgm_M118_juke"
"主線冒險\n\n時間 / 01:20\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M180","00:00","01:20","63","不可思議的森林","bgm_M180_juke"
"戰隊競賽\n\n時間 / 01:00\n作曲 / 中村早織（Cygames）\n編曲 / 中村早織（Cygames）","bgm_M205","00:00","01:00","64","托爾披頓","bgm_M205_juke"
"故事劇情主題曲\n-｢未解明的心意｣編曲-\n\n時間 / 00:39\n作曲 / 出口遼\n編曲 / 庄司真吾（Cygames）","bgm_M206","00:00","00:39","65","王都的名偵探　嘆息的追緝者","bgm_M206_juke"
"故事劇情頭目戰\n\n時間 / 02:09\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","bgm_M209","00:00","02:09","66","哀嘆之女神","bgm_M209_juke"
