ec419b62449882cb3243d5e5a7b10fbb1d2a14931f83abc0b825a45bab527297,e7e9a3ccb54b7b1db203d17544d3599f0b93834bc1d7ad825f8a47feeed73386,56db9a5b10a7e3f8964c72cfcb569de3bc3a79e66189f054a67198169ee87000,c09b168d3bda7374e1b29a0bff96df7a23e72742278f6dd19ba2b28455edf631,a802f160208a50fa258bef7345d21cc6582c12959a11cd3eea79abfd983d488e,f6be79646f063850985fee51017d0b738787f9ce1c809a92a2c504d27d09b149,27c2ae7477fe518b9ae352327b96337cd3d8b103e52da79b08f691c83d2d58fc,786ab59a75e6da741bd763b16415031698c06e81980ffedb37969345f7083e28,10378835120267adc99de237a979646c6317355e05a86d578572c3becba5630b,d0a34efcfd78c178111694dd04c3d8bff596f1de10cd245cfadd82f8eaa0b44d
"0","序幕","令人懷念的往日結晶","0","0","0","0","10138104","5110601","10110"
"0","尾狗刀的懷想　其一","誰才是隊長！","30","1","8","91002","10138104","5110602","10110"
"0","尾狗刀的懷想　其二","想獲勝的理由","30","1","8","91002","10138105","5110603","10110"
"0","克莉絲提娜的懷想　其一","善於傾聽的誓約女君","30","1","8","91002","10138108","5110604","10110"
"0","大吾的懷想　其一","隱藏的真正實力……？","30","1","8","91002","10138109","5110605","10110"
"0","拉比林斯達的懷想　其一","寫作朋友，讀作對手","30","1","8","91002","10138110","5110606","10110"
"0","真軌的懷想","惡與正義的放聲大笑","30","1","8","91002","10138112","5110607","10110"
"0","拉基拉基的懷想　其一","所謂的公主騎士","30","1","8","91002","10138113","5110608","10110"
"0","尾狗刀的懷想　其三","遙想未來的日子","30","1","8","91002","10138114","5110609","10110"
"0","拉基拉基的懷想　其二","跳躍王的懲罰","30","1","8","91002","10139103","5111602","10111"
"0","克莉絲提娜的懷想　其二","兩人一起絕對能做到","30","1","8","91002","10139105","5111603","10111"
"0","大吾的懷想　其二","踩虎尾","30","1","8","91002","10139108","5111604","10111"
"0","拉比林斯達的懷想　其二","最可疑的七冠是誰","30","1","8","91002","10139109","5111605","10111"
"0","似似花的懷想","過於簡單的問題","30","1","8","91002","10139110","5111606","10111"
"0","尾狗刀的懷想　其四","魔物使如是說","30","1","8","91002","10139113","5111607","10111"
"0","尾狗刀的懷想　其五","惡徒們追尋的未來","30","1","8","91002","10139113","5111608","10111"
"1","終幕","超越過去，創造回憶","1","0","16","9000222","0","5111609","10111"
