927bbf42fe2071d9ce23485a94b7056cb5ef44dd6c291dacfd1baba7d6229b25,886923d8a470ab25fde85759f0c077282f113eee7b29a10bf16c509ecb41f531,e65e26a84ef82b9e695c854d75e58684a1ec350630937f6c7043a9fe00327353,590875c6de891c5094ffbecc4c06d083d6232c8695ae7151b7117ccdb641ea14,ca9faad531302c8cb0fc796f8951971f4923b1fe1318fa820ad88997c7cbcc7e,3f1cf7366aec0600c60e33253bac3abbe6b45e010cb27f2fbbaadcdfe96384ed,95869e31460c29d53ca2a68286f3431dd630b5de248bb07100f442ecbe553773
"01:33","Lost Princess","bgm_M152","bgm_M152","角色歌曲\n\n時間 / 01:33\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　可可蘿（伊藤美来）\n　　　凱留（立花理香）\n作詞 / しほり\n作曲 / 田中公平\n編曲 / 根岸貴幸","00:58","1"
"01:56","Connecting Happy!!","bgm_M153","bgm_M153","角色歌曲\n\n時間 / 01:56\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　可可蘿（伊藤美来）\n　　　凱留（立花理香）\n作詞 / 畑亜貴\n作曲 / 高尾奏之介\n編曲 / 奈良悠樹","01:01","2"
"01:48","踏上旅程","bgm_M61_juke","bgm_M61","主線冒險\n\n時間 / 01:48\n作曲 / 本田晃弘（Cygames）\n編曲 / 伊藤翼","00:00","3"
"01:35","穿過森林的風","bgm_M62_juke","bgm_M62","主線冒險\n\n時間 / 01:35\n作曲 / 本田晃弘（Cygames）\n編曲 / カワイヒデヒロ","00:00","4"
"01:18","梅莎路提姆","bgm_M90_juke","bgm_M90","戰隊競賽\n\n時間 / 01:18\n作曲 / 西木康智\n編曲 / 西木康智","00:00","5"
"01:02","初音的禮物大作戰","bgm_M32_juke","bgm_M32","故事劇情主題曲\n-「Smiley Contrast」編曲-\n\n時間 / 01:02\n作曲 / 渡部チェル\n編曲 / 加藤慶","00:00","6"
"02:34","席茲","bgm_M47_juke","bgm_M47","故事劇情頭目戰\n\n時間 / 02:34\n作曲 / 多田彰文\n編曲 / 多田彰文","00:00","7"
"01:40","Smiley Contrast","bgm_M149","bgm_M149","角色歌曲\n\n時間 / 01:40\n演唱　 / 初音（大橋彩香）\n　　　栞（小清水亜美）\n作詞 / 磯谷佳江\n作曲 / 渡部チェル\n編曲 / 渡部チェル","00:57","8"
"00:59","牛頭怪","bgm_M97_juke","bgm_M97","戰隊競賽\n\n時間 / 00:59\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","9"
"01:00","小小甜心大冒險","bgm_M98_juke","bgm_M98","故事劇情主題曲\n-「小小冒險」編曲-\n\n時間 / 01:00\n作曲 / 池田健仁\n編曲 / 西村真吾","00:00","10"
"02:31","阿爾瑪","bgm_M102_juke","bgm_M102","故事劇情頭目戰\n\n時間 / 02:31\n作曲 / 西木康智\n編曲 / 西木康智","00:00","11"
"01:22","小小冒險","bgm_M145","bgm_M145","角色歌曲\n\n時間 / 01:22\n演唱　 / 鏡華（小倉唯）\n　　　禊（諸星すみれ）\n　　　美美（日高里菜）\n作詞 / Mitsu\n作曲 / 池田健仁\n編曲 / 池田健仁","00:45","12"
"01:07","大胃王","bgm_M139_juke","bgm_M139","戰隊競賽\n\n時間 / 01:07\n作曲 / 江原大介\n編曲 / 江原大介","00:00","13"
"01:01","不給布丁就搗蛋！約定的萬聖節派對","bgm_M135_juke","bgm_M135","故事劇情主題曲\n-「還要！兩人的派～對～夜～」編曲-\n\n時間 / 01:01\n作曲 / TAKT\n編曲 / 西村真吾","00:00","14"
"02:26","傑克南瓜布丁","bgm_M138_juke","bgm_M138","故事劇情頭目戰\n\n時間 / 02:26\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","15"
