72f1e6ee8b07b23915cbce484811a24600ce2da1137bf139bb7f4a092491f93b,33b14f08d246ecb1d8b6e00e11ef35055e06736f1fc57679a6441f86d4287e97,672a4d5ca8c2327dde07a27c7a05c15bd0e24e29326c539e5e52adcb2395cd5c,5c92e0ec6f762f4f42a1eaeb010117b97d4982a0b0401d2ccf689029417a481c,7ecb6c66eff31e73a22bb2a99976ea8b0256c1ededf116d53df89c28ebd33eae,eadc24e9971bf57f743a1db56c4736cb9569448664c1fdc3b47870ff0892d366,149c7d900cf3e84d38c3268fd855b5f68f2cfd235fb66eb05fc6a4c36f5d840f,bd7028e87f756133296114d3930e0cae64ee34fc72eced0719e11aced4ee7e99
"0","0","短時間內，展開障礙物護盾！","3","2001","短時間內，展開障礙物護盾　　　　（TP上升率：大）","101","0"
"5","5","中時間內，小幅度提升速度與跳躍力！","5","3","中時間內，小幅度提升速度與　　　跳躍力（TP上升率：小）","102","0"
"6","0","短時間內，中幅度提升速度！","4","1","短時間內，中幅度提升速度　　　　（TP上升率：中）","103","0"
"0","0","中時間內，展開障礙物護盾！","5","2001","中時間內，展開障礙物護盾　　　　（TP上升率：小）","104","0"
"3","0","中時間內，小幅度提升速度！","6","1","中時間內，小幅度提升速度　　　　（TP上升率：小）","105","0"
"4","0","中時間內，對戰對手小幅度減速！","6","1001","中時間內，對戰對手小幅度減速　　（TP上升率：大）","106","0"
"17","16","中時間內，特大幅度提升速度與跳躍力！","5","3","中時間內，特大幅度提升速度與　　跳躍力（TP上升率：小）","107","0"
"8","0","回合內，中幅度提升速度！","40","1","回合內，中幅度提升速度　　　　　（TP上升率：小）","108","0"
"30","0","短時間內，特大幅度提升速度！","4","1","短時間內，特大幅度提升速度　　　（TP上升率：特小）","109","0"
"10","0","回合內，對戰對手大幅度減速！","40","1001","回合內，對戰對手中幅度減速　　　（TP上升率：小）","110","0"
"0","0","極短時間內，展開障礙物護盾！","1","2001","極短時間內，展開障礙物護盾　　　（TP上升率：大）","111","0"
"15","0","短時間內，最前方對戰對手大幅度減速！","4","1004","短時間內，最前方對戰對手　　　　大幅度減速（TP上升率：小）","112","0"
"5","0","中時間內，小幅度提升速度！","6","1","中時間內，小幅度提升速度　　　　（TP上升率：大）","113","0"
"5","0","中時間內，小幅度提升跳躍力！","5","2","中時間內，小幅度提升跳躍力　　　（TP上升率：大）","114","0"
"0","0","長時間內，以護盾防止能力降低！","7","2002","長時間內，以護盾防止能力降低　　（TP上升率：特大）","115","0"
"3","0","累積時，小幅度提升速度！","25","1","累積時，小幅度提升速度　　　　　（TP上升率：特大）","116","0"
"3","0","累積時，對戰對手小幅度減速！","25","1001","累積時，對戰對手小幅度減速　　　（TP上升率：特大）","117","0"
"30","20","長時間內，特大幅度提升速度與跳躍力！","7","3","長時間內，特大幅度提升速度與　　跳躍力（TP上升率：中）","118","0"
"15","0","短時間內，最前方對戰對手大幅度減速！","4","1004","短時間內，最前方的對戰對手　　　大幅度減速（TP上升率：中）","119","0"
"0","0","長時間內，以護盾防止能力降低！","7","2002","長時間內，以護盾防止能力降低　　（TP上升率：大）","120","0"
"30","0","長時間內，特大幅度提升跳躍力！","12","2","長時間內，特大幅度提升跳躍力　　（TP上升率：中）","121","0"
"15","0","累積時，最前方的對戰對手大幅度減速！","30","1004","累積時，最前方的對戰對手　　　　大幅度減速（TP上升率：中）","122","0"
"11","2","短時間大幅度加速後，極短時間減速！","4","4","短時間大幅度加速後，減速　　　　（TP上升率：大）","123","8"
"9","0","長時間內，中幅度提升速度！","8","1","長時間內，中幅度提升速度　　　　（TP上升率：大）","124","0"
"0","0","短時間內，展開障礙物護盾！","4","2001","短時間內，展開障礙物護盾　　　　（TP上升率：中）","125","0"
"3","0","累積時，對戰對手小幅度減速！","30","1001","累積時，對戰對手小幅度減速　　　（TP上升率：特大）","126","0"
"22","0","長時間內，特大幅度提升速度！","10","1","長時間內，特大幅度提升速度　　　（TP上升率：特小）","127","0"
"30","0","中時間內，特大幅度提升跳躍力！","4","2","短時間內，特大幅度提升跳躍力　　（TP上升率：大）","128","0"
"20","0","短時間內，對戰對手特大幅度減速！","3","1001","短時間內，對戰對手特大幅度減速　（TP上升率：大）","129","0"
"30","0","短時間內，特大幅度提升速度！","4","1","短時間內，特大幅度提升速度　　　（TP上升率：大）","130","0"
