2df849a47ef432d60f90673662333ad87f42f93c806f3669a2fc32842966c830,3aada5d4afdc79aabc7631d75fb9c85c05d99f86f5cff8e82fe564edf5878251,2a0cc33d6be5a8ee1a35d0539a7fe05ce93a631419fe296b2b4efee5dffc12da,9193c1ec496e8a32725f6d51387a8ff1b834ee99cab3ff9703443126d86fe830
"1.6","938","-354","100101"
"1.6","952","-499","100201"
"1.6","1014","-523","100301"
"1.6","894","-488","100401"
"1.6","980","-628","100601"
"1.6","983","-573","100701"
"1.6","1019","-544","100801"
"1.6","985","-510","100901"
"1.6","1115","-660","101001"
"1.6","1128","-415","101101"
"1.6","1042","-589","101201"
"1.6","1050","-501","101601"
"1.6","1038","-598","101701"
"1.6","985","-356","101801"
"1.6","1114","-494","102001"
"1.6","1003","-392","102101"
"1.6","1057","-407","102201"
"1.6","997","-388","102501"
"1.6","1090","-490","102701"
"1.6","987","-554","102801"
"1.6","976","-526","102901"
"1.6","994","-879","103001"
"1.6","1056","-560","103101"
"1.6","1018","-453","103301"
"1.6","1017","-345","103401"
"1.6","961","-674","103801"
"1.6","1095","-499","104001"
"1.6","955","-521","104201"
"1.6","1079","-581","104301"
"1.6","980","-538","104501"
"1.6","954","-364","104601"
"1.6","1107","-777","104801"
"1.6","973","-795","104901"
"1.6","1122","-492","105001"
"1.6","1035","-607","105201"
"1.6","885","-490","105301"
