809472c31113adf200e26e8033317265b63cad07d18cf68f92142fe7209523b0,57160be850a395e1733025092624803619d151f54de0da3e772b3eb9265f7f06,28d44c3f484cb4e7f38859713a66043a89940991998027cd1b40876ae1be5464,4cb22e7b6e34c77af418c01781c50db7654e8d9ac60f600a20ce5fd9f802927c,a3c1544eb418ea4875599ef15bb52230e60358b9d887b76940a8543a75039990
"100","1","8","91002","30109001"
"10","2","2","20002","30109001"
"100","3","8","91002","30109002"
"40000","4","12","94002","30109002"
"300","5","8","91002","30109003"
"500","6","8","91002","30109004"
"500","7","8","91002","30109005"
"1000000","8","12","94002","30109005"
"500","9","8","91002","30109006"
"500000","10","12","94002","30109006"
"600","11","8","91002","30110001"
"200000","12","12","94002","30110006"
