6a9c6c8782f6af53aa452b27aa857a3b9fc567e6d0c1c9288ba2d3d001b8e573,8426da92a793c673f99e11aa0895f13ee4257db88de519fdc8178a7a73653fba,1d95e6a8c07d3f3f37c19ee7408353de949dfebe37ee8300dc950d1ac55af393,1057ba3fbd25453757c2097b93edde0f323042001e5648092454bbb3a6ef2895,ed0df2b57a20369d5ffe55c00789b8b1c9ea000a59369f57575c42e2090e78d0
"90009","101","單手劍","#D23232","red"
"90009","102","雙手劍","#D23232","red"
"90009","103","短劍","#D23232","red"
"90009","104","槍","#D23232","red"
"90009","105","斧","#D23232","red"
"90009","106","弓","#D23232","red"
"90009","107","拳","#D23232","red"
"90009","108","盾","#D23232","red"
"90009","109","杖","#D23232","red"
"90009","110","書本","#D23232","red"
"90010","201","衣服","#476FD8","blue"
"90010","202","鎧甲","#476FD8","blue"
"90010","203","白長袍","#476FD8","blue"
"90010","204","黑長袍","#476FD8","blue"
"90011","301","戒指","#E5681E","yellow"
"90011","302","手鐲","#E5681E","yellow"
"90011","303","項鍊","#E5681E","yellow"
"90011","304","寶珠","#E5681E","yellow"
"90011","305","耳環","#E5681E","yellow"
