6ab61ed3bb6aecbe7c95b443b64748c63bf497c249cb274e6d13b7c640710f36,c8acc9b36a83575aef3f1bf3003d87052b02cb30c1e224e39ed4b087ef7b7056,47e9933707196a4ce615e7c4b082919ebbf7019b3c682e27def3d0f0fa06f108,bf26b83940a4660c973e9d647e5aceb0b88b13667ca8bc347d7c363f7e4a2532,92bc1e59c973ff84811bd817a2e187ec544ee01a002c69ba40e236a69a600218,8619a5286550332423e9054801d9bbb8d721af194a6e10317383d84da1aa1aa8,211ebfc6b9cb5bcbcdb137ddd2b046adc7b46810d9df383f18644492f84e86b8,362b7fcf57ec41e98584ddffb66961882c8e9e4dad6e43ab7d3a0219fd1ae3f6,0b4027f752ee16f7f8ad23e24c4759a179e18c5a5de0b84cd710800ab4b88b70,983eacf908cace8b38d4527a0c45d3c82631a7e4fb0eb7de286cd10847c9b47c,f77c68db4ee2e7c71e5817eeaad04bd24c6ceb6f011bdc187f3aba19b4a7990f,03e6d18d6b06d73ac2fae07544d41fe867caa7dabbda2d5bdfcb4e5f281af9a5,9350b8d95c4e35a2b61a25ec48d0d8475a796056aead6744e2f807d5769287f2,fe8243c61062169e29e6679c0602fb19c4a4a9e3386f254237f796865608ea77,7c75977b105acab0ac4ee71057cc1480320a2a039b62b322704767b6fb860c50,2b592012aeae3bd4e61c16cb936c591b5ada05170d6d86f29e582ae29548e7e9,06883548315a1708135d379ebbb7759fcac41ef1519276262a95a5f1b9e0b1b1,57cdfa0f7c8c02bec97b492720a930a115e00acf44e33207f9a1dd494b123f94,49464bd98c07852a3fc4a975092cc2167cf4d78d8821bceb34c0bb96099ce030
"1.5","5","0","610010004","0","5010321","1","","0","2","10010","0","0","90","0","610010401","0","0","0"
"1.5","5","0","610010005","0","5010322","2","","108","3","10010","0","0","90","0","610010402","0","0","0"
"1.5","5","0","610010006","0","0","3","","0","1","10010","0","0","90","0","0","0","0","0"
"1.5","5","0","610011004","0","5011322","1","","0","1","10011","0","0","90","70","0","0","0","5011321"
"1.5","5","0","610011005","0","5011323","2","","0","1","10011","0","0","90","40","0","0","0","0"
"1.5","5","0","610011006","0","0","3","","0","1","10011","0","0","90","0","0","0","0","0"
"1.5","5","0","610012004","0","5012321","1","","0","2","10012","600","1","90","0","610012401","0","3","0"
"1.5","5","0","610012005","0","5012322","2","","0","1","10012","0","1","90","51","0","0","0","0"
"1.5","5","0","610012006","0","0","3","","0","1","10012","0","1","90","0","0","0","0","0"
"1.5","5","0.9","610013004","0","5013321","1","","0","2","10013","600","1","90","0","610013401","50","3","0"
"1.5","5","1","610013005","0","5013322","2","","0","1","10013","0","0","90","50","0","84","0","0"
"1.5","5","1","610013006","0","0","3","","0","1","10013","0","0","90","0","0","84","0","0"
"1.5","5","0.9","610015004","0","5015321","1","","0","2","10015","600","1","90","0","610015401","1","3","0"
"1.5","5","1.3","610015005","0","5015322","2","","0","1","10015","0","1","90","50","0","-50","0","0"
"1.5","5","1.3","610015006","0","0","3","","0","1","10015","0","1","90","0","0","-50","0","0"
"1.5","5","0.9","610017004","0","5017321","1","","0","2","10017","600","1","90","0","610017401","50","3","0"
"1.5","5","1","610017005","0","5017322","2","","0","1","10017","0","1","90","50","0","84","0","0"
"1.5","5","1","610017006","0","0","3","","0","1","10017","0","1","90","0","0","84","0","0"
"1.5","5","1.25","610019004","0","5019322","1","","200","4","10019","0","1","90","0","610019401","-50","0","5019321"
"1.5","5","1.25","610019005","0","5019323","2","","0","1","10019","0","1","90","50","0","-50","0","0"
"1.5","5","1.25","610019006","0","0","3","","0","1","10019","0","1","90","0","0","-50","0","0"
"1.5","5","1","610021004","0","5021322","1","","0","1","10021","0","1","90","60","0","0","0","5021321"
"1.5","5","1","610021005","0","5021323","2","","30","3","10021","0","1","90","0","0","0","0","0"
"1.5","5","1","610021006","0","0","3","","0","1","10021","0","1","90","0","0","0","0","0"
"1.5","5","1.25","610023004","0","5023322","1","","0","1","10023","0","1","135","75","0","-50","0","5023321"
"1.5","5","1.25","610023005","0","5023323","2","","0","1","10023","0","1","135","25","0","-50","0","0"
"1.5","5","1.25","610023006","0","0","3","","0","1","10023","0","1","135","0","0","-50","0","0"
