213dc25a6b65352bd1e1b8deace64d858f0e73f7dd5e59afcce965b9cc7d5920,e5b071e51d4885f44a47d580760ca93204f0fd8cfebbabd207d14934ea22b99e,2236add3f63773a4ae2a3028bae7ebc8890425f4f1f36118c0137364eb7ac532,b57e03f9cf2be2a4edb6b8a3777ba9fe6551336088f762ba92488301406435b0,665aff43b4edfee0df4321fe70af229e67f52ded78d4103dea3b9cc7132ef8f4,cd75c12b51ddd91c8c949b50871d62c30490c244d65759755493a14decb7d62c,ce51867067f6cfb448961171db05129f12ce6da5b4d1cd5d73694bffa872f33a,5d7437f392242d6ccc95e7a52e0437a9c903406768da89fc50214542020d1fdf,0bbac9e6f45c06ad64a305c4442d08e4558673d45c18d20d10619fabc5925849,5a05f9c8588490af160fcda6653c2733db95127c981d85a404fad37ada73733c,fd84e5b0ba15ac6844ada46e2edc388fc05cd55ac5f8b6da72ee004eaed85d2a,16302e3adcf7211467f04283f76f6099be917804c53c0106cfe94f937043d242,2392fcc2df4a0f4999bf1a7701bdfd387590e9eca0670dcdf6ccbfc8a68c4b45,12242ac44a1aa6b3c19abea9c4516453fbeea60e10d8fcee14d7e00727967110,eb598913bdd7e1e9fbb528dc4b0fae320465e285d0df0d99e70e591daf9dc471,f9c2227509349c92ac75e2e1a91b846ebd7fac9a1227d7c2aef9f8141591af24,0dc18c00c93d4682cde8e1d78bd46196c4e66566753392ba5d810a1365e60b86,aaecc9649ef53b49c9d60f3cd2b2a2b6d41a913b053aad54219833db0eab181e
"22003","2","2","0","1","1","150","8","20003","0","0","12","5","94002","20","91002","150000","5"
"22003","2","2","0","6","2","145","8","20003","0","0","12","2","94002","15","91002","100000","9"
"22002","2","2","0","10","3","140","8","20003","0","0","12","5","94002","11","91002","80000","19"
"22002","2","2","0","20","4","130","8","20003","0","0","12","5","94002","10","91002","80000","29"
"22002","2","2","0","30","5","120","8","20003","0","0","12","4","94002","9","91002","70000","39"
"22002","2","2","0","40","6","110","8","20003","0","0","12","4","94002","8","91002","70000","49"
"22002","2","2","0","50","7","100","8","20003","0","0","12","3","94002","7","91002","60000","99"
"22002","2","2","0","100","8","80","8","20003","0","0","12","2","94002","2","91002","40000","499"
"22002","2","2","0","500","9","50","8","20002","0","0","12","1","94002","7","91002","20000","999"
"22001","2","2","0","1000","10","20","8","20002","0","0","12","3","94002","4","91002","16000","4999"
"22001","2","2","0","5000","11","15","8","20002","0","0","12","2","94002","3","91002","9000","9999"
"22001","2","2","0","10000","12","10","8","20001","0","0","12","1","94002","8","91002","4000","11999"
"22001","2","2","0","12000","13","5","8","20001","0","0","12","1","94002","7","91002","3000","13999"
"22001","2","2","0","14000","14","4","8","20001","0","0","12","1","94002","6","91002","2000","14999"
"22001","2","2","0","15000","15","3","8","20001","0","0","12","1","94002","5","91002","1800","30000"
