76ec04095b79beeb81480458e3c7aee400d4ab8d8336ca014dc38326f7a5fe92,3575a7f4ac61e41eb4d0cfb7c1303a0469bac8048404d0b5c5912f275ef4f286,57d19cbc0069d6dcdf33535d8754f6ce6a3c6c3d70bf57a569aeeb55ffd8108f,196630b128a141ec775d871fb8a26899b0d526a995a722210e4e1bcb709650d5,62caf576fc655fefee84b0a1908fe61ad155895f2d4ab97f74305aacdc0b7577,92675b6cc9ebc07d6fd170ddf42f514722b33ef9f480433e8de22edf77242cb1
"3001","803100263","211","2146041","1","212"
"3002","803100263","211","2146042","1","212"
"3003","803100263","211","2146043","1","212"
"3004","803100263","211","2146044","1","212"
"3006","803100272","213","2147041","1","212"
"3007","803100272","213","2147042","1","212"
"30011","803100253","202","2145039","1","313"
"30012","803100253","105","2145040","0","302"
"30021","803100256","204","2145069","1","311"
"30022","803100256","205","2145070","1","312"
"30031","803100259","212","2145099","1","310"
"30032","803100259","107","2145100","0","301"
"30041","803100262","110","2146039","0","307"
"30042","803100262","105","2146040","0","302"
"30051","803100267","203","2146081","1","314"
"30061","803100269","205","2147019","1","312"
"30062","803100269","106","2147020","0","303"
"30071","803100271","202","2147039","1","313"
"30072","803100271","212","2147040","1","310"
"300101","803100251","104","2145011","0","100"
"300102","803100251","104","2145012","0","100"
"300103","803100251","105","2145013","0","102"
"300104","803100251","104","2145014","0","100"
"300105","803100251","105","2145015","0","102"
"300106","803100251","106","2145016","0","103"
"300107","803100251","105","2145017","0","102"
"300108","803100251","106","2145018","0","103"
"300109","803100251","204","2145019","1","111"
"300110","803100251","104","2145020","0","100"
"300111","803100252","104","2145021","0","100"
"300112","803100252","105","2145022","0","102"
"300113","803100252","104","2145023","0","100"
"300114","803100252","105","2145024","0","102"
"300115","803100252","106","2145025","0","103"
"300116","803100252","105","2145026","0","102"
"300117","803100252","106","2145027","0","103"
"300118","803100252","204","2145028","1","111"
"300119","803100252","104","2145029","0","100"
"300120","803100252","104","2145030","0","100"
"300121","803100253","105","2145031","0","102"
"300122","803100253","104","2145032","0","100"
"300123","803100253","105","2145033","0","102"
"300124","803100253","208","2145034","1","112"
"300125","803100253","212","2145035","1","110"
"300126","803100253","104","2145036","0","100"
"300127","803100253","105","2145037","0","102"
"300128","803100253","106","2145038","0","103"
"300201","803100254","107","2145041","0","101"
"300202","803100254","107","2145042","0","101"
"300203","803100254","105","2145043","0","102"
"300204","803100254","106","2145044","0","103"
"300205","803100254","202","2145045","1","113"
"300206","803100254","203","2145046","1","114"
"300207","803100254","107","2145047","0","101"
"300208","803100254","202","2145048","1","113"
"300209","803100254","203","2145049","1","114"
"300210","803100254","107","2145050","0","101"
"300211","803100255","107","2145051","0","101"
"300212","803100255","105","2145052","0","102"
"300213","803100255","106","2145053","0","103"
"300214","803100255","202","2145054","1","113"
"300215","803100255","203","2145055","1","114"
"300216","803100255","107","2145056","0","101"
"300217","803100255","202","2145057","1","113"
"300218","803100255","203","2145058","1","114"
"300219","803100255","107","2145059","0","101"
"300220","803100255","107","2145060","0","101"
"300221","803100256","105","2145061","0","102"
"300222","803100256","106","2145062","0","103"
"300223","803100256","107","2145063","0","101"
"300224","803100256","208","2145064","1","112"
"300225","803100256","212","2145065","1","110"
"300226","803100256","105","2145066","0","102"
"300227","803100256","106","2145067","0","103"
"300228","803100256","107","2145068","0","101"
"300301","803100257","104","2145071","0","100"
"300302","803100257","107","2145072","0","101"
"300303","803100257","107","2145073","0","101"
"300304","803100257","202","2145074","1","113"
"300305","803100257","203","2145075","1","114"
"300306","803100257","104","2145076","0","100"
"300307","803100257","107","2145077","0","101"
"300308","803100257","204","2145078","1","111"
"300309","803100257","205","2145079","1","112"
"300310","803100257","104","2145080","0","100"
"300311","803100258","107","2145081","0","101"
"300312","803100258","107","2145082","0","101"
"300313","803100258","202","2145083","1","113"
"300314","803100258","203","2145084","1","114"
"300315","803100258","104","2145085","0","100"
"300316","803100258","107","2145086","0","101"
"300317","803100258","204","2145087","1","111"
"300318","803100258","205","2145088","1","112"
"300319","803100258","104","2145089","0","100"
"300320","803100258","107","2145090","0","101"
"300321","803100259","104","2145091","0","100"
"300322","803100259","107","2145092","0","101"
"300323","803100259","202","2145093","1","113"
"300324","803100259","208","2145094","1","112"
"300325","803100259","104","2145095","0","100"
"300326","803100259","107","2145096","0","101"
"300327","803100259","204","2145097","1","111"
"300328","803100259","205","2145098","1","112"
"300401","803100260","105","2146011","0","102"
"300402","803100260","105","2146012","0","102"
"300403","803100260","202","2146013","1","113"
"300404","803100260","203","2146014","1","114"
"300405","803100260","105","2146015","0","102"
"300406","803100260","202","2146016","1","113"
"300407","803100260","203","2146017","1","114"
"300408","803100260","105","2146018","0","102"
"300409","803100260","105","2146019","0","102"
"300410","803100260","105","2146020","0","102"
"300411","803100261","105","2146021","0","102"
"300412","803100261","202","2146022","1","113"
"300413","803100261","203","2146023","1","114"
"300414","803100261","105","2146024","0","102"
"300415","803100261","202","2146025","1","113"
"300416","803100261","203","2146026","1","114"
"300417","803100261","105","2146027","0","102"
"300418","803100261","105","2146028","0","102"
"300419","803100261","202","2146029","1","113"
"300420","803100261","202","2146030","1","113"
"300421","803100262","202","2146031","1","113"
"300422","803100262","203","2146032","1","114"
"300423","803100262","105","2146033","0","102"
"300424","803100262","208","2146034","1","112"
"300425","803100262","212","2146035","1","110"
"300426","803100262","202","2146036","1","113"
"300427","803100262","202","2146037","1","113"
"300428","803100262","105","2146038","0","102"
"300501","803100264","104","2146051","0","100"
"300502","803100264","104","2146052","0","100"
"300503","803100264","104","2146053","0","100"
"300504","803100264","104","2146054","0","100"
"300505","803100264","105","2146055","0","102"
"300506","803100264","106","2146056","0","103"
"300507","803100264","104","2146057","0","100"
"300508","803100264","104","2146058","0","100"
"300509","803100264","105","2146059","0","102"
"300510","803100264","106","2146060","0","103"
"300511","803100265","104","2146061","0","100"
"300512","803100265","104","2146062","0","100"
"300513","803100265","104","2146063","0","100"
"300514","803100265","104","2146064","0","100"
"300515","803100265","105","2146065","0","102"
"300516","803100265","106","2146066","0","103"
"300517","803100265","104","2146067","0","100"
"300518","803100265","104","2146068","0","100"
"300519","803100265","105","2146069","0","102"
"300520","803100265","106","2146070","0","103"
"300521","803100266","104","2146071","0","100"
"300522","803100266","104","2146072","0","100"
"300523","803100266","202","2146073","1","113"
"300524","803100266","203","2146074","1","114"
"300525","803100266","104","2146075","0","100"
"300526","803100266","208","2146076","1","112"
"300527","803100266","212","2146077","1","110"
"300528","803100266","202","2146078","1","113"
"300529","803100266","203","2146079","1","114"
"300530","803100266","104","2146080","0","100"
"300601","803100268","203","2146091","1","114"
"300602","803100268","202","2146092","1","113"
"300603","803100268","105","2146093","0","102"
"300604","803100268","203","2146094","1","114"
"300605","803100268","106","2146095","0","103"
"300606","803100268","203","2146096","1","114"
"300607","803100268","204","2146097","1","111"
"300608","803100268","203","2146098","1","114"
"300609","803100268","202","2146099","1","113"
"300610","803100268","105","2146100","0","102"
"300611","803100269","203","2147011","1","114"
"300612","803100269","106","2147012","0","103"
"300613","803100269","203","2147013","1","114"
"300614","803100269","204","2147014","1","111"
"300615","803100269","212","2147015","1","110"
"300616","803100269","203","2147016","1","114"
"300617","803100269","105","2147017","0","102"
"300618","803100269","106","2147018","0","103"
"300701","803100270","204","2147021","1","111"
"300702","803100270","104","2147022","0","100"
"300703","803100270","107","2147023","0","101"
"300704","803100270","202","2147024","1","113"
"300705","803100270","203","2147025","1","114"
"300706","803100270","105","2147026","0","102"
"300707","803100270","205","2147027","1","112"
"300708","803100270","204","2147028","1","111"
"300709","803100270","104","2147029","0","100"
"300710","803100270","107","2147030","0","101"
"300711","803100271","202","2147031","1","113"
"300712","803100271","203","2147032","1","114"
"300713","803100271","105","2147033","0","102"
"300714","803100271","205","2147034","1","112"
"300715","803100271","110","2147035","0","107"
"300716","803100271","204","2147036","1","111"
"300717","803100271","104","2147037","0","100"
"300718","803100271","107","2147038","0","101"
