b8e095f02e74c14754d67b4df5a12b34acabaa623940ac947897b342e47cd570,27ad023f8026cdac5a803f4164f82206e877e22c5f54850b35ddc6d283c32361,0191def799e911b6247697fa3151eae0f977142ae029b11d1325720598234f1a,6a36961a8c183fb031a0d6128f32ee8e21e41358406990f348559d3ff85b5f6c,8aad02cf9311010a4b4e0ad2daf28c4ffec8d687bd38928eea602508544e8df0,064d68055625e13c78dae0259bd831f13de472702a389452c4271d2304108c9f
"1","1","10009106","1","10009101","0"
"2","1","10009112","1","10009101","0"
"3","1","10010110","1","10010101","0"
"4","1","1001901","2","10019101","0"
"5","1","10021112","1","10021101","0"
"6","1","10025109","1","10025101","0"
"7","2","5025001","3","10025","500810"
"8","1","20009106","1","20009101","0"
"9","1","20009112","1","20009101","0"
"10","1","20010110","1","20010101","0"
"12","2","5042001","3","10042","501001"
"13","1","2001501","2","20015101","0"
"14","2","5044001","3","10044","501031"
"15","1","20016112","1","20016101","0"
"16","2","5046002","3","10046","501103"
"17","1","10049109","1","10049101","0"
"19","1","10066112","1","10066101","0"
"20","2","5066005","3","10066","501291"
"21","2","5042001","3","10069","501001"
"22","2","5044001","3","10071","501031"
"23","2","5068001","3","10068","501341"
"24","2","5070004","3","10070","501353"
"25","2","5070005","3","10070","500016"
"26","2","5072004","3","10072","501364"
"27","2","5072006","3","10072","501365"
"28","2","5046002","3","10073","501103"
"29","2","5074001","3","10074","501383"
"30","1","10076112","1","10076101","0"
"31","2","5076005","3","10076","505036"
"32","2","5078004","3","10078","501451"
"33","2","5080005","3","10080","501463"
"34","1","10082105","1","10082101","0"
"35","1","10082108","1","10082102","0"
"36","1","10082111","1","10082103","0"
"37","2","5082002","3","10082","501160"
"38","2","5082004","3","10082","501031"
"39","2","5082005","3","10082","501483"
"40","2","5084001","3","10084","500368"
"41","2","5084002","3","10084","510306"
"42","2","5084003","3","10084","500039"
"43","2","5085002","3","10085","500368"
"44","2","5085003","3","10085","510203"
"45","2","5085004","3","10085","500272"
"46","2","5085005","3","10085","501501"
"47","2","5088005","3","10088","501810"
"50","2","5042001","3","20025","501001"
"51","2","5090002","3","10090","501541"
"55","2","5044001","3","20026","501031"
"56","1","10093112","1","10093101","0"
"57","2","5066005","3","10093","501291"
"58","2","5046002","3","20027","501103"
"59","2","5092001","3","10092","501031"
"60","2","5092004","3","10092","501551"
"61","2","5094001","3","10094","501593"
"62","2","5068001","3","10095","501341"
"67","2","5025001","3","20018","500810"
"68","2","5096002","3","10096","501613"
"73","2","5070004","3","10097","501353"
"74","2","5070005","3","10097","500016"
"75","2","5098000","3","10098","501031"
"76","1","10098104","1","10098101","0"
"77","1","10098111","1","10098102","0"
"78","2","5072004","3","10099","501364"
"79","2","5072006","3","10099","501365"
"80","2","5100003","3","10100","500837"
"82","2","5074001","3","10101","501383"
"83","2","5074001","3","10101","501383"
"84","2","5102002","3","10102","501873"
"85","1","10103112","1","10103101","0"
"86","2","5076005","3","10103","505036"
"88","2","5108002","3","10108","501911"
