c3c60c97068a8c5a0a67fe617de3a7bfa81a77162ea2ffc598775b4496efaba0,a83493f78d013db4916221504fa7ad73abd01b71dc0e7a8fb7dfa7568a7d682b,24ed989aa3ac21e1442c0287be19035869b4eb40312a8a1e4a6b237204f23274,3a765419826eade31fd3810d518714c6ad457f4a7c9b34507579b2f1c008c13e,2c54a5cb90b63173bd2aea1e0b30ee9c8f0ef960902be6afc057da5aab1d90f4,9ca9397703c48d3f4c0085072a73afe5f854748c0a8ef9c619029efee6811eac,cb96e11c8c26e763eb4883d5345f5b85df057e6a526b9ad4025e177b567052bb,75be5dc5e2cfd03d895eded46f5f20cc1929ef17f022da0183e3e750224de7df,2470553573b1b5dd7fabea265c3ef16b242595b8cc5447497183fc4b79341dca,93be2b8023eb5a30b4bf65b7ee0e74cec5f984a8ca34aefca41c41f20e9ae28a,332f4d375e2a720a5957d8ec68107c7fda96030a72d1cff94d8151121f10b12b,e88aec1d0e04f42dca1f81617c2db937d6d5c31697235a988299876a8c0f0624
"1","0","0","vo_10011600","vo_10011600_1501","0","2","0","0","1150001","15","0"
"2","1","0","0","0","0","1","0","240","1150002","15","0.997402597402597"
"3","1","1","0","0","2.4974025974026","4","0","0","1150003","15","0"
"4","0","0","vo_10011600","vo_10011600_1502","0","2","0","0","1150004","15","0"
"5","2","0","0","0","0","1","0","118","1150005","15","0.748051948051948"
"6","2","1","0","0","0.848051948051948","4","0","0","1150006","15","0"
"7","0","0","vo_10011600","vo_10011600_1503","0","2","0","0","1150007","15","0"
"8","2","0","0","0","0","1","118","460","1150008","15","1.16363636363636"
"9","2","1","0","0","1.96363636363636","4","0","0","1150009","15","0"
"10","0","0","vo_10011600","vo_10011600_1504","0","2","0","0","1150010","15","0"
"11","3","0","0","0","0","1","0","500","1150011","15","2.07792207792208"
"12","3","1","0","0","3.47792207792208","4","0","0","1150012","15","0"
"13","0","0","vo_10011600","vo_10011600_1505","0","2","0","0","1150013","15","0"
"14","4","0","0","0","0","1","0","248","1150014","15","1.24675324675325"
"15","4","1","0","0","2.24675324675325","4","0","0","1150015","15","0"
"16","0","0","vo_10011600","vo_10011600_1506","0","2","0","0","1150016","15","0"
"17","4","0","0","0","0","1","248","770","1150017","15","1.95324675324675"
"18","4","1","0","0","1.95324675324675","4","0","0","1150018","15","0"
"19","0","0","vo_10011600","vo_10011600_1507","0","2","0","0","1150019","15","0"
"20","5","0","0","0","0","1","0","359","1150020","15","2.07792207792208"
"21","5","1","0","0","2.97792207792208","4","0","0","1150021","15","0"
"22","0","0","vo_10011600","vo_10011600_1508","0","2","0","0","1150022","15","0"
"23","5","0","0","0","0","1","359","770","1150023","15","1.12207792207792"
"24","5","1","0","0","2.02207792207792","4","0","0","1150024","15","0"
"25","0","0","vo_10011600","vo_10011600_1509","0","2","0","0","1150025","15","0"
"26","6","0","0","0","0","1","0","277","1150026","15","1.32987012987013"
"27","6","1","0","0","2.57987012987013","4","0","0","1150027","15","0"
"28","0","0","vo_10011600","vo_10011600_1510","0","2","0","0","1150028","15","0"
"29","6","0","0","0","0","1","277","770","1150029","15","1.87012987012987"
"30","6","1","0","0","2.87012987012987","4","0","0","1150030","15","0"
"31","0","0","vo_10011600","vo_10011600_1511","0","2","0","0","1150031","15","0"
"32","7","0","0","0","0","1","0","361","1150032","15","1.55844155844156"
"33","7","1","0","0","1.75844155844156","4","0","0","1150033","15","0"
"34","0","0","vo_10011600","vo_10011600_1512","0","2","0","0","1150034","15","0"
"35","7","0","0","0","0","1","361","726","1150035","15","1.26753246753247"
"36","7","1","0","0","2.51753246753247","4","0","0","1150036","15","0"
"37","0","0","vo_10011600","vo_10011600_1513","0","2","0","0","1150037","15","0"
"38","8","0","0","0","0","1","0","793","1150038","15","1.99480519480519"
"39","8","1","0","0","2.49480519480519","4","0","0","1150039","15","0"
"40","0","0","vo_10011600","vo_10011600_1514","0","2","0","0","1150040","15","0"
