e39627ca5b10a5934ecd6d1b1157aa7b2d90153ff91e0daae54ba7fcb925cae3,e2468f6192d8dc6111f6c1ac84e4d724836f13053492ab262b43a4bc0e99a986,2d9d1b794ebedd471a8cc41b222601cc1d9d1ab23eb580f94a2daf237ade61bd,696ec6d2471ccafec7151da6748d4a17923774d278e900159d0c92428405fe2e
"1","20","20","2"
"1","30","30","3"
"2","50","80","3"
"3","80","160","3"
"1","60","60","4"
"2","100","160","4"
"3","180","340","4"
"4","360","700","4"
"5","500","1200","4"
"1","100","100","5"
"2","160","260","5"
"3","280","540","5"
"4","480","1020","5"
"5","780","1800","5"
"1","100","100","6"
"2","160","260","6"
"3","280","540","6"
"4","480","1020","6"
"5","780","1800","6"
"1","100","100","7"
"2","160","260","7"
"3","280","540","7"
"4","480","1020","7"
"5","780","1800","7"
"1","100","100","8"
"2","160","260","8"
"3","280","540","8"
"4","480","1020","8"
"5","780","1800","8"
"1","100","100","9"
"2","160","260","9"
"3","280","540","9"
"4","480","1020","9"
"5","780","1800","9"
"1","100","100","10"
"2","160","260","10"
"3","280","540","10"
"4","480","1020","10"
"5","780","1800","10"
