9e96afad67be0c971cb589a53f7abf95fe69fa75eb186f03c736a597b4d93571,d877b288500940c83806d9f021df432a0d48d0298c501873e952c880f646112a,13c9c5fe2f64884fd89f71c4f589a78fb21b6768544129a3f618eab0e7bd679c,dc0926ab072a5a05a129f679ea17f62d5373291aedc184c407e79ddc21195adb,d39fe3713b455de5ffb295a49c92add86e35d5148fbf85f72f04bbe247e4b407,8eac7bc6b259f4e1a777a668779e353abba7c9242f6c19449bb8c1287fab6661,435d538ffdf1b5fe6445e145dbbe8e16dfe6c78d0e2b77f72f12d83ebf835b2c,f6ba22d237b00728aba4ee026a3cc7161cbb31a75145872faac1aa0f1b8a6ff4,0a5d23f4db130d7ef0f54faf39322951af761dce388d5fc47ae2e96fea1a41ec,992c0032583e95788aad4d97fe177ed6fcd985c6f28de247c95db5efc9892bb2,6bee7bb67c9d040a95ece429c8d11dddb2969dcfe3b0fb68ee4ad677bed9106d,2f807fbcfb5ca3e98efeea454ea6e0ba63c47ea7086f1e78b9a2a162ce14f146,16fc5594383910d81b0aada3f23cced9ba3bb7feca6a65f4d07635d0eee18b6a,e7e85a5036e168efff2c59fa9ab528b3f6f29f7af5be61beae85f15e5a12031c,04a9b5d870563128d292d7a7bfae916bb662394072d95df6f321d386dcff4807,98e1d642d88d052c5eb8438f1796f670cc256e5d51d58085e75b7bfe1c7da0ce,c6b91d3daf6bf66fb9064bbc306ca439bf854d5997b13425e849029ed789e8be
"52001","貪吃佩可用心捏製的特大飯糰。\n米飯似乎體現了生命的能量。\n在一般人能吃飽的兩倍量的米飯裡，包進了最高級的內餡，\n是一道很有【美食殿堂】風格的料理。","2","1","貪吃佩可的吃飽飽雙倍飯糰","獲得500里程。","0","0","51001","1","2","1","下次投擲的骰子增加為2個。擲出來的數字加總為前進格數。","1","10","500","貪吃佩可的\n吃飽飽雙倍飯糰"
"52002","可可蘿為大家用心製作的沙拉。\n營養均衡且飽足感十足，\n除了味道外也很注重外觀。\n能夠提供冒險所需活力，一道充滿愛的料理。","30001","1","可可蘿的好好休息沙拉","獲得500里程。","0","0","51002","2","2","3","下次投擲的骰子一定會丟出「1」。並且跳過下次的回合數計算。","1","10","500","可可蘿的\n好好休息沙拉"
"52003","夾入凱留自己想吃的食材的漢堡。\n麵包與肉類的香氣令人食指大動。\n由非魔物的素材製作，凱留相信這是一道\n在冒險途中吃會有點太豪華的料理。","20004","1","凱留的絕妙五星漢堡","獲得1個未鑑定的平凡寶物。","0","0","51003","1","1","2","下次投擲的骰子一定會丟出「5」。","1","10","500","凱留的\n絕妙五星漢堡"
"52004","在莉莉製作的柏餅中……做成功的、\n經過新挑選的柏餅。除了使用最高級的素材，\n還因為做失敗的柏餅被莉莉自己吃掉了，\n所以光看單價變成了非常貴的高級品。","20001","3","莉莉的踏實邁進柏餅","獲得800里程。","0","0","51004","3","4","2","在投擲3次骰子之前，投擲的骰子一定會丟出「4」。","1","10","500","莉莉的踏實\n邁進柏餅"
"52005","可璃亞一大早就起床準備好的冒險用的便當。\n雖然裡面的配菜都非常好吃，但是因為\n她不告訴大家裡面裝了什麼，所以那變成\n打開蓋子時的驚喜了。","1","0","可璃亞的多彩多姿便當","下次擲骰的時候，多前進1格。","0","0","51005","3","1","4","讓隨機活動出現。","3","11","500","可璃亞的\n多彩多姿便當"
"52006","塞滿了普蕾西亞精心挑選的內餡的肉包。\n根據她的希望，這肉包的尺寸變成\n一般肉包的數倍大。味道跟量都滿分，一定會讓人\n很幸福喔♪以上是負責料理的可璃亞說的話。","20002","1","普蕾西亞的貪吃鬼噗噗肉包","獲得800里程。","0","0","51006","1","4","2","下次投擲的骰子只會丟出「4、5、6」。","1","10","500","普蕾西亞的貪吃鬼\n噗噗肉包"
"52007","嘉夜跟祈梨讓人拿來當便當的沙威瑪。\n有著祈梨常去的店的強悍風味，可以讓\n身為幫派成員的幹勁變成三倍，組成搭檔會變成六倍，\n似乎會湧現出可以實現下剋上的力量……的樣子。","1","2","嘉夜與祈梨的食慾加倍沙威瑪","獲得1張抽獎券。","0","0","51007","1","3","7","下次投擲的骰子一定會丟出「3」，再下一次投擲的骰子一定會丟出「6」。","1","10","500","嘉夜與祈梨的\n食慾加倍沙威瑪"
"52008","珠希他們帶進「吉歐‧提格尼亞」的鯛魚燒得概念，\n跟當地的文化融合之後誕生的經過大幅度改造的甜點。\n它那發出彩虹光輝的甜味，\n據說比蘭德索爾的鯛魚燒還甜好幾倍。","200","0","珠希的彩虹招財鯛魚燒","獲得500里程。","1","0","51008","2","2","5","下次於里程格停下來之際，\n所獲得的里程將提升200%。","2","10","500","珠希的彩虹\n招財鯛魚燒"
"52009","克蘿茜用全力製作的馬鈴薯沙拉。\n她本來是要做鹹味薄餅，但是因為不小心\n把材料捏扁了，經過修正軌道後完成的料理。\n先不論製作的經緯，它吃起來非常美味。","1","2","克蘿茜的全力馬鈴薯沙拉","獲得1個未鑑定的平凡寶物。","0","1","51009","2","1","7","[FF7C4E,D62146]【不可被覆蓋】[-]下次投擲的骰子一定會丟出「8」，再下一次投擲的骰子一定會丟出「1」。","1","10","500","克蘿茜的\n全力馬鈴薯沙拉"
"52010","綾音跟胡桃準備的特別的野餐籃。\n裡面的塞滿了跟夥伴們一起冒險的希望的美味料理們，\n能讓人覺得路上發生的各種事情，\n都像是高了1個Rank的活動一樣。","1","0","綾音與胡桃的戶外野餐組","獲得500里程。","2","0","51010","3","2","6","地圖上的「里程格」、「寶物格」、「商店格」的\nRANK提升1。\n效果將持續到停在對象格上2次之後為止。","2","10","500","綾音與胡桃的\n戶外野餐組"
