64fed9848b8a19e1ab36df5661ec5a7d003b3e90413a878380358e22b3f61631,56ec2149fbc553ab186b1c0f4bc4b4e5226bfc492cc1f9ac47846b731519f1c4,409fb9bfd5595e37bfce29d040734659471f8129a9707ee6174a32debcd5c5f7,db80b70ec4dbc09613c3e20a54590327a34fdfbddfead5f6060c34bab8af7542,fb7413c4c7366e5c2d32fb0aac00a17953cb449557577560d148f2787ae14908,b12dad971c1696ec923af37b18351d5e7020f4ee18d6ba8051aef77b1cbc2e94,ac6932e94ec109014c2213ab453ce071e07388e77002882984509970f4896fe5,53a1a45183095beb17d593d2451863ecd756306c5158e49e46bc7790ca7dad02,89da36de2ba6662b84bca2392421e0b922146405ab80fde93ad69766aad84f9b,75d71f4b0116b8e31b97a8b321463ff9a40d14070ac2765aaabd1170300564ea,7005196eea059ea1ca5eac2c245d8afdd8c03d4d0eb2a57d21cc7ea3f7dee788,a39f3e747e55f4d7eedbe004b5629e753d4a1e88eebbccbe33f3d3c0f881f41c
"3001","0","戰鬥開始時，我方的TP提升250。","3001","1","3001","-1","0","3","0","TP提升250","2"
"3002","0","戰鬥開始時，我方的TP提升250。","3002","1","3002","-1","0","3","0","TP提升250","2"
"3003","0","戰鬥開始時，我方的TP提升250。","3003","1","3003","-1","0","3","0","TP提升250","2"
"3004","0","戰鬥開始時，我方的TP提升250。","3004","1","3004","-1","0","3","0","TP提升250","2"
"3006","0","戰鬥開始時，我方的TP提升1000。","3006","3","3006","-1","0","3","0","TP提升1000","2"
"3007","0","戰鬥開始時，我方的TP提升1000。","3007","3","3007","-1","0","3","0","TP提升1000","2"
"30011","9006503","戰鬥開始90秒內，使我方的物理攻擊力提升。","3001","1","30011","25200","0","3","3500000000000","提升物理攻擊90秒","3"
"30012","9006504","戰鬥開始90秒內，使敵人的物理防禦力下降","3001","1","30012","72000","0","3","2400000000000","降低物理防禦90秒","3"
"30021","9006506","戰鬥開始90秒內，每秒恢復我方的HP","3002","1","30021","39600","0","3","2400000000000","每秒HP恢復90秒","3"
"30022","9006507","戰鬥開始90秒內，每秒提升我方的TP","3002","1","30022","72000","0","3","1200000000000","每秒TP提升90秒","3"
