23396b6859a62cef2ac30f6830adb30038bc611889eb81304ac6c422ec1da13d,b03ccbaf3bdab9e3e77718c24d58a405a96903b139c7436d883d223cbcbfe4d6,4d3a5bd12f8953dfdbd271093dfd3d8602494660aa8c5563fa566c06f2ab7da8
"1","0","299910101"
"2","0","299910102"
"3","0","299910201"
"4","0","299910301"
"5","0","299910401"
"6","0","299910402"
"7","0","299910701"
"8","0.05","299910702"
"9","0","299910703"
"10","0.05","299910704"
"11","0","299911201"
"12","0.05","299911202"
"13","0","299911203"
"14","0.05","299911204"
"15","0","299911701"
"16","0","299911702"
"17","0","299911703"
"18","0","299911801"
"19","0","299911901"
"20","0.05","299911902"
"21","0","299911903"
"22","0.05","299911904"
"23","0","299911905"
"24","0.05","299911906"
"25","0","299912001"
"26","0.05","299912002"
"27","0","299912003"
"28","0.05","299912004"
"29","0","299912005"
"30","0.05","299912006"
"31","0","299912101"
"32","0","299912102"
"33","0","299912201"
"34","0","299912202"
"35","0","299912301"
"36","0","299912401"
"37","0","299912402"
"38","0","299912501"
"39","0.05","299912502"
"40","0","299912503"
"41","0.05","299912504"
"42","0","299912601"
"43","0.05","299912602"
"44","0","299912603"
"45","0.05","299912604"
"46","0","299912701"
"47","0.05","299912702"
"48","0","299912703"
"49","0.05","299912704"
"50","0","299912801"
"51","0.05","299912802"
"52","0","299912803"
"53","0.05","299912804"
"54","0","299912805"
"55","0.05","299912806"
"56","0","299913301"
"57","0.05","299913302"
"58","0","299913303"
"59","0.05","299913304"
"60","0","299913305"
"61","0.05","299913306"
"62","0","299913801"
"63","0.05","299913802"
"64","0","299913803"
"65","0.05","299913804"
"66","0","299913805"
"67","0.05","299913806"
"68","0","299913901"
"69","0","299914001"
"70","0.05","299914002"
"71","0","299914003"
"72","0.05","299914004"
"73","0","299914101"
"74","0","299917901"
"75","0","299918001"
"76","9","299918002"
"77","0","299918101"
"78","0","299918201"
"79","0","299918202"
"80","0","299918301"
"81","0","299918302"
"82","0","299918401"
"83","0","299918501"
"84","0.05","299918502"
"85","0.05","299918503"
"86","0.1","299918504"
"87","0.1","299918505"
"88","0.15","299918506"
"89","0.15","299918507"
"90","0.2","299918508"
"91","0.2","299918509"
"92","0.25","299918510"
"93","0","299918901"
"94","0","299919101"
"95","0","299919102"
"96","0","299919103"
"97","0","299919104"
"98","0","299919301"
"99","0","299919401"
"100","0","299919501"
"101","0","299919701"
"102","0.1","299919702"
"103","0","299920201"
"104","0","299920301"
"105","0.1","299920302"
