52b30a09024dd0b303364b212931c413325c224900c75a256df4263714cedf62,1aeaa3ba4b31f6ab3645e146f6b51b86abfac10446e970f3cd10dc2c0cf4d1d8,84baa805590aba208ca0406d8cdb9243bd2555b5b281d0afbd0962507bdfc7a7,7a61e8fb1c2638d848649b22b266fe9501965e58351e57d62d16c8565b681456,4ef7b16e3b135e66295ed88a84d51ac0e25acb5f6e2b74bd87bf911743a19019,930c0fc0bfdb5ff98f20ce20338fe9adbe27e6afdf4cffd98aa4d4b6c5e4f119,0121a812e75b4e7f65c0fb96e92d66594599249224d01d6ab3ea2ada05c2c2a8,b5506b0780f812bccd06ad1a3a550db8dd9ac569c02584c0ffe0ae2f3f4ddbd4,21535c114208a8346d46224105e6221db04f15f827b0c98dd6227f628456a8a0,e2e27416a655b9f154eef4b00ac625d5c09e9f5727eeaa48ad8b4eebef46f85b,e1527fc241127d9c472f269492f8c50da234afbee6e16feeb94901727708f821
"-278","61001","0","1.8","100","1","1","5146061","-225","105811","idle_normal"
"-278","61002","0","1.8","101","5","6","5146061","-225","1058","idle_normal"
"-288","61003","0","1.8","103","1","1","5146061","-385","105911","kokkoro_idle_normal"
"-288","61004","0","1.8","104","5","3","5146061","-385","1059","kokkoro_idle_normal"
"-278","61005","1","1.8","106","1","1","5146061","290","106011","idle_normal"
"-278","61006","1","1.8","107","5","4","5146061","290","1060","idle_normal"
"","61007","","","","13","105811","5146061","","200",""
"","61008","","","","13","105911","5146061","","203",""
"","61009","","","","13","106011","5146061","","206",""
"-174","61010","0","0.85","15","5","7","5146061","0","7","idle"
"8","61011","0","1","210","5","20","5146061","290","201","empty"
"-78","61012","0","1","211","5","20","5146061","0","202","empty"
"16","61013","0","1","210","5","20","5146061","-315","203","empty"
"153","61014","0","1","60","5","21","5146061","0","21","empty"
"1","61015","","1","0","31","1","5146061","0","1",""
"1","61016","","0","0","31","2","5146061","-57.7","2",""
"1","61017","","0","0","31","10","5146061","0","10",""
"1","61018","","0","0","31","11","5146061","0","11",""
"","61019","","","","91","0","5146061","","0",""
"","61020","","","0","102","0","5146061","","0",""
"","61021","","","","93","1","5146061","","0",""
"1","61022","0","0.2","0","3","106011","5146061","doya_talk_shy","doya_in_shy",""
"1","61023","0","0.2","0","3","1060","5146061","doya_talk_shy","doya_in_shy",""
"","61024","","","0","21","vo_apg","5146061","0","vo_apg_0101",""
"1","61025","0","0","8","11","106011","5146061","1","搭乘雲霄飛車時的\n魔法拍攝服務？\n哼，擅自拍下別人毫無防備的照片，\n之後再進行推銷，真是無聊！","0"
"","61026","","","","91","0","5146061","","",""
"","61027","","","","32","2","5146061","","1",""
"","61028","","","","37","2","5146061","","fade105_in",""
"","61029","","","","4","106011","5146061","","0",""
"","61030","","","","4","1060","5146061","","0",""
"","61031","","0.5","1","3","106011","5146061","","sad_idle_dere_shy",""
"","61032","","0.5","1","3","1060","5146061","","sad_idle_dere_shy",""
"","61033","","","0","21","vo_apg","5146061","0","vo_apg_0102",""
"","61034","","0","0","3","201","5146061","","0102_in",""
"","61035","","","","93","4.6","5146061","","1",""
"","61036","","0","0","3","201","5146061","","0102_mid",""
"","61037","","","","92","","5146061","","",""
"","61038","","0","0","3","201","5146061","","0102_out",""
"","61039","","","","93","0.2","5146061","","0",""
