eee743833681bb9d33a0d1d77b3d13840132040cb9deb1e10da6ff349cc4821e,fa207cc632e6c10cf82f06190a5f0f9aea9064db547c1f971c67146b5b937d03,2b698e1e871601be613cc979908d1377f047f692563fc19d414244bb495decd9,0b80a2abb9537ade2fe2becab799cdb7b68c32919c2797b5bc68e8a8e5efb7ef,196824c81086b0702e806813d767da4b10d1ec96fc8afd7915f84d8aebe97084
"1","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001001","12"
"2","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001001","11"
"3","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001001","17"
"4","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001001","boss_def_lower_limit"
"5","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001001","boss_magic_def_lower_limit"
"6","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001001","9"
"7","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001002","12"
"8","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001002","11"
"9","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001002","17"
"10","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001002","boss_def_lower_limit"
"11","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001002","boss_magic_def_lower_limit"
"12","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001002","9"
"13","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001003","12"
"14","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001003","11"
"15","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001003","17"
"16","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001003","boss_def_lower_limit"
"17","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001003","boss_magic_def_lower_limit"
"18","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001003","9"
"19","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001004","12"
"20","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001004","11"
"21","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001004","17"
"22","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001004","boss_def_lower_limit"
"23","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001004","boss_magic_def_lower_limit"
"24","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001004","9"
"25","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001005","12"
"26","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001005","11"
"27","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001005","17"
"28","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001005","boss_def_lower_limit"
"29","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001005","boss_magic_def_lower_limit"
"30","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001005","9"
"31","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001006","12"
"32","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001006","11"
"33","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001006","17"
"34","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001006","boss_def_lower_limit"
"35","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001006","boss_magic_def_lower_limit"
"36","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001006","9"
"37","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001007","12"
"38","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001007","11"
"39","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001007","17"
"40","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001007","boss_def_lower_limit"
"41","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001007","boss_magic_def_lower_limit"
"42","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001007","9"
"43","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001008","12"
"44","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001008","11"
"45","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001008","17"
"46","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001008","boss_def_lower_limit"
"47","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001008","boss_magic_def_lower_limit"
"48","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001008","9"
"49","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001009","12"
"50","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001009","11"
"51","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001009","17"
"52","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001009","boss_def_lower_limit"
"53","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001009","boss_magic_def_lower_limit"
"54","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001009","9"
"55","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001010","12"
"56","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001010","11"
"57","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001010","17"
"58","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001010","boss_def_lower_limit"
"59","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001010","boss_magic_def_lower_limit"
"60","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001010","9"
"61","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","減少TP下降","81001010","boss_tp_down_cut"
"62","戰鬥開始時，使全體角色火傷。","賦予火傷","81001010","1"
"63","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001011","12"
"64","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001011","11"
"65","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001011","17"
"66","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001011","boss_def_lower_limit"
"67","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001011","boss_magic_def_lower_limit"
