68f48ea81cfd34a7d981d69ec615976959e2718984b36a36d1111c9aac5b29ae,72c2b29970773fed7a78ea98809f88dde68feb40e40d9437040e274cd7afb903,b14f4de3a4639719af0c682ad54f3846b6f1691080b0666417ce1e7474a4cc53,72c155e6c2d1fd95da302d37b8bc4fb8f4c308dd2119cb8ff87e2ccf6b82218b,1d93fe87ae6d5d16d6f1309716b5d0e490daed3508cb0370f58b5153d4e3d3bf,9e91d4cbacb446969897a75e28acc071457f4610082715a67383e14d635c1903,9a7e82752ced3bce77745f5268c04d0eaa912f21b85f7e47fc90d9fe56a379e3,383923e2ae48ae540a51d794b7e0a8ad6b873780f37a17dc5b2d3a603cfe5505,6bb1ea25cc57c0ba0a1ffa54b455a21edf778202f90795d15c67fd3216719890,021363dfaf387e33202b60a4cf6f7b56ae5ad35d302dcb0c0fa185bf12aa24c0
"1010001","1","1","2","","0","vo_10011600","vo_10011600_0101","0","0"
"1010002","1","2","1","　從明天開始","8","0","0","0","0"
"1010003","1","3","4","","0","0","0","1","1.625"
"1010004","1","4","1","就要入學聖德蕾莎女學院了！","10","0","0","0","0"
"1010005","1","5","4","","0","0","0","1","4"
"1010006","1","6","2","","0","vo_10011600","vo_10011600_0102","0","0"
"1010007","1","7","1","　為什麼","8","0","0","0","0"
"1010008","1","8","4","","0","0","0","1","1.375"
"1010009","1","9","1","事情會變成這個樣子呢？\n","9","0","0","0","0"
"1010010","1","10","4","","0","0","0","1","3.33333333333333"
"1010011","1","11","2","","0","vo_10011600","vo_10011600_0103","0","0"
"1010012","1","12","1","雖然美里老師","8","0","0","0","0"
"1010013","1","13","4","","0","0","0","1","1.75"
"1010014","1","14","1","說我一定沒問題的……","10","0","0","0","0"
"1010015","1","15","4","","0","0","0","1","3"
"1010016","1","16","1","但是我一定辦不到啊～！\n","8","0","0","0","0"
"1010017","1","17","4","","0","0","0","1","3.875"
"1010018","1","18","2","","0","vo_10011600","vo_10011600_0104","0","0"
"1010019","1","19","1","可是。","8","0","0","0","0"
"1010020","1","20","4","","0","0","0","1","2.375"
"1010021","1","21","1","可是……","8","0","0","0","0"
"1010022","1","22","4","","0","0","0","1","2.5"
"1010023","1","23","2","","0","vo_10011600","vo_10011600_0105","0","0"
"1010024","1","24","1","可是、","8","0","0","0","0"
"1010025","1","25","4","","0","0","0","1","1.375"
"1010026","1","26","1","如果、","8","0","0","0","0"
"1010027","1","27","4","","0","0","0","1","1.5"
"1010028","1","28","1","我可以在聖德蕾莎女學院好好努力。\n\n","8","0","0","0","0"
"1010029","1","29","4","","0","0","0","1","4.875"
