b9b3847696f5f26bbe011610cd50d029d15131b25e70f8c63841706d242e5195,d3368bcc0a4278fcb7ed5c6e029a910caa773d0230d28e586749b002996f909c,bc2d28acf19adfdfadccd7d3935745f3562e567722a599faaf7bcad6c3ca2fa6,396ea085664ebe552ce7f0dda864c50798b4555ce3b780214e32d02edc065aff,0d57c0502055c89ef8dcf4155a0973d362b12fb53cae1bfd6c63f26607eadbd3,52c89d24cf59d791b22866024c8a4f0395e31b7209eb70038b815f2432aca11e
"1","1","1001","15","10101001","58002001"
"2","1","1002","15","10101002","58002002"
"3","1","1003","15","10101003","58002003"
"4","1","1001","15","10201001","56011001"
"5","1","1002","15","10201002","56011002"
"6","1","1003","15","10201003","56011003"
"7","50","0","8","91002","56011003"
"8","1","1001","15","10201004","56011004"
"9","1","1002","15","10201005","56011005"
"10","1","1003","15","10201006","56011006"
"11","50","0","8","91002","56011006"
"12","1","1001","15","10201007","56011007"
"13","1","1002","15","10201008","56011008"
"14","1","1003","15","10201009","56011009"
"15","50","0","8","91002","56011009"
"16","1","1001","15","10201010","56011010"
"17","1","1002","15","10201011","56011011"
"18","1","1003","15","10201012","56011012"
"19","50","0","8","91002","56011012"
"20","1","1001","15","10201013","56011013"
"21","1","1002","15","10201014","56011014"
"22","1","1003","15","10201015","56011015"
"23","50","0","8","91002","56011015"
"24","1","1001","15","10201016","56011016"
"25","1","1002","15","10201017","56011017"
"26","1","1003","15","10201018","56011018"
"27","50","0","8","91002","56011018"
"28","1","1001","15","10201019","56011019"
"29","1","1002","15","10201020","56011020"
"30","1","1003","15","10201021","56011021"
"31","50","0","8","91002","56011021"
"32","1","1001","15","10201022","56011022"
"33","1","1002","15","10201023","56011023"
"34","1","1003","15","10201024","56011024"
"35","50","0","8","91002","56011024"
"36","1","1001","15","10201025","56011025"
"37","1","1002","15","10201026","56011026"
"38","1","1003","15","10201027","56011027"
"39","50","0","8","91002","56011027"
"40","1","1001","15","10201028","56011028"
"41","1","1002","15","10201029","56011029"
"42","1","1003","15","10201030","56011030"
"43","50","0","8","91002","56011030"
"44","1","1001","15","10201031","56011031"
"45","1","1002","15","10201032","56011032"
"46","1","1003","15","10201033","56011033"
"47","50","0","8","91002","56011033"
"48","1","1001","15","10201034","56011034"
"49","1","1002","15","10201035","56011035"
"50","1","1003","15","10201036","56011036"
"51","50","0","8","91002","56011036"
"52","1","1001","15","10201037","56011037"
"53","1","1002","15","10201038","56011038"
"54","1","1003","15","10201039","56011039"
"55","50","0","8","91002","56011039"
"56","1","1001","15","10201040","56011040"
"57","1","1002","15","10201041","56011041"
"58","1","1003","15","10201042","56011042"
"59","50","0","8","91002","56011042"
"60","1","1001","15","10201043","56011043"
"61","1","1002","15","10201044","56011044"
"62","1","1003","15","10201045","56011045"
"63","50","0","8","91002","56011045"
"64","1","1001","15","10201046","56011046"
"65","1","1002","15","10201047","56011047"
"66","1","1003","15","10201048","56011048"
"67","50","0","8","91002","56011048"
"68","1","1001","15","10201049","56011049"
"69","1","1002","15","10201050","56011050"
"70","1","1003","15","10201051","56011051"
"71","50","0","8","91002","56011051"
"72","1","1001","15","10201052","56011052"
"73","1","1002","15","10201053","56011053"
"74","1","1003","15","10201054","56011054"
"75","50","0","8","91002","56011054"
"76","1","1001","15","10201055","56011055"
"77","1","1002","15","10201056","56011056"
"78","1","1003","15","10201057","56011057"
"79","50","0","8","91002","56011057"
"80","1","1001","15","10201058","56011058"
"81","1","1002","15","10201059","56011059"
"82","1","1003","15","10201060","56011060"
"83","50","0","8","91002","56011060"
"84","1","1001","15","10201061","56011061"
"85","1","1002","15","10201062","56011062"
"86","1","1003","15","10201063","56011063"
"87","50","0","8","91002","56011063"
"88","1","1001","15","10201064","56011064"
"89","1","1002","15","10201065","56011065"
"90","1","1003","15","10201066","56011066"
"91","50","0","8","91002","56011066"
"92","1","1001","15","10201067","56011067"
"93","1","1002","15","10201068","56011068"
"94","1","1003","15","10201069","56011069"
"95","50","0","8","91002","56011069"
"96","1","1001","15","10201070","56011070"
