8382896dc09777280e62f3f8496cfc6178d2eb61d0abb55a7c1cadedc548d3f6,79b31732ec1388046dc4d27d811da3d9f717518bd0c48bb000980dc5d5007237,4b292ccf1a13f0077a30bfb9a9f74b08ea395da9982dd7a228a7052a04e963ba,2019dcd39780fdd5252434564404977d98e65ef787a1709098dbc24bfba775b1,e3e475644eb80f40b4cc2f938161ba4190abf11c3a2199ff3cf42588ec8a9c8e
"500000101","傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","75000001","18"
"500000102","賦予TP上升的上限","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","75000001","17"
"500000103","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","75000001","boss_def_lower_limit"
"500000104","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","75000001","boss_magic_def_lower_limit"
"500000105","降低HP吸收","戰鬥開始時，特大幅度降低全體角色的HP吸收。","75000001","9"
"500000106","減少降低TP","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","75000001","boss_tp_down_cut"
"500000201","傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","75000002","18"
"500000202","賦予TP上升的上限","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","75000002","17"
"500000203","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","75000002","boss_def_lower_limit"
"500000204","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","75000002","boss_magic_def_lower_limit"
"500000205","降低HP吸收","戰鬥開始時，特大幅度降低全體角色的HP吸收。","75000002","9"
"500000206","減少降低TP","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","75000002","boss_tp_down_cut"
"500000301","傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","75000003","18"
"500000302","賦予TP上升的上限","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","75000003","17"
"500000303","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","75000003","boss_def_lower_limit"
"500000304","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","75000003","boss_magic_def_lower_limit"
"500000305","降低HP吸收","戰鬥開始時，特大幅度降低全體角色的HP吸收。","75000003","9"
"500000306","減少降低TP","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","75000003","boss_tp_down_cut"
"500000401","傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","75000004","18"
"500000402","賦予TP上升的上限","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","75000004","17"
"500000403","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","75000004","boss_def_lower_limit"
"500000404","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","75000004","boss_magic_def_lower_limit"
"500000405","降低HP吸收","戰鬥開始時，特大幅度降低全體角色的HP吸收。","75000004","9"
"500000406","減少降低TP","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","75000004","boss_tp_down_cut"
"500000501","傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","75000005","18"
"500000502","賦予TP上升的上限","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","75000005","17"
"500000503","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","75000005","boss_def_lower_limit"
"500000504","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","75000005","boss_magic_def_lower_limit"
"500000505","降低HP吸收","戰鬥開始時，特大幅度降低全體角色的HP吸收。","75000005","9"
"500000506","減少降低TP","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","75000005","boss_tp_down_cut"
"500000601","傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","75000006","18"
"500000602","賦予TP上升的上限","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","75000006","17"
"500000603","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","75000006","boss_def_lower_limit"
"500000604","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","75000006","boss_magic_def_lower_limit"
"500000605","降低HP吸收","戰鬥開始時，特大幅度降低全體角色的HP吸收。","75000006","9"
"500000606","減少降低TP","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","75000006","boss_tp_down_cut"
"500000701","傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","75000007","18"
"500000702","賦予TP上升的上限","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","75000007","17"
"500000703","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","75000007","boss_def_lower_limit"
"500000704","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","75000007","boss_magic_def_lower_limit"
"500000705","降低HP吸收","戰鬥開始時，特大幅度降低全體角色的HP吸收。","75000007","9"
"500000706","減少降低TP","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","75000007","boss_tp_down_cut"
"500000801","傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","75000008","18"
"500000802","賦予TP上升的上限","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","75000008","17"
"500000803","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","75000008","boss_def_lower_limit"
"500000804","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","75000008","boss_magic_def_lower_limit"
"500000805","降低HP吸收","戰鬥開始時，特大幅度降低全體角色的HP吸收。","75000008","9"
"500000806","減少降低TP","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","75000008","boss_tp_down_cut"
"601000101","傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","76010001","18"
"601000102","賦予TP上升的上限","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","76010001","17"
"601000103","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","76010001","boss_def_lower_limit"
"601000104","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","76010001","boss_magic_def_lower_limit"
"601000105","降低HP吸收","戰鬥開始時，特大幅度降低全體角色的HP吸收。","76010001","9"
"601000106","減少降低TP","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","76010001","boss_tp_down_cut"
"601000201","傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","76010002","18"
"601000202","賦予TP上升的上限","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","76010002","17"
"601000203","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","76010002","boss_def_lower_limit"
"601000204","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","76010002","boss_magic_def_lower_limit"
"601000205","降低HP吸收","戰鬥開始時，特大幅度降低全體角色的HP吸收。","76010002","9"
"601000206","減少降低TP","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","76010002","boss_tp_down_cut"
"601000301","傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","76010003","18"
"601000302","賦予TP上升的上限","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","76010003","17"
"601000303","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","76010003","boss_def_lower_limit"
"601000304","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","76010003","boss_magic_def_lower_limit"
"601000305","降低HP吸收","戰鬥開始時，特大幅度降低全體角色的HP吸收。","76010003","9"
"601000306","減少降低TP","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","76010003","boss_tp_down_cut"
"601000401","傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","76010004","18"
"601000402","賦予TP上升的上限","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","76010004","17"
"601000403","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","76010004","boss_def_lower_limit"
"601000404","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","76010004","boss_magic_def_lower_limit"
"601000405","降低HP吸收","戰鬥開始時，特大幅度降低全體角色的HP吸收。","76010004","9"
"601000406","減少降低TP","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","76010004","boss_tp_down_cut"
"601000501","傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","76010005","18"
"601000502","賦予TP上升的上限","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","76010005","17"
"601000503","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","76010005","boss_def_lower_limit"
"601000504","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","76010005","boss_magic_def_lower_limit"
"601000505","降低HP吸收","戰鬥開始時，特大幅度降低全體角色的HP吸收。","76010005","9"
"601000506","減少降低TP","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","76010005","boss_tp_down_cut"
