2b8531a732712c2e784749526312a30fe94e48af302292aa7f9a979c13633729,498f5775761b2cb0dcefec25331310aa3546bdcc33a75151d4b63d72de2e62f8,d2b0d7330fdf60029b438d4218de19d0e9be791d5e8fe78fc31986e4ab93e60d,f6e93fd38768c40ca152bc2a13d126cb571f4f039a2f4428bb98726dedc9d1e1,dc7b541f63196c63d2827a881291baca1939ea90ef862fa4b02dcd36258017f2,655f06608cbba3a18800dfde5c51035f1f49bfacd4acd56a78af626136dd9351,7e2a9b71f8f167646f9abd420b2f9f3f460811e3811fc4381e78375f5221697a,11abc64e7ee7f9829d3518253bc0abc0ca77458f3c0cb67ea75146e0af565f59
"10001","10001","10001101","bgm_M32","塔爾格姆地區","bgm_M32","10001101","10001"
"10002","10002","10002101","bgm_M98_2","馬席納地區","bgm_M98","10002101","10002"
"10003","10003","10003101","bgm_M106","蘭德索爾郊外","bgm_M106","10003101","10003"
"10004","10004","10004101","bgm_M112","塔帕斯海灘 周邊","bgm_M112","10004101","10004"
"10005","10005","10005101","bgm_M121","伊爾席翁的孤島","bgm_M121","10005101","10005"
"10006","10006","10006101","bgm_M128","王城蘭德索爾","bgm_M128","10006101","10006"
"10007","10007","10007101","bgm_M135","蘭德索爾近郊","bgm_M135","10007101","10007"
"10008","10008","10008101","bgm_M121","蘭德索爾近郊","bgm_M121","10008101","10008"
"10009","10009","10009101","bgm_M171","聖誕節","bgm_M171","10009101","10009"
"10010","10010","10010101","bgm_M121","往神殿的參道","bgm_M121","10010101","10010"
"10011","10011","10011101","bgm_M189","情人節","bgm_M189","10011101","10011"
"10012","10012","10012101","bgm_M206","王城蘭德索爾","bgm_M206","10012101","10012"
"10013","10013","10013101","bgm_M215","馬納歷亞","bgm_M215","10013101","10013"
"10014","10014","10014101","bgm_M32","塔爾格姆地區","bgm_M32","10014101","10014"
"10015","10015","10015101","bgm_M189","大江戶大街","bgm_M189","10015101","10015"
