7b57efa79541fbf7130b5c3930474d023351ca3776f2ec3ad87e0b8a60e5be8f,9f50129995039fc3a9662cbd17df392b4dbe3fcbfb6d97c50304f8f8b670ed17,3a4d4e1cf99cbc96df07d0673407646b449ab0446a435e301f78a87977ea6187,fbde344906f99b67c74e305135093178bd4ab441938b7fc73cd88cc19e037bd8,187f4264fd81cd4ad6c6b5e34ecbf372331eea7d0d0ab2494c41a080e4959130,7fb34218cdcc1152e68b83256e19ebcd0d65caad2bf75a3f7627fe477ad1f05d,301fca8a4adee96960a2f88bff7747963957aec8e6e2269590c344ea26abaa10,459748a50fe8b3d59cfc1496661e73d7ed57113e7ae3385f0119c8dad8fb7a72,0b54452c9f5ad2638da6dd8d77357122dfbe63163af771bae8bb04f7e237d179,1ad8ba57db2a120bb8c03b996fe8dac3bc41d36b0ecea9645199a52bd2c83c10,ae2adfe4cd8b4073bdb226e84a9a0cfc7576c503da2156195a6cc9243afb48ef
"202","0","1","-273","wac_215_karin_idle_normal","1","111","-345","111001","2","118511"
"205","1","1","170","wac_215_idle_joy1","1","111","-355","111002","2","105811"
"202","1","1","50","wac_215_idle_normal_joy","1","111","-325","111003","2","105911"
"203","1","1","300","wac_215_idle_arm_crossed","1","111","-330","111004","2","106011"
"204","1","1","450","wac_215_idle_normal2","1","111","-360","111005","2","106431"
"","","1","","","131","111","","111006","",""
"","","1","","","93","112","","112001","","0"
"1","","118511","","","3","112","","112002","0.2","wac_215_karin_talk_normal"
"0","","vo_wac_220215","0","","21","112","","112003","","vo_wac_220215_000"
"10","0","118511","1","0.5","11","112","1","112004","0","【美食殿堂】的各位，\n謝謝你們過來！"
"","","112004","","","91","112","","112005","",""
"1","","118511","","","3","112","","112006","0.2","wac_215_karin_idle_normal"
"0","0.2","105811","wac_215_talk_normal","","3","112","1","112007","0.2","wac_215_peko_oissu"
"0","","vo_wac_220215","0","","21","112","","112008","","vo_wac_220215_001"
"10","0","105811","1","0.5","11","112","1","112009","0","花凜小姐，阿囉哈～！\n怎麼了嗎？\n居然找我們來\n蘭德索爾的這個角落。"
"","","112009","","","91","112","","112010","",""
"1","","105811","","","3","112","","112011","0.2","wac_215_idle_normal"
"1","","118511","","","3","112","","112012","0.2","wac_215_karin_talk_normal"
"0","","vo_wac_220215","0","","21","112","","112013","","vo_wac_220215_002"
"10","0","118511","1","0.5","11","112","1","112014","0","我今天有個重要的委託\n想要拜託各位。"
"","","112014","","","91","112","","112015","",""
"1","","118511","","","3","112","","112016","0.2","wac_215_karin_idle_normal"
"0","0","106011","wac_215_talk_arm_crossed_loop","","3","112","1","112017","0.2","wac_215_talk_arm_crossed"
"0","","vo_wac_220215","0","","21","112","","112018","","vo_wac_220215_003"
"10","0","106011","1","0.5","11","112","1","112019","0","重要的委託？\n妳該不會是又想\n把麻煩的事情推給我們吧……"
"","","112019","","","91","112","","112020","",""
"1","","106011","","","3","112","","112021","0.2","wac_215_idle_arm_crossed"
"1","","118511","","","3","112","","112022","0.2","wac_215_karin_talk_normal"
"0","","vo_wac_220215","0","","21","112","","112023","","vo_wac_220215_004"
"10","0","118511","1","0.5","11","112","1","112024","0","其實這次是為了發展提升景觀的\n事業，而決定著手進行在圍繞\n蘭德索爾的牆壁上畫畫，\n讓城鎮華麗起來的計畫。"
"","","112024","","","91","112","","112025","",""
"1","","118511","","","3","112","","112026","0.2","wac_215_karin_idle_normal"
"0","0.2","106431","wac_215_talk_normal","","3","112","1","112027","0.2","wac_215_shefy_humu"
"0","","vo_wac_220215","0","","21","112","","112028","","vo_wac_220215_005"
"10","0","106431","1","0.5","11","112","1","112029","0","在圍繞蘭德索爾的牆壁上畫畫？\n哦～好像會很開心呢。\n只要畫在這裡就行了嗎？"
"","","112029","","","91","112","","112030","",""
"1","","106431","","","3","112","","112031","0.2","wac_215_idle_normal2_joy"
"1","","118511","","","3","112","","112032","0.2","wac_215_karin_talk_normal"
"0","","vo_wac_220215","0","","21","112","","112033","","vo_wac_220215_006"
