5911ff91593a4475e4399a0ae0f4a31319d4260a77afc25683cbcc723e4b4266,a2b849ec8b74f2569f8f57b9841d38697964414b8f9484e80477523e6eb89aaf,565cfb5e56d8d6613e755ff25fc86b314e407b0617baa14eaaad5f3d30fb2100,279cd026763792c986b8d05821d909c60f1cfec61ba018dfc4647772a6cd5332,51e0f6b69386118bfcf298b2710ba9776bd1200b6cf60e1e3d7b256fa6db3f48,dbdc55f79a40cfe7f30c1f95eb775a0616096c47fb8edf3020a25867224e04d6,7f97fe69c9f9a10a44b13205799fec73a553830d8f379c8582b1d4d8c4522945,aeda0680adaa69dede269329a8a13a8dece23df6deb4f9af6e850da89d2ea073,279bc75982fc8884e3684d141703194774b96f3f48def5bb7a88eb01de4cd723,47cbaf264f35ceca4dfc600b979a34f2e51eaf746de345d0afbfa4f4551960d1,6c0428e4d992fea0ca3d88f0253aa23581e42cc838f7b81957cbc545cac34855
"talk_sad","1","0","12001","30","12","52","2.2","1","5","-250"
"","1","0","12002","1","12","1","0","1","6","0"
"black","0","0","12003","50","12","29","1","0","5","0"
"","0","0","12004","1","12","1","0","1","6","0"
"","0","","12005","","12","","","","91",""
"","1","0","12006","1","12","1","0.2","1","6","1"
"","0","0","12007","1","12","1","0.2","1","6","1"
"","1","","12008","0.3","12","-250","","-20","2","2"
"","0","","12009","0.3","12","0","","0","2","2"
"","0.6","","12010","","12","","","0","93",""
"","vo_asb","","12011","0","12","0","","vo_asb_0121","21",""
"0","1","0","12012","1","12","10","0","回想起來，\n我甚至連伴手禮都沒帶……","11","1"
"","0","","12013","0","12","0","","","91",""
"","1","","12014","","12","1","0.2","guts2_talk_shy","3",""
"","vo_asb","","12015","0","12","0","","vo_asb_0122","21",""
"0","1","0","12016","1","12","10","0","下次拜訪的時候必定……！","11","1"
"","0","","12017","0","12","0","","","91",""
"","1","","12018","","12","1","0.2","sad_talk_surprise","3",""
"","vo_asb","","12019","0","12","0","","vo_asb_0123","21",""
"0","1","0","12020","1","12","10","0","……不過，帶什麼才好呢？\n要是選了不適合的東西，\n反倒讓對方感到困擾也不行……","11","1"
"","0","","12021","0","12","0","","","91",""
"","1","","12022","","12","1","0.3","surprise_talk_dere","3",""
"","vo_asb","","12023","0","12","0","","vo_asb_0124","21",""
"0","1","0","12024","1","12","10","0","畢竟是跟兄長大人有關的地方……\n果然還是跟兄長大人商量，\n再一起去挑比較好吧……","11","1"
"","0","","12025","0","12","0","","","91",""
"","1","0","12026","sad_idle_red_riri","12","0","0.4","sad_talk_riri_in","3","1"
"","vo_asb","","12027","0","12","0","","vo_asb_0125","21",""
"0","1","0","12028","1","12","10","0","……一起……挑伴手禮……\n……臉紅。","11","1"
"","0","","12029","0","12","0","","","91",""
"","12031","","12030","","12","","","","101",""
"","1","0","12031","1","12","1","0.3","1","6","0"
"","0","0","12032","1","12","1","0.3","1","6","0"
