fc85a8fa2273f16b78bd7725a50387a925dd1e02ebedd5aa763c3da5730e3bb2,605680cd67ffacf20c43f87470e94f00b304d18c34e09fd3132a1b268a6db647,522a9f8bf5268dba3de1f9a3843f1086829fa665e75cbffcc8e4a74f96fcb29a,24aefe3c8207c1a8e49459b8ad7bcf5e3f7584acf06c44dce4c046013863a467,79e043f07b439a593a8ae223786490d91a15b98e9caec73fc7bb57857f931228,7611391f4d42fbf96c683461925d4108dcf3cd71e28e00079c5b81cbbd59785e,9bfd0a272bf6f38bbd60e169802c90915c480c96389f36d85e903b50f3b821b3,0a8afa072ac9406b90fb7fd15893ae1cf13faaa2dfeba62a991ced08db6cf8a8,5e18bd2ae5f1e76d7ad41316d1e520aa2025810ce3001dd4b7bcfd42f0bfdda4,b82a49c8603ff98bc183f536838e7c5485571152343654b4a52a988ad03430aa,8f0e08b86b6988967288f0f9aba83285b0cfb6cb398bad31d61217b4dfdfa762,a5558cacaa658752ce5622b77da65d80966ff910281179b19a85442fbe8b1716,b6476fb7a9625fd9ec2bf0ba65e11f8bb4a17cbebab892d764ded87ef92fd1d1,bd6f9c29113899698f9015b2ad742dcacb61b6a4e4f6b6f66e342c74104a3694,21365dfc2a96e22de3705dfa41c77d471d3f1b50a653d8fc017da219d6496adc,5bd267f187ac5d21f7be6e2fc5650755424656382b4a9f98a8fbda4bb5663033,3467cc7b7ee79cfe2529176b8bc8a153c2431ad0b714bd1c4cfb2a7f4cb38d3a,169895ba38b4187f8b1b6311e91885efb9c28773bead6bf690a498d69c2dfb3d,db624b4ce8b9a1ff7f2f83eaa38aa54f3f032bb9bd99cb4a3212d1057c36c4a7
"6","105501","1","112201","6","100111","0","100701","1","-100","100003","100701","6","103401","90","123001","6","1001","6"
"6","100901","2","105101","6","100112","0","103401","1","-100","100003","106601","6","103401","90","123001","6","1001","6"
"6","110301","3","106901","6","100113","0","110301","1","-100","100003","112701","6","113401","90","101801","6","1001","6"
"5","117301","1","123001","4","100121","0","100201","2","-100","100003","102901","4","103401","90","100201","4","1001","4"
"4","105101","2","110301","4","100122","0","104001","2","-100","100003","104801","4","117301","90","104001","4","1001","4"
"4","118501","3","100801","5","100123","0","101401","2","-100","100003","101401","4","118001","90","111001","4","1001","4"
"3","112201","1","123001","2","100131","0","112201","3","-100","100003","100701","2","117301","90","100801","1","1001","1"
"1","103401","2","105501","1","100132","0","105501","3","-100","100003","100501","2","106601","90","112201","1","1001","2"
"2","113401","3","110301","2","100133","0","124501","3","-100","100003","105401","1","104801","90","124501","1","1001","3"
"6","117301","1","105001","6","100211","0","111401","1","-100","100003","106601","6","103401","90","111401","6","1002","6"
"6","113401","2","123001","6","100212","0","113401","1","-100","100003","105201","6","105401","90","100801","6","1002","6"
"6","105501","3","123001","6","100213","0","105501","1","-100","100003","100501","6","103401","90","107701","6","1002","6"
"4","124101","1","100901","5","100221","0","122801","2","-100","100003","122801","4","103401","90","119001","4","1002","4"
"4","103401","2","121101","4","100222","0","100501","2","-100","100003","105201","4","100501","90","123001","4","1002","5"
"5","105501","3","123001","4","100223","0","118501","2","-100","100003","100701","4","103401","90","118501","4","1002","5"
"1","103401","1","102601","1","100231","0","108901","3","-100","100003","105201","2","108901","90","123001","1","1002","3"
"2","113401","2","112201","2","100232","0","104801","3","-100","100003","104801","1","102601","90","123001","1","1002","3"
"2","100501","3","110301","1","100233","0","106001","3","-100","100003","100701","2","114701","90","106001","1","1002","7"
"6","103401","1","123001","6","100311","0","102901","1","-100","100003","102901","6","122801","90","125101","6","1003","6"
"6","180301","2","110301","6","100312","0","180301","1","-100","100003","105401","6","106601","90","111001","6","1003","6"
"6","123001","3","118001","6","100313","0","121401","1","-100","100003","101401","6","121401","90","118501","6","1003","6"
"4","103401","1","110301","4","100321","0","114701","2","-100","100003","114701","4","106601","90","123001","4","1003","5"
"5","110301","2","106901","4","100322","0","106901","2","-100","100003","100701","4","117301","90","180201","4","1003","4"
"4","105101","3","113401","4","100323","0","124501","2","-100","100003","103401","4","117501","90","124501","4","1003","5"
"1","117301","1","102601","2","100331","0","108101","3","-100","100003","103401","8","108101","90","123001","1","1003","3"
"2","112701","2","123501","2","100332","0","108201","3","-100","100003","100701","1","103401","90","108201","1","1003","8"
"1","101001","3","100801","1","100333","0","108301","3","-100","100003","101401","3","123001","90","108301","1","1003","8"
"6","103401","1","100901","6","100411","0","106601","1","-100","100003","114701","6","106601","90","110301","6","1004","6"
"6","105401","2","103401","6","100412","0","180401","1","-100","100003","180401","6","100501","90","106901","6","1004","6"
"6","101401","3","123001","6","100413","0","100801","1","-100","100003","103401","6","105501","90","100801","6","1004","6"
"4","180301","1","110301","4","100421","0","105401","2","-100","100003","105401","4","106601","90","118001","4","1004","4"
"5","110301","2","124501","4","100422","0","101801","2","-100","100003","105301","4","113401","90","101801","4","1004","4"
"4","103401","3","105501","4","100423","0","123301","2","-100","100003","105201","4","123301","90","123001","4","1004","5"
"2","126101","1","110301","3","100431","0","126101","3","-100","100003","126001","3","125801","90","108301","3","1004","8"
"3","121101","2","123001","2","100432","0","103301","3","-100","100003","103301","1","103401","90","108301","7","1004","8"
"3","180501","3","123001","2","100433","0","105801","3","-100","100003","105801","2","117301","90","106001","7","1004","7"
"6","105501","1","112201","6","100511","0","105501","1","-100","100003","100701","6","103401","90","123001","6","1005","6"
"6","100901","2","105101","6","100512","0","100901","1","-100","100003","106601","6","103401","90","123001","6","1005","6"
"6","110301","3","106901","6","100513","0","112701","1","-100","100003","112701","6","113401","90","101801","6","1005","6"
"4","100101","1","123801","4","100521","0","100101","2","-100","100003","114701","4","106601","90","110301","4","1005","4"
"4","105501","2","102601","4","100522","0","102601","2","-100","100003","105201","4","103401","90","112201","4","1005","4"
"4","105501","3","110301","4","100523","0","119201","2","-100","100003","105401","4","119201","90","121401","4","1005","4"
"8","103401","1","107701","1","100531","0","106601","3","-100","100003","105201","1","106601","90","108301","1","1005","8"
"3","126101","2","123001","3","100532","0","127901","3","-100","100003","127901","1","103401","90","108301","3","1005","8"
"3","102601","3","123001","1","100533","0","108401","3","-100","100003","105801","2","123301","90","108401","7","1005","8"
"6","117301","1","105001","6","100611","0","111401","1","-100","100003","106601","6","103401","90","111401","6","1006","6"
"6","113401","2","123001","6","100612","0","113401","1","-100","100003","105201","6","105401","90","100801","6","1006","6"
"6","105501","3","123001","6","100613","0","107701","1","-100","100003","100501","6","103401","90","107701","6","1006","6"
"4","112201","1","105001","4","100621","0","112201","2","-100","100003","106601","4","103401","90","111401","4","1006","4"
"4","105301","2","105501","4","100622","0","123001","2","-100","100003","102901","4","105401","90","123001","4","1006","5"
"4","101401","3","112201","4","100623","0","117301","2","-100","100003","100701","4","117301","90","123001","4","1006","5"
"7","105501","1","106001","1","100631","0","128301","3","-100","100003","128301","1","103401","90","108301","3","1006","8"
"3","123301","2","123001","2","100632","0","106501","3","-100","100003","106501","1","106601","90","108301","1","1006","8"
"3","110301","3","123001","2","100633","0","109001","3","-100","100003","109001","1","102601","90","107701","8","1006","8"
"6","103401","1","123001","6","100711","1001","125101","1","-100","100003","102901","6","122801","90","125101","6","1007","6"
"6","180301","2","110301","6","100712","1001","111001","1","-100","100003","105401","6","106601","90","111001","6","1007","6"
"6","123001","3","118001","6","100713","1001","118001","1","-100","100003","101401","6","121401","90","118501","6","1007","6"
"5","117301","1","123001","4","100721","1001","100201","2","-100","100003","102901","4","103401","90","100201","4","1007","4"
"4","105101","2","110301","4","100722","1001","105101","2","-100","100003","104801","4","117301","90","104001","4","1007","4"
"4","118501","3","100801","4","100723","1001","100801","2","-100","100003","101401","4","118001","90","111001","4","1007","4"
"3","102601","1","123001","1","100731","1001","128801","3","-100","100003","128801","2","123301","90","118501","3","1007","3"
"3","105501","2","128901","1","100732","1001","128901","3","-100","100003","104501","1","103401","90","108301","1","1007","8"
"3","117301","3","123001","2","100733","1001","128701","3","-100","100003","128301","3","128701","90","108301","3","1007","8"
"6","105501","1","112201","6","100811","1002","100701","1","-100","100003","100701","6","103401","90","123001","6","1008","6"
"6","117301","2","105001","6","100812","1002","111401","1","-100","100003","106601","6","103401","90","111401","6","1008","6"
"6","103401","3","123001","6","100813","1002","102901","1","-100","100003","102901","6","122801","90","125101","6","1008","6"
"4","110301","1","101201","4","100821","1002","110301","2","-100","100003","104601","4","103401","90","111401","4","1008","4"
"5","113401","2","106901","4","100822","1002","106601","2","-100","100003","105201","4","106601","90","123001","4","1008","5"
"5","101401","3","123001","4","100823","1002","123001","2","-100","100003","103401","4","105501","90","100801","4","1008","4"
