837c63d068d0406fdc4160a107cdef48209c9eaa3bb4fead8e39176e82122598,fc520677b0f3feba34a751b05986c733f65a74925e80f7c1ebacab967311bbf3,c8ad4a71f6af82f2b6ff1c6c5c97e0cf8ce38af1bddbb9588829a1dde505e58f,ad4faf97125e8dc16725d2525e81b2ccd7ebba9672db7ca433cb07b0e6258765
"10000","1","1","HP"
"10000","1","2","物理攻擊力"
"10000","1","3","物理防禦力"
"10000","1","4","魔法攻擊力"
"10000","1","5","魔法防禦力"
"10000","1","6","物理暴擊率"
"10000","1","7","魔法暴擊率"
"1","0","8","迴避率"
"1","0","9","HP吸收"
"1","0","10","HP自動恢復"
"1","0","11","TP自動恢復"
"1","0","12","物理貫通傷害"
"1","0","13","魔法貫通傷害"
"1","0","14","TP上升"
"1","0","15","回復量上升"
"1","0","16","TP消耗減輕"
"1","0","17","命中"
"100","1","100","物理暴擊傷害"
"100","1","101","魔法暴擊傷害"
"100","1","102","物理造成的傷害"
"100","1","103","魔法造成的傷害"
"10000","1","104","屬性獎勵"
