4d1fffa396130940565168c67b4fc993b2abfa465ca0af8e2c9227ebfb6a3c2d,c683c7bbf70f30402bc4c15b5e326fa63dffd9c3d7281b6f2afccf87c31a5bd2,07e2bd5cc42293c537e8bb54e2ee3c9412a4c3aab0cf5429dbffed78b4661bbb,11abc13de9ed721a4963d7c274d20d59f729c8d2ba9ea3d8efeb21805a69214d,96f580ae5419a7ad40db45944daba7e5f60fff94567d93a2dd821468e46b5d4b
"1000","25011","2","32000101","320001011"
"1000","25012","2","32000101","320001012"
"1000","25013","2","32000102","320001021"
"1000","25014","2","32000102","320001022"
"1000","91002","8","32000103","320001031"
"3000000","94002","12","32000103","320001032"
"1000","25015","2","32000103","320001033"
"1000","25021","2","32000103","320001034"
"1000","25013","2","32000104","320001041"
"1000","25014","2","32000104","320001042"
"1000","25012","2","32000105","320001051"
"1000","25015","2","32000105","320001052"
"1000","91002","8","32000106","320001061"
"3000000","94002","12","32000106","320001062"
"1000","25011","2","32000106","320001063"
"1000","25021","2","32000106","320001064"
"1000","25014","2","32000107","320001071"
"1000","25015","2","32000107","320001072"
"1000","25011","2","32000108","320001081"
"1000","25013","2","32000108","320001082"
"1000","91002","8","32000109","320001091"
"3000000","94002","12","32000109","320001092"
"1000","25012","2","32000109","320001093"
"1000","25021","2","32000109","320001094"
"3000","25011","2","32000110","320001101"
"3000","25012","2","32000110","320001102"
"3000","25013","2","32000110","320001103"
"3000","25014","2","32000110","320001104"
"3000","25015","2","32000110","320001105"
"3000","25011","2","32000111","320001111"
"3000","25012","2","32000111","320001112"
"3000","25013","2","32000111","320001113"
"3000","25014","2","32000111","320001114"
"3000","25015","2","32000111","320001115"
"3000","25011","2","32000112","320001121"
"3000","25012","2","32000112","320001122"
"3000","25013","2","32000112","320001123"
"3000","25014","2","32000112","320001124"
"3000","25015","2","32000112","320001125"
"1","21953","2","32000113","320001131"
"2000","25021","2","32000113","320001132"
