222ac2b67bd52d3bc3123e3b18a47ba6b118e51b0cb7042c3f5dad52d114e9a2,444df9d5ee5292f9baa1093e7b9d4e22bc2356bbb7d82d545fc2a26eadc00a35,f4317cabd07af08124a3160b9fd69876a8cc112408e240b9795f886f323723cc,7fad8443109cda3f06070e75d8c01ab4300a040aa2ccc00d326401f6f6a4b266,ddf9cbfe4c8dd8a7cad4baf178fc85e0b51ab5ab6da507e676771bad0cf538de,cb52e891a34bfd6ba99ec0cff3080736771fc5a0877df56b0726c87ca414e8fb,4475d71f28fdf019dbd7da65963c1b5e74a85cf3a5417424a336f80630dc5d93,88f03862cf02515da9f9e2e6b5bf7fdc9a066fd4aa8a6ad7e30c8db1f6575175,7b6dcb94ecc251725f0d33231d4f8eae52b61bff806fe707519896be5774afd6
"6","1","2","100101","1","2","3","3","2"
"5","3","1","100201","2","1","3","2","1"
"7","1","3","100301","3","2","2","3","1"
"13","1","2","100401","3","2","2","3","2"
"18","2","2","100501","2","3","3","1","2"
"25","1","2","100601","2","3","3","2","1"
"26","3","3","100701","2","1","3","2","2"
"40","3","3","100801","3","1","2","1","2"
"34","1","3","100901","2","3","2","3","1"
"8","3","1","101001","2","1","3","2","1"
"56","2","2","101101","2","1","3","2","3"
"43","1","2","101201","2","2","1","3","3"
"33","1","2","101301","3","3","3","1","1"
"11","3","1","101401","2","2","2","1","1"
"42","3","1","101501","3","1","2","2","1"
"46","2","2","101601","3","1","3","1","3"
"10","1","2","101701","2","2","3","1","3"
"45","3","1","101801","3","2","2","1","1"
"12","2","1","102001","1","2","3","3","2"
"30","1","1","102101","3","2","3","2","1"
"24","1","1","102201","3","2","1","2","3"
"31","1","2","102301","1","3","3","3","2"
"29","3","1","102501","2","1","2","1","3"
"51","3","1","102601","1","1","3","2","2"
"36","2","3","102701","3","1","1","3","2"
"28","2","1","102801","3","1","2","1","2"
"52","2","1","102901","2","1","3","2","2"
"39","2","2","103001","3","2","3","1","1"
"27","3","3","103101","1","1","2","3","2"
"19","3","2","103201","2","1","1","3","2"
"48","2","2","103301","1","2","3","3","1"
"20","2","1","103401","2","3","1","2","2"
"14","3","3","103601","2","3","1","1","2"
"17","1","3","103701","3","3","2","1","2"
"49","3","3","103801","1","3","2","2","1"
"44","2","1","104001","1","3","1","2","3"
"53","3","3","104201","2","2","2","1","2"
"9","1","3","104301","2","1","2","3","3"
"23","3","3","104401","1","2","2","3","1"
"38","2","1","104501","2","3","2","2","1"
"21","3","2","104601","1","1","2","2","3"
"15","1","3","104701","2","3","2","1","3"
"22","1","3","104801","3","2","1","2","3"
"55","2","1","104901","2","1","2","3","2"
"47","2","1","105001","2","2","3","1","3"
"35","3","3","105101","1","2","1","1","3"
"50","2","2","105201","2","1","3","2","2"
"37","1","3","105301","3","1","2","3","2"
"54","2","2","105401","1","1","3","2","3"
"41","2","1","105501","1","3","2","3","1"
"32","1","3","105601","2","1","3","2","3"
"67","1","1","105701","2","2","3","2","2"
"1","2","2","105801","2","1","3","2","2"
"2","3","1","105901","2","2","2","2","1"
"3","2","3","106001","1","3","2","1","3"
"58","1","2","106101","2","2","3","3","2"
"68","1","1","106301","1","2","3","3","2"
"4","1","1","106401","2","3","3","2","2"
"61","1","3","106501","2","3","3","1","2"
"62","3","2","106601","1","3","3","1","2"
"60","2","3","106701","2","2","2","1","1"
"57","1","1","106801","2","3","1","1","2"
"59","3","3","107001","1","2","1","2","1"
"16","1","3","107101","3","2","1","2","2"
"70","2","1","109201","2","2","2","2","1"
"72","2","2","109301","2","1","3","2","3"
"71","1","3","109401","3","2","2","1","3"
"64","1","1","110801","2","2","2","2","3"
"65","2","2","110901","3","1","2","1","2"
"63","3","3","111001","1","2","3","1","1"
"69","2","2","111401","1","3","2","2","3"
"66","3","2","118001","2","2","1","1","3"
