48a2444ea92049f584d67c1d1678f536f5d062c81dabb0edcd72ce8eca6c4ee5,c8d22ea59065e5f9017ef04aa80b6697ee6380ab811b6afef3dd8e256b2316bd,245a18693ea836cbe1593e5a2b811d4a6b97dc9fd79704da4c975ee8ae3282e5,47c552408311639ee7abed71338f6e97d432e2bb3b45757499dd2b190e768a03,fc184a51623963166f4c13db33de44de79b0f88105155f1c252c4e8b0c8857bf,cdd84fe562fd46c68d69c39f81d0f270d43287796d7d01d3d15207bd3bf19fe4,ebf024577cde390b1c0cc2b6ae101022e75e292b168f1795ee640228660f13ea,2b336b917622cd09d7e3e5055716194f74308b80ae59aa560461dd156eaedf9c
"-90","1","1","1","182","-401","170","71"
"-90","2","2","1","182","-401","170","81"
"90","3","3","1","182","-255","255","121"
"90","4","4","1","182","-255","255","131"
"90","5","5","1","182","-255","255","141"
"-80","6","6","1","176","-107","229","191"
"-80","7","7","1","176","-107","229","201"
"-85","8","8","1","151","136","218","271"
"-85","9","9","1","151","136","218","281"
"-85","10","10","1","151","136","218","291"
"80","11","11","1","219","280","156","331"
"80","12","12","1","219","280","156","341"
"80","13","13","1","219","280","156","351"
"-97","14","14","1","183","417","213","401"
"-97","15","15","1","183","417","213","411"
"-73","1","2","2","229","-259","242","451"
"124","2","4","2","179","-222","226","481"
"-67","3","6","2","192","-101","219","501"
"-27","4","8","2","190","-26","168","521"
"-50","5","11","2","260","117","192","551"
"120","6","14","2","138","241","159","601"
"120","7","14","2","138","241","159","611"
"-71","8","14","2","229","243","224","621"
"32","1","1","3","43","-353","71","781"
"-30","2","2","3","268","-228","235","801"
"144","3","3","3","45","-243","80","831"
"-76","4","4","3","225","20","221","851"
"-74","5","5","3","222","230","211","861"
"44","6","6","3","136","-100","115","891"
"44","7","7","3","136","-100","115","901"
"76","8","8","3","250","116","306","991"
"76","9","9","3","250","116","306","1001"
"76","10","10","3","250","116","306","1011"
"40","11","11","3","188","322","96","1041"
"40","12","12","3","188","322","96","1051"
"-6","1","1","4","272","-211","294","1091"
"129","2","2","4","115","-288","92","1101"
"129","3","3","4","115","-288","92","1111"
"128","4","4","4","174","-58","135","1121"
"133","5","5","4","184","143","222","1151"
"-129","6","6","4","98","-277","134","1161"
"-129","7","7","4","98","-277","134","1171"
"-12","8","8","4","70","-60","67","1211"
"-12","9","9","4","70","-60","67","1221"
"-55","10","10","4","185","116","132","1231"
"-103","11","11","4","89","-17","93","1261"
