6cd19ddb60fc709563963a362e63f7bb41d842d32058bc0ed72201bbe92f8458,250a5c435625ce46ed4521d0b47a293b210dc9661a5b745a66820e8d9e4e3e46,06a1ad310903105471bd6b87e3cdeca3bb9880c673bcd1322e4115ad8bccc3a7,8b1bacff074263e3262c4df472c9f216cce063141a69524b5641e4d933231c54,c855949fc89bce77b0e310248b9eddf68bb1c30e2ab779c9a9f28c886845c037,9a283feba81c3b21768a178e48d71de77db3eb30d0cce4340702c7b595dae2af,fbd96c1af1b98440d5eee70a8177f1559fc94db0d3d50baa00346d151c34ef44,578cd9467bb43d83dde8f1c5f9034638c42c13fbf780538386fe3b7367ae94e9,7011f0b75d447b0075e52354939e38c341e8df7b62b2675579f5953fae9424a0,bb3e4d69ba187255eef596bd019e34d90a71da988af0eb12ea05b26cdbb4e6cb,553269911c9fd4d4dba7e1a11a3285eaf27130a9d33cf4c01f5c901890300286
"12","1","-250","0","52","2.2","30","1","12001","talk_sad","5"
"12","1","0","0","1","0","1","1","12002","","6"
"12","0","0","0","29","1","50","0","12003","black","5"
"12","1","0","0","1","0","1","0","12004","","6"
"12","","","","","","","0","12005","","91"
"12","1","1","0","1","0.2","1","1","12006","","6"
"12","1","1","0","1","0.2","1","0","12007","","6"
"12","-20","2","","-250","","0.3","1","12008","","2"
"12","0","2","","0","","0.3","0","12009","","2"
"12","0","","","","","","0.6","12010","","93"
"12","vo_asb_0121","","","0","","0","vo_asb","12011","","21"
"12","回想起來，\n我甚至連伴手禮都沒帶……","1","0","10","0","1","1","12012","0","11"
"12","","","","0","","0","0","12013","","91"
"12","guts2_talk_shy","","","1","0.2","","1","12014","","3"
"12","vo_asb_0122","","","0","","0","vo_asb","12015","","21"
"12","下次拜訪的時候必定……！","1","0","10","0","1","1","12016","0","11"
"12","","","","0","","0","0","12017","","91"
"12","sad_talk_surprise","","","1","0.2","","1","12018","","3"
"12","vo_asb_0123","","","0","","0","vo_asb","12019","","21"
"12","……不過，帶什麼才好呢？\n要是選了不適合的東西，\n反倒讓對方感到困擾也不行……","1","0","10","0","1","1","12020","0","11"
"12","","","","0","","0","0","12021","","91"
"12","surprise_talk_dere","","","1","0.3","","1","12022","","3"
"12","vo_asb_0124","","","0","","0","vo_asb","12023","","21"
"12","畢竟是跟兄長大人有關的地方……\n果然還是跟兄長大人商量，\n再一起去挑比較好吧……","1","0","10","0","1","1","12024","0","11"
"12","","","","0","","0","0","12025","","91"
"12","sad_talk_riri_in","1","0","0","0.4","sad_idle_red_riri","1","12026","","3"
"12","vo_asb_0125","","","0","","0","vo_asb","12027","","21"
"12","……一起……挑伴手禮……\n……臉紅。","1","0","10","0","1","1","12028","0","11"
"12","","","","0","","0","0","12029","","91"
"12","","","","","","","12031","12030","","101"
"12","1","0","0","1","0.3","1","1","12031","","6"
"12","1","0","0","1","0.3","1","0","12032","","6"
"12","-120","1","","-250","","0.3","1","12033","","2"
"12","-100","1","","0","","0.3","0","12034","","2"
"12","0","","","","","","0","12035","","22"
"12","0","","","","","","0.4","12036","","93"
"13","1","-230","0","17","2.2","20","1","13001","riri_idle_look_shy","5"
"13","2","-255","0","19","2.2","-140","2","13002","clear_idle_look_shy","5"
"13","3","-245","1","18","2.2","270","3","13003","idle_look_precia","5"
"13","1","0","0","1","0","1","1","13004","","6"
"13","1","0","0","1","0","1","2","13005","","6"
"13","1","0","0","1","0","1","3","13006","","6"
"13","100","1","","0","0","0","1","13007","","31"
"13","0","","","","","","100","13008","","35"
"13","0","0","0","16","1","50","0","13009","black","5"
"13","1","0","0","1","0","1","0","13010","","6"
"13","","","","","","","0","13011","","91"
"13","0","","","","","","0.1","13012","","93"
"13","1","1","0","1","0.2","1","1","13013","","6"
"13","1","1","0","1","0.2","1","2","13014","","6"
"13","1","1","0","1","0.2","1","3","13015","","6"
"13","1","1","0","1","0.2","1","0","13016","","6"
"13","-30","2","","-230","","0.3","1","13017","","2"
"13","-190","2","","-255","","0.3","2","13018","","2"
"13","220","2","","-245","","0.3","3","13019","","2"
"13","0","2","","0","","0.3","0","13020","","2"
"13","1","","","","","","100","13021","","32"
"13","0","","","","","","0.6","13022","","93"
"13","sad_talk_look_shy_riri","","","1","0.2","","1","13023","","3"
"13","vo_asb_1521","","","0","","0","vo_asb","13024","","21"
"13","其實我們……\n要讓兄長大人看這本\n學習的剪貼簿，\n會覺得有點害羞。","1","0","10","0","1","1","13025","0","11"
"13","","","","0","","0","0","13026","","91"
"13","sad_idle_normal_look_shy_riri","","","1","0.2","","1","13027","","3"
"13","clear_talk_look_shy","","","1","0.2","","2","13028","","3"
"13","vo_asb_1522","","","0","","0","vo_asb","13029","","21"
"13","因為，雖然有很多快樂的回憶，\n但也同樣搞砸了許多事或力不從心。\n這些事要特地讓哥哥看一遍，\n是很需要勇氣的……","1","0","10","0","1","2","13030","0","11"
"13","","","","0","","0","0","13031","","91"
"13","clear_idle_look_shy","","","1","0.3","","2","13032","","3"
"13","sad_talk_look_precia","","","1","0.2","","3","13033","","3"
"13","vo_asb_1523","","","0","","0","vo_asb","13034","","21"
"13","赤裸裸的，\n冒險記。","1","0","10","0","1","3","13035","0","11"
"13","","","","0","","0","0","13036","","91"
"13","idle_look_precia","","","1","0.2","","3","13037","","3"
"13","talk_look_shy_riri","","","1","0.3","","1","13038","","3"
"13","vo_asb_1524","","","0","","0","vo_asb","13039","","21"
"13","但是……這也是種學習。\n兄長大人，能請您務必告訴我們，\n您看完之後的感想嗎？","1","0","10","0","1","1","13040","0","11"
"13","","","","0","","0","0","13041","","91"
"13","wish_talk_look_shy_riri","","","1","0.2","","1","13042","","3"
"13","vo_asb_1525","","","0","","0","vo_asb","13043","","21"
"13","無論是多嚴厲的斥責或指教，\n我們都會虛心接受的──\n呃…………咦？","1","0","10","0","1","1","13044","0","11"
"13","","","","0","","0","0","13045","","91"
"13","idle_look_shy","","","1","0.2","","2","13046","","3"
"13","joy_idle_look_shy_precia","","","1","0.3","","3","13047","","3"
"13","wish_talk_Ex4","","","1","0.2","","1","13048","","3"
"13","vo_asb_1526","","","0","","0","vo_asb","13049","","21"
"13","…………\n沒、沒想到……\n竟然能像這樣被稱讚……","1","0","10","0","1","1","13050","0","11"
"13","","","","0","","0","0","13051","","91"
"13","idle_look_shy_riri","","","1","0.2","","1","13052","","3"
"13","surprise_idle_lookR_precia","","","1","0.4","","3","13053","","3"
"13","vo_asb_1527","","","0","","0","vo_asb","13054","","21"
"13","哥……","1","0","10","0","1","3","13055","0","11"
"13","","","","0","","0","0","13056","","91"
"13","joy_idle_look_shy_precia2","","","1","0.4","","3","13057","","3"
"13","clear_talk2_look","","","1","0.2","","2","13058","","3"
"13","vo_asb_1528","","","0","","0","vo_asb","13059","","21"
"13","哥哥你，\n並不是針對結果，\n而是看到我們努力的過程，\n稱讚了我們的付出……","1","0","10","0","1","2","13060","0","11"
"13","","","","0","","0","0","13061","","91"
"13","wish_talk_Ex3","","","1","0.2","","1","13062","","3"
"13","joy_idle_look_shy_precia","","","1","0.3","","3","13063","","3"
"13","talk2ToWish_look","1","0","0","0.2","clear_wish_talk_joy_look","2","13064","","3"
"13","vo_asb_1529","","","0","","0","vo_asb","13065","","21"
"13","……謝謝！","1","0","10","0","1","1","13066","0","11"
"13","","","","0","","0","0","13067","","91"
"13","idle_look_shy_riri","","","1","0.2","","1","13068","","3"
"13","idle_look_shy","","","1","0.2","","2","13069","","3"
"13","doya_in_precia","1","0","0","0.2","doya_talk_precia","3","13070","","3"
"13","vo_asb_1530","","","0","","0","vo_asb","13071","","21"
"13","自信滿滿的，\n冒險記。","1","0","10","0","1","3","13072","0","11"
"13","","","","0","","0","0","13073","","91"
"13","idle_look_normal_precia","","","1","0.4","","3","13074","","3"
"13","riri_talk_look_shy","","","1","0.2","","1","13075","","3"
"13","vo_asb_1531","","","0","","0","vo_asb","13076","","21"
"13","誠如您看到的，\n我們還是如此的笨拙不成熟……","1","0","10","0","1","1","13077","0","11"
"13","","","","0","","0","0","13078","","91"
"13","riri_idle_look_normal_shy","","","1","0.2","","1","13079","","3"
"13","clear_talk3_look","","","1","0.2","","2","13080","","3"
"13","vo_asb_1532","","","0","","0","vo_asb","13081","","21"
"13","但多虧有哥哥\n像這樣溫暖地守護我們，\n我才能繼續追逐夢想，\n想成為了不起的冒險者。","1","0","10","0","1","2","13082","0","11"
"13","","","","0","","0","0","13083","","91"
"13","clear_wish_talk_joy_look","","","1","0.2","","2","13084","","3"
"13","vo_asb_1533","","","0","","0","vo_asb","13085","","21"
"13","哥哥。\n從今以後，也請你繼續\n待在【幻變少女】身旁喔。","1","0","10","0","1","2","13086","0","11"
"13","","","","0","","0","0","13087","","91"
"13","clear_wish_idle_look","","","1","0.2","","2","13088","","3"
"13","agree","1","0.2","0","0.1","joy_idle_look_shy_precia2","3","13089","","3"
"13","vo_asb_1534","","","0","","0","vo_asb","13090","","21"
"13","請多指教。","1","0","10","0","1","3","13091","0","11"
"13","","","","0","","0","0","13092","","91"
"13","bow_riri","1","0.2","0","0.2","idle_look_shy_riri","1","13093","","3"
"13","vo_asb_1535","","","0","","0","vo_asb","13094","","21"
"13","請多多指教……！","1","0","10","0","1","1","13095","0","11"
"13","","","","0","","0","0","13096","","91"
"13","","","","","","","13098","13097","","101"
"13","1","0","0","1","0.3","1","1","13098","","6"
"13","1","0","0","1","0.3","1","2","13099","","6"
"13","1","0","0","1","0.3","1","3","13100","","6"
"13","1","0","0","1","0.3","1","0","13101","","6"
"13","-130","1","","-230","","0.3","1","13102","","2"
"13","-290","1","","-255","","0.3","2","13103","","2"
