6efbf240f1154f92c48a0cb0448a39e871b8b28367e371279f1974e37e4d43d4,a844a0c09f11f852b6554f80c26e3aa0a8f0a767783ca75b15e2c6462d135c80,28596a9bb46e1988502c659372ed77f7856248ede33961248c2e48642c2159f6,1b75b57659375c92c389ea99234bb3b5091b9e58c2edaa02870f788db876f98e,3ac124372c0897224a5cdd74c02e1b895a8f88ea0c99fccb892106c71f6160cd,e1beabb179d8316cfc6e16207ca9559ee05c09aac8831329e23ab63865edc020,76d6a7ed3a41505085a388789785a5c0f72e36f0d4e9e5e08ca260af6c544a6c,01d6d5c317e12bd4e90a6ebe3b9683a379ca09df6defcf42814ee425372655e8,4ebb787918cf237a3162268d14d6e8b994682fbd1f3a77325ce1d662af22d697,8c7f664e3f0ed82e2d0ccbf60401982388e3b7997a965b3a2dc1a2f0a274b8b3,e41493775cc73bf17141969ec08f35f2be218c0ebee34f7ae6c53e3da3fa92b4,83bb8d51dcdf1a2d9ec4836eab4326c073d83b3e29422891198878c192af8f9a
"3","1","200","1","2026/08/01 04:59:59","260312001","43","登入遊戲1次","26031","1","2026/07/02 05:00:00","0"
"3","1","200","2","2026/08/01 04:59:59","260312002","45","消耗500體力","26031","500","2026/07/02 05:00:00","0"
"3","1","200","3","2026/08/01 04:59:59","260312003","47","完成合計4次經驗值冒險或瑪那冒險","26031","4","2026/07/02 05:00:00","0"
"3","1","200","4","2026/08/01 04:59:59","260312004","48","完成10次主線、活動或支線冒險","26031","10","2026/07/02 05:00:00","0"
"3","1","200","5","2026/08/01 04:59:59","260312005","49","完成10次深域冒險","26031","10","2026/07/02 05:00:00","0"
"4","2","500","11","2026/07/29 04:59:59","260312006","44","登入遊戲合計5次","26031","5","2026/07/02 05:00:00","0"
"4","2","200","12","2026/07/29 04:59:59","260312007","46","消耗合計1000體力","26031","1000","2026/07/02 05:00:00","0"
"4","2","400","13","2026/07/29 04:59:59","260312008","46","消耗合計3000體力","26031","3000","2026/07/02 05:00:00","0"
"4","2","600","14","2026/07/29 04:59:59","260312009","46","消耗合計5000體力","26031","5000","2026/07/02 05:00:00","0"
"4","2","200","18","2026/07/29 04:59:59","260312010","53","在戰鬥競技場或公主競技場合計戰鬥5次","26031","5","2026/07/02 05:00:00","0"
"4","2","400","19","2026/07/29 04:59:59","260312011","53","在戰鬥競技場或公主競技場合計戰鬥10次","26031","10","2026/07/02 05:00:00","0"
"4","2","600","20","2026/07/29 04:59:59","260312012","53","在戰鬥競技場或公主競技場合計戰鬥20次","26031","20","2026/07/02 05:00:00","0"
"4","2","200","21","2026/07/29 04:59:59","260312013","50","完成50次深域冒險","26031","50","2026/07/02 05:00:00","0"
"4","2","400","22","2026/07/29 04:59:59","260312014","50","完成100次深域冒險","26031","100","2026/07/02 05:00:00","0"
"4","2","600","23","2026/07/29 04:59:59","260312015","50","完成250次深域冒險","26031","250","2026/07/02 05:00:00","0"
"4","2","500","24","2026/07/29 04:59:59","260312016","54","不使用掃蕩，通過1次黎明界迷宮","26031","1","2026/07/02 05:00:00","0"
"5","3","100","201","2026/08/06 15:59:59","260312017","66","在次元斷層中勝利1次（不包含尋寶冒險）","26041","1","2026/08/01 16:00:00","0"
"5","3","100","202","2026/08/06 15:59:59","260312018","66","在次元斷層中勝利5次（不包含尋寶冒險）","26041","5","2026/08/01 16:00:00","0"
"5","3","200","203","2026/08/06 15:59:59","260312019","66","在次元斷層中勝利10次（不包含尋寶冒險）","26041","10","2026/08/01 16:00:00","0"
"5","3","300","204","2026/08/06 15:59:59","260312020","66","在次元斷層中勝利15次（不包含尋寶冒險）","26041","15","2026/08/01 16:00:00","0"
"5","3","400","205","2026/08/06 15:59:59","260312021","66","在次元斷層中勝利20次（不包含尋寶冒險）","26041","20","2026/08/01 16:00:00","0"
"5","3","500","206","2026/08/06 15:59:59","260312022","66","在次元斷層中勝利25次（不包含尋寶冒險）","26041","25","2026/08/01 16:00:00","0"
"5","3","500","501","2026/07/31 23:59:59","260312023","58","合計挑戰3次戰隊競賽","26031","3","2026/07/27 05:00:00","0"
"5","3","500","502","2026/07/31 23:59:59","260312024","58","合計挑戰6次戰隊競賽","26031","6","2026/07/27 05:00:00","0"
"5","3","500","503","2026/07/31 23:59:59","260312025","58","合計挑戰9次戰隊競賽","26031","9","2026/07/27 05:00:00","0"
"5","3","500","504","2026/07/31 23:59:59","260312026","58","合計挑戰12次戰隊競賽","26031","12","2026/07/27 05:00:00","0"
"5","3","1000","505","2026/07/31 23:59:59","260312027","58","合計挑戰15次戰隊競賽","26031","15","2026/07/27 05:00:00","0"
"5","3","100","101","2026/07/10 04:59:59","260312028","59","在深淵討伐戰挑戰10次Boss","26031","10","2026/07/05 16:00:00","0"
"5","3","200","102","2026/07/10 04:59:59","260312029","59","在深淵討伐戰挑戰20次Boss","26031","20","2026/07/05 16:00:00","0"
"5","3","300","103","2026/07/10 04:59:59","260312030","59","在深淵討伐戰挑戰30次Boss","26031","30","2026/07/05 16:00:00","0"
"5","3","400","104","2026/07/10 04:59:59","260312031","59","在深淵討伐戰挑戰40次Boss","26031","40","2026/07/05 16:00:00","0"
"5","3","500","105","2026/07/10 04:59:59","260312032","59","在深淵討伐戰挑戰50次Boss","26031","50","2026/07/05 16:00:00","0"
"5","3","1000","106","2026/07/10 04:59:59","260312033","59","在深淵討伐戰挑戰60次Boss","26031","60","2026/07/05 16:00:00","0"
"5","3","100","107","2026/07/10 04:59:59","260312034","60","在深淵討伐戰獲得10億Pt","26031","1","2026/07/05 16:00:00","1000000000"
"5","3","200","108","2026/07/10 04:59:59","260312035","60","在深淵討伐戰獲得50億Pt","26031","1","2026/07/05 16:00:00","5000000000"
"5","3","300","109","2026/07/10 04:59:59","260312036","60","在深淵討伐戰獲得100億Pt","26031","1","2026/07/05 16:00:00","10000000000"
"5","3","400","110","2026/07/10 04:59:59","260312037","60","在深淵討伐戰獲得150億Pt","26031","1","2026/07/05 16:00:00","15000000000"
"5","3","500","111","2026/07/10 04:59:59","260312038","60","在深淵討伐戰獲得200億Pt","26031","1","2026/07/05 16:00:00","20000000000"
"5","3","1000","112","2026/07/10 04:59:59","260312039","60","在深淵討伐戰獲得500億Pt","26031","1","2026/07/05 16:00:00","50000000000"
"5","3","100","401","2026/07/24 04:59:59","260312040","61","完成合計10次活動冒險（不包含復刻）","26031","10","2026/07/01 16:00:00","0"
"5","3","200","402","2026/07/24 04:59:59","260312041","61","完成合計30次活動冒險（不包含復刻）","26031","30","2026/07/01 16:00:00","0"
"5","3","300","403","2026/07/24 04:59:59","260312042","61","完成合計50次活動冒險（不包含復刻）","26031","50","2026/07/01 16:00:00","0"
"5","3","400","404","2026/07/24 04:59:59","260312043","61","完成合計100次活動冒險（不包含復刻）","26031","100","2026/07/01 16:00:00","0"
"5","3","1000","405","2026/07/24 04:59:59","260312044","61","完成合計150次活動冒險（不包含復刻）","26031","150","2026/07/01 16:00:00","0"
"5","3","1000","406","2026/07/24 04:59:59","260312045","62","完成劇情活動的Boss戰(SCENARIO)（不包含復刻）","26031","1","2026/07/01 16:00:00","0"
"5","3","1000","407","2026/07/24 04:59:59","260312046","63","完成劇情活動的Boss戰(SPECIAL)（不包含復刻）","26031","1","2026/07/01 16:00:00","0"
