1a69be73554eb76f68afb72abe779f191283794da9a43fbc791be927c33164a6,ff83d9cb24fc6e2f361f7f27ee951936d0e1f70fa1286e3ca2d63eb23a597729,5e45f1f6677a8e090e171201bd29359f8380329a6b11034c3745d733bef3bf72,414f3e2a4344030de6fdfadbfb3478b54cebbb5c6aea0b43cc15661fba5563c8,b26768c90baee036fecb3e6e2e46379af68a1be71ece2b1ab07615544f90fab3,6cadce39c121603e749e5fef658d5d091ca49db7b55c76d6e166c1d9a2733109,4bfab3fef25a304bbddddbf4fa800838e7149f67f53316727582478551330edd,b21e748daecd41d106df40103840553dae8b7ea8c9d9f89f3c1dfdbc36ec89ce,bfea154be424cca0000465be702cad114da6a76f4c9561914f7846711d7fe5f0
"1010","1","7008","32000101","所有玩家合力打倒100,000次蠻賊三姊妹","32000101","100000","1002","1"
"1010","1","7008","32000102","所有玩家合力打倒150,000次蠻賊三姊妹","32000102","150000","1002","2"
"1010","1","7008","32000103","所有玩家合力打倒200,000次蠻賊三姊妹","32000103","200000","1002","3"
"1010","1","7008","32000104","所有玩家合力打倒100,000次芙蕾雅","32000104","100000","1003","4"
"1010","1","7008","32000105","所有玩家合力打倒150,000次芙蕾雅","32000105","150000","1003","5"
"1010","1","7008","32000106","所有玩家合力打倒200,000次芙蕾雅","32000106","200000","1003","6"
"1010","0","7008","32000107","所有玩家合力打倒200,000次阿剌克涅","32000107","200000","1004","7"
"1010","0","7008","32000108","所有玩家合力打倒300,000次阿剌克涅","32000108","300000","1004","8"
"1010","0","7008","32000109","所有玩家合力打倒400,000次阿剌克涅","32000109","400000","1004","9"
"1009","1","7007","32000110","挑戰1次成群的寶石蜘蛛","32000110","1","1001","10"
"1009","1","7007","32000111","打倒1次蠻賊三姊妹","32000111","1","1002","11"
"1009","1","7007","32000112","打倒1次芙蕾雅","32000112","1","1003","12"
"1009","0","7007","32000113","打倒1次阿剌克涅","32000113","1","1004","13"
