3c38bc5d63e979218caafeaf0609ede1c488db7b9d73eb55f00cc14751e61ff8,83603e7c43ea4ca10f6b2adea99c142d123c78d3e665c00242a99eb42cf1e23e,d74426f2d7296c097564f48a891981d6257685e31b6ae0405e6f3ed926a93f53,e7c122b5aa2572929be420de7f011d9919f137623258f3c0735d0e8c949557e3,d29321e727b8b8fcbc7a39adca72d229fb4ce71dab6de5633ae96c2730bb1d72,2c7a445e9ebf46a82881254d9f14ac960e2f1232e03bdebd309a76ae1425d3ef,9b7c49add9939ef166b0a34535e2c738284278c153aaf1a79252723f505b9704,41afbefe396522596047be16dae6108c81013f3802073e5a813c2f54df87eb49,558d60de00acfe8b8a219dfe1de257ae14db7eff3b7fccef38848e42b51bc2c7,40656f2b84cbe36413dd7a18e41d27ecf8f31996071cb6a699432f70cce74509,c9a8dd5dd7afdc9ca35b92e21c262b27b94d4a178454745424e099e49a8993b5,9f51a817842e13e3ac28a7d24ef880a7b67fa8892af1700f86c0d519f66e95c7,f5e46f0f76afaff0c73d1ce1c57e7d9f1a143d304870bc76594fda8d48108db8
"0","2","bgm_M90","2018/09/21 15:59:59","2018/08/19 22:59:00","8","1","2018/08/22 16:00:00","1","2018/08/20 22:59:00","2018/08/15 23:00:00","1","1001"
"1001","2","bgm_M97","2018/10/22 15:59:59","2018/09/18 22:59:00","9","1","2018/09/21 16:00:00","1","2018/09/19 22:59:00","2018/09/14 23:00:00","2","1002"
"1002","2","bgm_M104","2018/11/20 04:59:59","2018/10/19 22:59:00","10","1","2018/10/22 16:00:00","1","2018/10/20 22:59:00","2018/10/15 23:00:00","1","1003"
"1003","2","bgm_M115","2018/12/21 15:59:59","2018/11/17 11:59:00","11","1","2018/11/20 05:00:00","1","2018/11/18 11:59:00","2018/11/13 12:00:00","2","1004"
"1004","2","bgm_M119","2019/01/22 15:59:59","2018/12/18 22:59:00","12","1","2018/12/21 16:00:00","1","2018/12/19 22:59:00","2018/12/14 23:00:00","1","1005"
"1005","2","bgm_M132","2019/02/19 04:59:59","2019/01/19 22:59:00","1","1","2019/01/22 16:00:00","1","2019/01/20 22:59:00","2019/01/15 23:00:00","2","1006"
"1006","2","bgm_M139","2019/03/22 04:59:59","2019/02/16 11:59:00","2","1","2019/02/19 05:00:00","1","2019/02/17 11:59:00","2019/02/12 12:00:00","1","1007"
"1007","2","bgm_M166","2019/04/22 04:59:59","2019/03/19 11:59:00","3","1","2019/03/22 05:00:00","1","2019/03/20 11:59:00","2019/03/15 12:00:00","2","1008"
"1008","2","bgm_M175","2019/05/23 04:59:59","2019/04/19 11:59:00","4","1","2019/04/22 05:00:00","1","2019/04/20 11:59:00","2019/04/15 12:00:00","1","1009"
"1009","2","bgm_M181","2019/06/22 04:59:59","2019/05/20 11:59:00","5","1","2019/05/23 05:00:00","1","2019/05/21 11:59:00","2019/05/16 12:00:00","2","1010"
"1010","2","bgm_M186","2019/07/24 04:59:59","2019/06/19 11:59:00","6","1","2019/06/22 05:00:00","1","2019/06/20 11:59:00","2019/06/15 12:00:00","1","1011"
"1011","2","bgm_M205","2019/08/23 04:59:59","2019/07/21 11:59:00","7","1","2019/07/24 05:00:00","1","2019/07/22 11:59:00","2019/07/17 12:00:00","2","1012"
"1012","2","bgm_M90","2019/09/23 04:59:59","2019/08/20 11:59:00","8","1","2019/08/23 05:00:00","1","2019/08/21 11:59:00","2019/08/16 12:00:00","1","1013"
"1013","2","bgm_M97","2019/10/24 04:59:59","2019/09/20 11:59:00","9","1","2019/09/23 05:00:00","1","2019/09/21 11:59:00","2019/09/16 12:00:00","2","1014"
"1014","2","bgm_M104","2019/11/23 04:59:59","2019/10/21 11:59:00","10","1","2019/10/24 05:00:00","1","2019/10/22 11:59:00","2019/10/17 12:00:00","1","1015"
"1015","2","bgm_M115","2019/12/23 04:59:59","2019/11/20 11:59:00","11","1","2019/11/23 05:00:00","1","2019/11/21 11:59:00","2019/11/16 12:00:00","2","1016"
