9edcc75a921b1b9971dad0c403a20613bca4c00a8e6732f0bce57086cadfb8e6,3357e330ca1a4bd78ebbdeb0152c9f189ba138e823875d8f0689c56d7c2be121,937af5f0861a7ec3a30db8862687bb34e7292966c95661eda94f0f6ec84fcac6,7d39f05da8fee3d1ea21c4d6139091ab747f0f56c635ff5cccfedefc60dc8db4,a9ea75e270a23a12dc2f268f85e2d7d94b36be83c1102e20aa095e6e93cb5aaa,80d779b5ab58189a2a7e80db595985a1250f3ae41f7c915b44ef50e3356db884,1339732714491285b57cae1c871112d8845e27d735fda0a9814364ad372c2519,6617e3192a80d7963487a16d63c53dd3fe676d5e8ee935c6142f934aac4b5944,4ae7ec1944b5f7d8901b999a8bd2da9677bc06ac0f3da50e1d64520d533c88dc,4d23f0b1bb67b3275e9eeb841a9623bba1c2455c1e3eda5419a16a5441c62dd9,457452d0822f8a2f7c5e0b4d16b6688192a355e6e0fa7b130a8eb7bb53c5a384,59ffd319a9df77c9714991c5c3b617d158fe564c06c6aef4d5c6a29503bff56b,fdc46b25031438c97d8ca9c35b332e5b2cd1a3bffb49aec13ee7df603b885813,827e8832701997921480e0d8132e42f772ba96bc132cea3ae2fa01c8b357cdc8
"100101","2024/10/01","50","2","31001","28025","0","0","0","1","2030/08/01 14:59:59","0","0","0"
"100201","2024/10/01","50","2","31002","28025","0","0","0","2","2030/08/01 14:59:59","0","0","0"
"100301","2024/10/01","50","2","31003","28025","0","0","0","3","2030/08/01 14:59:59","0","0","0"
"100401","2024/10/01","50","2","31004","28025","0","0","0","4","2030/08/01 14:59:59","0","0","0"
"100501","2024/10/01","50","2","31005","28025","0","0","0","5","2030/08/01 14:59:59","0","0","0"
"100601","2024/10/01","50","2","31006","28025","0","0","0","6","2030/08/01 14:59:59","0","0","0"
"100701","2024/10/01","50","2","31007","28025","0","0","0","7","2030/08/01 14:59:59","0","0","0"
"100801","2024/10/01","50","2","31008","28025","0","0","0","8","2030/08/01 14:59:59","0","0","0"
"100901","2024/10/01","50","2","31009","28025","0","0","0","9","2030/08/01 14:59:59","0","0","0"
"101001","2024/10/01","50","2","31010","28025","0","0","0","10","2030/08/01 14:59:59","0","0","0"
"101101","2024/10/01","50","2","31011","28025","0","0","0","11","2030/08/01 14:59:59","0","0","0"
"101201","2024/10/01","50","2","31012","28025","0","0","0","12","2030/08/01 14:59:59","0","0","0"
"101301","2024/10/01","50","2","31013","28025","0","0","0","13","2030/08/01 14:59:59","0","0","0"
