a0f60b10e6347313cc583b27d0ee7616a41308d85f6a2460bc91938f7a792b0a,354c0c2f28865b771402faae1f883864b5add96b5b32fb40d66c3977ffad8312,1a7b518fd55331b0e790b59c47d4fe7000c9a7268a0ba901d17516b6da93b871,9f7ae09e1a2e54bf951dc7fa41fbc2888f54860b425de8cba4f8bbdc3ed82fe8
"1","190801","2","3"
"7","0","1","1"
"8","0","1","1"
"9","0","2","2"
"10","0","3","3"
"11","0","1","1"
"12","0","1","1"
"13","0","1","2"
"14","0","1","2"
"15","0","1","2"
"16","0","2","3"
"17","0","1","1"
"18","0","1","1"
"20","0","3","4"
"21","0","1","2"
"22","0","1","2"
"25","0","4","4"
"26","0","4","4"
"27","0","1","2"
"28","0","2","3"
"29","0","1","1"
"30","0","1","1"
"32","0","3","4"
"33","0","1","2"
"34","0","1","2"
"37","0","4","4"
"38","0","4","4"
"39","0","1","2"
"40","0","2","3"
"41","0","1","1"
"42","0","1","1"
"43","0","2","2"
"44","0","2","3"
"45","0","3","4"
"46","0","1","2"
"47","0","1","2"
"48","0","2","3"
"51","0","1","2"
"52","0","2","3"
"53","0","1","1"
"54","0","1","1"
"55","0","2","2"
"56","0","2","3"
"57","0","3","4"
"58","0","1","2"
"59","0","1","2"
"60","0","2","3"
"63","0","4","4"
"64","0","4","4"
"65","0","1","2"
"66","0","2","3"
"67","0","1","1"
"68","0","1","1"
"69","0","2","2"
"70","0","2","3"
"71","0","3","4"
"72","0","1","2"
"73","0","1","2"
"74","0","2","3"
"77","0","4","4"
"78","0","4","4"
"79","0","2","2"
"80","0","2","3"
"81","0","2","3"
"83","0","4","4"
"84","0","4","4"
"85","0","1","1"
"86","0","2","2"
"87","0","2","3"
"88","0","1","1"
"89","0","1","1"
"90","0","1","1"
"91","0","1","1"
"92","0","2","3"
"93","0","2","3"
"94","0","1","2"
"95","0","1","2"
"96","0","1","2"
"97","0","1","1"
"98","0","1","1"
"99","0","1","1"
"100","0","1","1"
"101","0","2","2"
"102","0","1","1"
"103","0","1","1"
"104","0","1","1"
"105","0","1","1"
"106","0","1","1"
"107","0","1","1"
"108","0","2","2"
"109","0","2","2"
"110","0","2","2"
"111","0","2","2"
"112","0","1","2"
"113","0","1","2"
"114","0","1","2"
"115","0","1","2"
"131","0","2","3"
"132","0","1","1"
"133","0","1","1"
"134","0","1","1"
"135","0","1","1"
"136","0","1","1"
"137","0","1","1"
"138","0","1","1"
"139","0","1","1"
"140","0","1","1"
"141","0","1","1"
"142","0","1","1"
"143","0","1","2"
"144","0","1","1"
"145","0","1","1"
"146","0","1","1"
"147","0","1","1"
"148","0","1","1"
"149","0","1","2"
"150","0","1","1"
"151","0","3","3"
"152","0","1","1"
"153","0","2","2"
"154","0","1","1"
"157","0","4","4"
"158","0","4","4"
"201","0","1","1"
"202","0","2","3"
"203","0","1","1"
"204","0","8","8"
"205","0","1","2"
"206","0","1","1"
"207","0","2","3"
"208","0","1","1"
"209","0","3","3"
"301","0","1","1"
"302","0","1","1"
"303","0","1","1"
"304","0","2","3"
"305","0","3","3"
"306","0","1","1"
"307","0","2","2"
"308","0","1","1"
"401","0","4","4"
"402","0","4","4"
"403","0","1","1"
"404","0","1","2"
"405","0","2","3"
"406","0","3","2"
"407","0","1","2"
"408","0","2","2"
"501","0","3","4"
"502","0","1","2"
"503","0","2","2"
