ae38fa115fc43f3d979950d22a1368c380601fde4057815e377667318c02da1f,bc002a941f17aa3e81af667fa0f71e0e987bbf034e220fa742694e49e6d4e07f,186899f93ed2ffef0358fd55c22505a04d4e6820d7620fd10772cf4b53463a04,bfc8dd1917b55acd3b07aa8c99aae917169cc9efcacc8ebd196f4de5749e7652,f377968c523352d96baedbbc094f1a42e895791135059262b1f60ef162573e32,b2c700c48ebec30ee77c9ef7b6b3ef6a5c3dabfda88cbd9db69236442a60603d,b97cf3c41ba2db5ed76bc7792c72f4d232b7858fa82017789cc15a3c7cdfb6df,1748cda0891ad09d1a2489ba69bffc03fe6fe5b8ec9265711b5bb245402684d1,072521dc443d23a3e7b8e04b305112436a287fabda376c728d173d7e1454b575,7307515ba93ce2e425d0ad27b4e8f24e3512c9826f9ff20cdfc1f46e92e2c15a,87080ef0139720461c4be4fb19cd9b3f693d118d13e2ad12bd904e8fff659819,10bcce3c35159392cbc004325fe7b3b885fc740b78f25f060734485c4f8704db,04e63ca43fe2b09df01c0d1453806705a708ce2abea7d1d21d7bee745f2df106,34d49293ad4b31e788288e0f075a3a0fd84302b2f6c1d5fcdc8d8f67e0a7c73f,5d3effdd833e23a870a3bf7a05cbd21b3b617974d70c362bf3d1c28cbb814bae
"EASY","1","0","90110001","bgm_M57","90","100113","1","1","110001","701000101","0","bgm_M57","100113","0"
"NORMAL","2","0","90110002","bgm_M57","90","100113","1","1","110001","701000102","0","bgm_M57","100113","0"
"HARD","3","0","90110003","bgm_M57","90","100113","1","1","110001","701000103","0","bgm_M57","100113","0"
"VERY HARD","4","0","90110004","bgm_M57","90","100113","1","1","110001","701000104","0","bgm_M57","100113","0"
"EXTREME","5","0","90110005","bgm_M57","90","100113","1","1","110001","701000105","0","bgm_M57","100113","0"
"EASY","1","0","90120001","bgm_M169","90","103013","1","2","120001","701000201","0","bgm_M169","103013","0"
"NORMAL","2","0","90120002","bgm_M169","90","103013","1","2","120001","701000202","0","bgm_M169","103013","0"
"HARD","3","0","90120003","bgm_M169","90","103013","1","2","120001","701000203","0","bgm_M169","103013","0"
"VERY HARD","4","0","90120004","bgm_M169","90","103013","1","2","120001","701000204","0","bgm_M169","103013","0"
"EXTREME","5","0","90120005","bgm_M169","90","103013","1","2","120001","701000205","0","bgm_M169","103013","0"
"EASY","1","0","90130001","bgm_M64","90","100113","1","3","130001","701000301","0","bgm_M64","100113","0"
"NORMAL","2","0","90130002","bgm_M64","90","100113","1","3","130001","701000302","0","bgm_M64","100113","0"
"HARD","3","0","90130003","bgm_M64","90","100113","1","3","130001","701000303","0","bgm_M64","100113","0"
"VERY HARD","4","0","90130004","bgm_M64","90","100113","1","3","130001","701000304","0","bgm_M64","100113","0"
"EXTREME","5","0","90130005","bgm_M64","90","100113","1","3","130001","701000305","0","bgm_M64","100113","0"
"EASY","1","0","90140001","bgm_M07","90","100113","1","4","140001","701000401","0","bgm_M07","100113","0"
"NORMAL","2","0","90140002","bgm_M07","90","100113","1","4","140001","701000402","0","bgm_M07","100113","0"
"HARD","3","0","90140003","bgm_M07","90","100113","1","4","140001","701000403","0","bgm_M07","100113","0"
"VERY HARD","4","0","90140004","bgm_M07","90","100113","1","4","140001","701000404","0","bgm_M07","100113","0"
"EXTREME","5","0","90140005","bgm_M07","90","100113","1","4","140001","701000405","0","bgm_M07","100113","0"
"EASY","1","0","90150001","bgm_M170","90","103013","1","5","150001","701000501","0","bgm_M170","103013","0"
"NORMAL","2","0","90150002","bgm_M170","90","103013","1","5","150001","701000502","0","bgm_M170","103013","0"
"HARD","3","0","90150003","bgm_M170","90","103013","1","5","150001","701000503","0","bgm_M170","103013","0"
"VERY HARD","4","0","90150004","bgm_M170","90","103013","1","5","150001","701000504","0","bgm_M170","103013","0"
"EXTREME","5","0","90150005","bgm_M170","90","103013","1","5","150001","701000505","0","bgm_M170","103013","0"
