26c58f008bfeaa9e0237bc230843e52626e1f57db2d80afa9582885fcf26d755,4684b51c84a48142adc0cc5207bfcea5b53aee920d95530a594cfc92580c2c83,3f175808c09aad6ca48e926ecad3b21385e10d8e7f74ce9c74f2e617574354c5,0aec1e23d2833ed7a68deb314a86224d6baabeb0349853a2dc290aa0e7bddd6a,1047f1d39f17dea85386c158ec11bda42a06cb9bad6bb8c4b446034634bee34f
"1","50001","美食殿堂","1","105801"
"2","50002","破曉\n之星","2","100101"
"3","50003","咲戀育幼院","7","102801"
"4","50004","王宮\n騎士團","11","104701"
"5","50005","拉比林斯","15","106801"
"6","50006","慈樂之音","3","102901"
"7","50007","惡魔偽\n王國軍","5","104401"
"8","50008","伊麗\n莎白牧場","4","103301"
"9","50009","墨丘利財團","13","103201"
"10","50010","暮光\n流星群","9","105601"
