6d7cd54c6e7aca6e8bd61e565e3a4e8b75caa2651d1db0aeccb3e9081f19512c,91776cf2f29938e395b40e82b68a159de40f6d7dbab7c1acc966b3297dd74570,21ef40308d4c4e65e9d19cdfa65154494c746cae482d1bbc2ff8fb899075fcef,d92a55db880d42ec15d0462ba6238f4d707fce77973b83f9c3660d60edad9665,3403e8943ee08b9370093560313d39603f3234658247601efc4b3d2d20866724,f3f5eec4bc71287c1bedead1ce47eb03bf2df82cb3f89f0e1a434cdbed273a7c,06941f58caa94c0c63cb68558fba4b89159eaad2c4360620eae614d947a73d56,0addf0c4f45fcbd7d04a6154d9b2d28ff74dc2e54b341ceb76134df5df9ae458,d51bbee678ad9c77dc1b3b3a8d8a53059bfc645ed285672cd739b01a842cea10,eddcd92628bf86d1c143f8a628fbe4fa8a3b59eeaaa4d6d1288fe7d908d74046,49a81d6fda0d52a65df328f7bbb06f9f2cad1d979a6855677c4838f0486ecec8
"100","-103","1","1001","5","1","idle_normal","-216","1","1","1.4"
"-57","1","","1002","31","13","","-140","13","1","0"
"-57","1","","1003","31","14","","-140","14","1","0"
"","","","1004","91","0","","","0","1",""
"0","1","0","1005","3","top_luis_arm_crossed_in","","top_luis_arm_crossed_idle","1","1","0.2"
"","","","1006","93","0","","","4","1",""
"0","1","0","1007","3","top_luis_approach_in","","top_luis_approach_idle","1","1","0.2"
"","","","1008","93","0","","","3.5","1",""
"1","","","1009","3","top_luis_thinking","","","1","1","0.2"
"","","","1010","93","0","","","3.5","1",""
"1","","","1011","3","top_luis_walk_think","","","1","1","0.2"
"-103","0","","1012","2","-495","","2","1","1",""
"","","","1013","93","0","","","2","1",""
"","","","1014","4","0","","","1","1",""
"-103","0","","1015","2","-216","","2","1","1",""
"","","","1016","93","0","","","2","1",""
"1","","","1017","3","top_luis_notice","","","1","1","0"
"","","","1018","93","0","","","1","1",""
"1","","","1019","3","top_luis_walk_jog","","","1","1","0.2"
"-130","0","","1020","2","-100","","0.5","1","1",""
"","","","1021","93","0","","","0.5","1",""
"","","","1022","4","1","","","1","1",""
"0","1","0","1023","3","top_luis_sit_in","","top_luis_sit_idle","1","1","0.2"
"","","","1024","93","0","","","0.1","1",""
"-140","0","","1025","2","-57","","0.4","1","1",""
"","","","1026","93","0","","","1","1",""
