07f3b26ddce836601011c0d66b3f1135c441ac2049dac97ab83d24a5f3a9f956,0b72cc96f51712f569a709d0d6e550f634538d06da0643b4aff854c3a950f25d,5828d9599e4786b41c22c2c0df19e70f0d015308f4476d5d1526f9b4539a69a8,5a2b6e3a5a8a54de405be48032094208bfb150455a4f29080404d5e713d30c55,ce451eee693f35f59ddd7afa8d70ec1e927e0b7f82508d8f9c66906fb2092937,d4c6b7e126a1051cfd5fd494310226a02e084931b6d4e34c6c6088715e14c93f,a79c95fa27b4b9593e26d5f384cd9cc25b3094a889b19f393a099a387537295f,ded8eed03455171b93cb966b85228ef094edec230cfe6a00a51ac64319e4512b,5b487812552a1eb330bb15e8772fa0e15bdf941f8bc337db1e5f08cfc84dd965,8a445eab660f863d3cd67b468e337212b67ee1045aaa8c2ecae7047efa9ad3f6,23f4997cab258669a12c4b2af968848392b2de270ac944a6c23a1f85f96034b3
"0","5","0","0","1","1","10101","empty","53","1101010001","1"
"0","5","0","0","1","101000","10101","empty","56","1101010002","2"
"0","5","0","0","1","101000","10101","empty","70","1101010003","3"
"0","31","","1","0","101000","10101","","0","1101010004","0"
"0","31","","1","0","101001","10101","","0","1101010005","1"
"0","31","","1","0","101002","10101","","0","1101010006","2"
"0","31","","1","0","101003","10101","","0","1101010007","3"
"0","31","","1","0","101004","10101","","0","1101010008","4"
"0","31","","1","0","1","10101","","0","1101010009","10"
"0","31","","1","0","3","10101","","0","1101010010","30"
"","91","","","","0","10101","","","1101010011","0"
"","32","","","","0","10101","","","1101010012","1"
"","32","","","","10","10101","","","1101010013","1"
"","3","","","0","2","10101","","0","1101010014","getDish_1_in"
"","93","","","","0.2","10101","","","1101010015","0"
"","3","","","0","1","10101","","0","1101010016","getDish"
"","3","","","0","2","10101","","0","1101010017","getDish_1_B"
"","3","","","0","3","10101","","0","1101010018","getDish_1_F"
"","32","","","","1","10101","","","1101010019","1"
"","32","","","","3","10101","","","1101010020","1"
"","93","","","","7.2","10101","","","1101010021","0"
"","101","","","","1101010023","10101","","","1101010022","1"
"","35","","","","2","10101","","","1101010023","1"
"","32","","","","2","10101","","","1101010024","1"
"","35","","","","4","10101","","","1101010025","1"
"","32","","","","4","10101","","","1101010026","1"
"","32","","","","3","10101","","","1101010027","0"
"","93","","","","2.3","10101","","","1101010028","0"
"","35","","","","30","10101","","","1101010029","1"
"","32","","","","30","10101","","","1101010030","1"
"","93","","","","0.2","10101","","","1101010031","0"
"1","6","0","0","0","1","10101","","1","1101010032","1"
"1","6","0","0","0","2","10101","","1","1101010033","1"
"1","6","0","0","0","3","10101","","1","1101010034","1"
"","32","","","","0","10101","","","1101010035","0"
"","32","","","","1","10101","","","1101010036","0"
"","32","","","","2","10101","","","1101010037","0"
"","32","","","","3","10101","","","1101010038","0"
"","32","","","","4","10101","","","1101010039","0"
"","32","","","","10","10101","","","1101010040","0"
"","93","","","","0.3","10101","","","1101010041","0"
"1","111","0","0","0.1","1","10101","","1","1101010042","1"
"-205","5","0","-325","0.9","2","10201","empty","50","1102010001","1"
"-205","5","0","-325","0.9","102000","10201","empty","58","1102010002","2"
"1500","5","0","-263","0.6","100","10201","idle_single","54","1102010003","100"
"0","31","","1","0","102000","10201","","0","1102010004","0"
"-263","31","","1","0","102001","10201","","1500","1102010005","1"
"0","31","","1","0","102002","10201","","0","1102010006","2"
"-136","31","","1","0","102003","10201","","-132","1102010007","3"
"0","31","","1","0","102004","10201","","0","1102010008","4"
"0","31","","1","0","1","10201","","0","1102010009","10"
"0","31","","1","0","2","10201","","0","1102010010","20"
"0","31","","1","0","3","10201","","0","1102010011","30"
"","91","","","","0","10201","","","1102010012","0"
"","32","","","","0","10201","","","1102010013","1"
"","32","","","","10","10201","","","1102010014","1"
"","23","","","","se_caravan","10201","","0","1102010015","se_caravan_dice_get_intro"
"","3","","","0","1","10201","","1","1102010016","getDice_idle"
"eat_loop","3","0","1","0","100","10201","","0","1102010017","run_getDice"
"","32","","","","1","10201","","","1102010018","1"
"2","2","","11","","100","10201","","-263","1102010019","344"
"2","33","","11","","1","10201","","-263","1102010020","344"
"","32","","","","2","10201","","","1102010021","1"
"","93","","","","1.7","10201","","","1102010022","0"
"","3","0","","0.2","1","10201","","1","1102010023","getDice_curious"
"0","21","","","","vo_caravan","10201","","0","1102010024","vo_caravan_event_002_000"
"","93","","","","1.5","10201","","","1102010025","0"
"","23","","","","se_caravan","10201","","0","1102010026","se_caravan_dice_get_outro_1"
"0.1","21","","","","vo_caravan","10201","","0","1102010027","vo_caravan_event_002_001"
"","3","","","0.1","100","10201","","0","1102010028","spit_in"
"","3","","","0","2","10201","","0","1102010029","getDice_1"
"","3","","","0.1","1","10201","","0","1102010030","getDice_panic_1"
"","93","","","","0.5","10201","","","1102010031","0"
"idle_single","3","0","1","0","100","10201","","0","1102010032","spit_out"
"","93","","","","1.4","10201","","","1102010033","0"
"idle_single","3","0","1","0.2","100","10201","","0","1102010034","joy_single"
"","93","","","","0.1","10201","","","1102010035","0"
"","32","","","","3","10201","","","1102010036","1"
"","93","","","","0.5","10201","","","1102010037","0"
"0","21","","","","vo_caravan","10201","","0","1102010038","vo_caravan_event_002_002"
"","93","","","","1.3","10201","","","1102010039","0"
"","101","","","","1102010041","10201","","","1102010040","0"
"","35","","","","4","10201","","","1102010041","1"
"","32","","","","4","10201","","","1102010042","1"
"","32","","","","20","10201","","","1102010043","1"
"","32","","","","1","10201","","","1102010044","0"
"","93","","","","0.4","10201","","","1102010045","0"
"","92","","","","","10201","","","1102010046",""
"","35","","","","30","10201","","","1102010047","1"
"","32","","","","30","10201","","","1102010048","1"
"","93","","","","0.2","10201","","","1102010049","0"
"1","6","0","0","0","1","10201","","1","1102010050","1"
"1","6","0","0","0","2","10201","","1","1102010051","1"
"1","6","0","0","0","100","10201","","1","1102010052","1"
"","32","","","","0","10201","","","1102010053","0"
"","32","","","","2","10201","","","1102010054","0"
"","32","","","","3","10201","","","1102010055","0"
"","32","","","","4","10201","","","1102010056","0"
"","32","","","","10","10201","","","1102010057","0"
"","93","","","","0.3","10201","","","1102010058","0"
"-205","5","0","-325","0.9","2","10202","empty","50","1102020001","1"
"-205","5","0","-325","0.9","102000","10202","empty","58","1102020002","2"
"1500","5","0","-263","0.6","100","10202","idle_single","54","1102020003","100"
"0","31","","1","0","102000","10202","","0","1102020004","0"
"-263","31","","1","0","102001","10202","","1500","1102020005","1"
"0","31","","1","0","102002","10202","","0","1102020006","2"
"-136","31","","1","0","102003","10202","","-132","1102020007","3"
"0","31","","1","0","102005","10202","","0","1102020008","4"
"0","31","","1","0","1","10202","","0","1102020009","10"
"0","31","","1","0","2","10202","","0","1102020010","20"
"0","31","","1","0","3","10202","","0","1102020011","30"
"","91","","","","0","10202","","","1102020012","0"
"","32","","","","0","10202","","","1102020013","1"
"","32","","","","10","10202","","","1102020014","1"
"","23","","","","se_caravan","10202","","0","1102020015","se_caravan_dice_get_intro"
"","3","","","0","1","10202","","1","1102020016","getDice_idle"
"eat_loop","3","0","1","0","100","10202","","0","1102020017","run_getDice"
"","32","","","","1","10202","","","1102020018","1"
"2","2","","11","","100","10202","","-263","1102020019","344"
"2","33","","11","","1","10202","","-263","1102020020","344"
"","32","","","","2","10202","","","1102020021","1"
"","93","","","","1.7","10202","","","1102020022","0"
"","3","0","","0.2","1","10202","","1","1102020023","getDice_curious"
"0","21","","","","vo_caravan","10202","","0","1102020024","vo_caravan_event_003_000"
"","93","","","","1.5","10202","","","1102020025","0"
"","23","","","","se_caravan","10202","","0","1102020026","se_caravan_dice_get_outro_2"
"0","21","","","","vo_caravan","10202","","0","1102020027","vo_caravan_event_003_001"
"idle_single","3","0","1","0.1","100","10202","","0","1102020028","spit_in"
"","3","","","0","2","10202","","0","1102020029","getDice_2"
"","3","","","0.1","1","10202","","0","1102020030","getDice_panic_2"
"","93","","","","2.5","10202","","","1102020031","0"
"idle_single","3","0","1","0.2","100","10202","","0","1102020032","joy_single"
"","93","","","","0.5","10202","","","1102020033","0"
"0.1","21","","","","vo_caravan","10202","","0","1102020034","vo_caravan_event_003_002"
"","93","","","","0.1","10202","","","1102020035","0"
"","32","","","","3","10202","","","1102020036","1"
"","93","","","","1.6","10202","","","1102020037","0"
"","101","","","","1102020039","10202","","","1102020038","0"
"","35","","","","4","10202","","","1102020039","1"
"","32","","","","4","10202","","","1102020040","1"
"","32","","","","20","10202","","","1102020041","1"
"","32","","","","1","10202","","","1102020042","0"
"","93","","","","0.4","10202","","","1102020043","0"
"","92","","","","","10202","","","1102020044",""
