204fe277b5a673cb5419fe9f35487c4e2748a27e6e8048498642a7f649b31070,1bec207595441504750df4a0a9bc01c643674a69963e65aa1a5b1cc3e34427f7,a1ada7c2646314dab4b919e195f0b07d91caf6f2d09198109f8698bd14d5501e,97fb010140bda6303478c40b30698fba546802cf1c35bfb9b55406d3f12d1911,1b2e4e82d8be0cf8e8dd7529d68c42803d39fb0e6a236e7e2ff27c2090724fde,01bfdef91044a63447319136a82d180bd49db80d7906daa083bd12e54be6ddf4,1c5459441c31a24d9bc594a8f33198a2ef8ae804fc5546d5bfa3a5d4dd6ef4f2,c513c8bf8edb04408f37aee03ce60e1b77b6a1113b0114ba928683ed854bdc0a,149af64bee8864ca0e17584d95b8fc3f986bc0712be176a41a6518f82d777702,d752aa31ade4a3c2edf44608787ec15d33ab34d42ac11b2a3fe9c91dd585ca4b,8af456c6ab0fd6302ad4117b57f61e7ac3f71a8b174734491781f62e4c30cc98,d85bad6140f01619a063194886cf082946495fb6fe66d7277c6e5ec492868122,02c3def2e4eb874500511885ad124187281ea84731bce47798589786d981c9c9,6bdb6dd6408ba47c0e5f07fe71d9370244b0d5551a2e6e54fd4be73163d422ae,bf43b2d4619b6e33e71c280423873d2db456c3cbd5f63a35cbad0b437bcb3205,ddbf275291726095a832188ab38e020b8751bac1f8b13599d57d4d7e0fa2abb0,f5bb9feaac9e095e54302e1b7a23de9e87c3771398739fe5e2efc71910fea2b3,5f135d7b742d67a3edfc3e4305286a6fb2485872e08fa28f28655b141ab8b897,66e8f369cfdc88a509cbc34edfc5010d8e4a9da883fa3c8209ea626437f9896f,33b90752717cfaa6b5fd939f1384fb49a3837c014287264b6e43a7eec2d04519,e28b9fe219fb2eb79f091083400a687e175a2973b58ae98cae473bc6f67a61e5,d11e1d8c6895cc5854074142365dc1d44e39ad95ae8dc6303f67ffc073e5ef67,e3a27c2ea434dbc1aa97b90f73f86a07a7614c2dc9d78bca1db82d53e0b97cdc,5ab8b0478862eb52278c5ddf5d862ec8f096b01c5ff3da98f4838ceba74e408f,cc3b552409d9a49ddac53792c5663fd22bb6c1eb0ceae1589e3cf0e351bcc4fc,9c0a31f2430eb0cfe50d7519eb7849c409d6bb4007d9357e164ee18911789ed1,44776b8ef1bec5c94646778587f0282ada01b2af405242ddf7a038a42678cdeb,f0759bb228030db43848f4350b36887811fe55e79808404872542cbf06a2916a,f92125d409f642d5e37a3ec88051efca98efb0cc030104ec2d3eb94ec399cf20,389925d6b9f27afd601faededa8f16c5e10788ceb81d10d2ab48b96a767a9dc2,cb4185de7a41e2595de024609a94d8ccf971611e4b27c3bcb4183f670a56897d,f952177c5287e272bed1755cae53acdf4b241578353d6c399260dd6202a17285,268f629e29a5f628a5c629604f4ce99c0dacf33d735e3dd18b5adea0eb447eb2,736a328bff8f12a77c60bd8a14933194bc98fa6adf87e5f65aae8d3535170ee2,0c711a95538db00f4add4422e99deeb141aab2675b20d49235885c8da37cf190,9eb7e3246e6dee6ae140a0867ac19d00807508c89cb308fa956278422721eefc,f635f1e811a131c056d29f20fcffc23f08c1107e52b218d2c74d353d4744f6ba,6f9b83892e79596a85de2941c22571a25911f5fa1957b916b14353fe299d895e,5a0591b997b83945d545f8aef6c8fd89585a68b780c5e211ea3deb09426fedd0
"0.03","1","401010021","1001301","1.2","1001","1","1001103","1","1","1001104","1001102","710011","1001202","10010102","1","401010011","1001204","0","1.1","1001201","1001203","1001105","1","100000","1","401010031","401010051","0","1","10010103","1","10010104","10010101","1001205","1001101","401010041","10010105","1.1"
"0.06","1","401010021","1001303","2","1001","2","1001108","1.2","1.2","1001109","1001107","710011","1001207","10010102","1","401010011","1001209","0","1.5","1001206","1001208","1001110","2","100000","1","401010031","401010051","0","-1","10010103","2","10010104","10010101","1001210","1001106","401010041","10010105","1.7"
"0.03","1","401020021","1001301","1.2","1002","1","1002103","1","1","1002104","1002102","710021","1002202","10020102","1","401020011","1002204","0","1.1","1002201","1002203","1002105","1","100000","1","401020031","401020051","0","1","10020103","3","10020104","10020101","1002205","1002101","401020041","10020105","1.1"
"0.06","1","401020071","1001303","2","1002","2","1002108","1.2","1.2","1002109","1002107","710021","1002207","10020102","1","401020061","1002209","0","1.5","1002206","1002208","1002110","2","100000","1","401020081","401020101","0","-1","10020103","4","10020104","10020101","1002210","1002106","401020091","10020105","1.7"
"0.03","1","401030021","1001301","1.2","1003","1","1003103","1","1","1003104","1003102","710031","1003202","10030102","1","401030011","1003204","0","1.1","1003201","1003203","1003105","1","100000","1","401030031","401030051","0","1","10030103","5","10030104","10030101","1003205","1003101","401030041","10030105","1.1"
"0.06","1","401030071","1001303","2","1003","2","1003108","1.2","1.2","1003109","1003107","710031","1003207","10030102","1","401030061","1003209","0","1.5","1003206","1003208","1003110","2","100000","1","401030081","401030101","0","-1","10030103","6","10030104","10030101","1003210","1003106","401030091","10030105","1.7"
"0.03","1","401040021","1001301","1.2","1004","1","1004103","1","1","1004104","1004102","710041","1004202","10040102","1","401040011","1004204","0","1.1","1004201","1004203","1004105","1","100000","1","401040031","401040051","0","1","10040103","7","10040104","10040101","1004205","1004101","401040041","10040105","1.1"
"0.06","1","401040071","1001303","2","1004","2","1004108","1.2","1.2","1004109","1004107","710041","1004207","10040102","1","401040061","1004209","0","1.5","1004206","1004208","1004110","2","100000","1","401040081","401040101","0","-1","10040103","8","10040104","10040101","1004210","1004106","401040091","10040105","1.7"
"0.03","1","401040121","1001301","1.2","1005","1","1004103","1","1","1004104","1004102","710051","1004202","10050102","1","401040111","1004204","0","1.1","1004201","1004203","1004105","1","100000","1","401040131","401040151","0","1","10050103","9","10050104","10050101","1004205","1004101","401040141","10050105","1.1"
"0.06","1","401040171","1001303","2","1005","2","1004108","1.2","1.2","1004109","1004107","710051","1004207","10050102","1","401040161","1004209","0","1.5","1004206","1004208","1004110","2","100000","1","401040181","401040201","0","-1","10050103","10","10050104","10050101","1004210","1004106","401040191","10050105","1.7"
"0.03","1","401040221","1001301","1.5","1006","1","1004103","1","1","1004104","1004102","710061","1004202","10060102","1","401040211","1004204","0","1.3","1004201","1004203","1004105","1","100000","1","401040231","401040251","0","1","10060103","11","10060104","10060101","1004205","1004101","401040241","10060105","1.3"
"0.06","1","401040271","1001303","2","1006","2","1004108","1.3","1.3","1004109","1004107","710061","1004207","10060102","1","401040261","1004209","0","1.8","1004206","1004208","1004110","2","100000","1","401040281","401040301","0","-1","10060103","12","10060104","10060101","1004210","1004106","401040291","10060105","1.8"
