9e280969821898ff598fe89dea89db1b9f1e608db9b0c7c88c5f21c4903ed7ae,c45005afeb707711ffa8720a39209855d8f91486d23008bd926c22a55dcbeec8,eeb285765b94163e7a5810d419c2864110aa6bbb23714a16a28d94025e553278,cdfcbde39b82af9ab53ca1a21b98cc90c80ab2acfac89846a3ec2307aaa6afb9,8586e17a023d91492b6575dcace7ee5dc03e7819bc5772276f80203bf238079d,dba0705a2053771d4d7c8966aab90f4695c7507a4a6b11338f6e441d821a80d0,2f4736d842f6c201165427b43f8ec2752c3582b246ae6a63a13e65741a651620,8b1c41f40a1479d1542e395a5dc697463515962eb3f789500f955ec58689e88b,13b640af5e96d0b9025c299519326c377173c53e19a648ec866f76eed33ae996
"53003","10001","-1","1","22","5","7","6","8"
"53002","10002","-1","1","22","5","7","6","4"
"53003","10101","5","1","22","4","6","5","6"
"53002","10102","5","1","22","4","6","5","5"
"53003","10201","4","1","22","3","5","4","5"
"53002","10202","4","1","22","3","5","4","5"
"53003","10301","3","1","22","3","4","3","4"
"53002","10302","3","1","22","3","4","3","3"
"53003","10401","2","1","22","2","3","2","3"
"53002","10402","2","1","22","2","3","2","2"
"53003","10501","1","1","22","1","2","1","2"
"53002","10502","1","1","22","1","2","1","1"
"53002","10601","0","1","22","1","1","0","2"
"53003","10701","-1","2","22","5","7","6","8"
"53002","10702","-1","2","22","5","7","6","4"
"53003","10801","5","2","22","4","6","5","6"
"53002","10802","5","2","22","4","6","5","5"
"53003","10901","4","2","22","3","5","4","5"
"53002","10902","4","2","22","3","5","4","5"
"53003","11001","3","2","22","3","4","3","4"
"53002","11002","3","2","22","3","4","3","3"
"53003","11101","2","2","22","2","3","2","3"
"53002","11102","2","2","22","2","3","2","2"
"53003","11201","1","2","22","1","2","1","2"
"53002","11202","1","2","22","1","2","1","1"
"53002","11301","0","2","22","1","1","0","2"
"53003","11401","-1","3","22","5","7","6","8"
"53002","11402","-1","3","22","5","7","6","4"
"53003","11501","5","3","22","4","6","5","6"
"53002","11502","5","3","22","4","6","5","5"
"53003","11601","4","3","22","3","5","4","5"
"53002","11602","4","3","22","3","5","4","5"
"53003","11701","3","3","22","3","4","3","4"
"53002","11702","3","3","22","3","4","3","3"
"53003","11801","2","3","22","2","3","2","3"
"53002","11802","2","3","22","2","3","2","2"
"53003","11901","1","3","22","1","2","1","2"
"53002","11902","1","3","22","1","2","1","1"
"53002","12001","0","3","22","1","1","0","2"
"53003","12101","-1","4","22","5","7","6","8"
"53002","12102","-1","4","22","5","7","6","4"
"53003","12201","5","4","22","4","6","5","6"
"53002","12202","5","4","22","4","6","5","5"
"53003","12301","4","4","22","3","5","4","5"
"53002","12302","4","4","22","3","5","4","5"
"53003","12401","3","4","22","3","4","3","4"
"53002","12402","3","4","22","3","4","3","3"
"53003","12501","2","4","22","2","3","2","3"
"53002","12502","2","4","22","2","3","2","2"
"53003","12601","1","4","22","1","2","1","2"
"53002","12602","1","4","22","1","2","1","1"
"53002","12701","0","4","22","1","1","0","2"
"53003","12801","-1","5","22","5","7","6","8"
"53002","12802","-1","5","22","5","7","6","4"
"53003","12901","5","5","22","4","6","5","6"
"53002","12902","5","5","22","4","6","5","5"
"53003","13001","4","5","22","3","5","4","5"
"53002","13002","4","5","22","3","5","4","5"
"53003","13101","3","5","22","3","4","3","4"
"53002","13102","3","5","22","3","4","3","3"
"53003","13201","2","5","22","2","3","2","3"
"53002","13202","2","5","22","2","3","2","2"
"53003","13301","1","5","22","1","2","1","2"
"53002","13302","1","5","22","1","2","1","1"
"53002","13401","0","5","22","1","1","0","2"
"53003","13501","-1","6","22","5","7","6","8"
"53002","13502","-1","6","22","5","7","6","4"
"53003","13601","5","6","22","4","6","5","6"
"53002","13702","5","6","22","4","6","5","5"
"53003","13801","4","6","22","3","5","4","5"
"53002","13902","4","6","22","3","5","4","5"
"53003","14001","3","6","22","3","4","3","4"
"53002","14002","3","6","22","3","4","3","3"
"53003","14101","2","6","22","2","3","2","3"
"53002","14102","2","6","22","2","3","2","2"
"53003","14201","1","6","22","1","2","1","2"
"53002","14202","1","6","22","1","2","1","1"
"53002","14301","0","6","22","1","1","0","2"
"53003","14401","-1","7","22","5","7","6","8"
"53002","14402","-1","7","22","5","7","6","4"
"53003","14501","5","7","22","4","6","5","6"
"53002","14502","5","7","22","4","6","5","5"
"53003","14601","4","7","22","3","5","4","5"
"53002","14701","4","7","22","3","5","4","5"
"53003","14801","3","7","22","3","4","3","4"
"53002","14802","3","7","22","3","4","3","3"
"53003","14901","2","7","22","2","3","2","3"
"53002","14902","2","7","22","2","3","2","2"
"53003","15001","1","7","22","1","2","1","2"
"53002","15002","1","7","22","1","2","1","1"
"53002","15101","0","7","22","1","1","0","2"
"53003","15201","-1","8","22","5","7","6","8"
"53002","15202","-1","8","22","5","7","6","4"
"53003","15301","5","8","22","4","6","5","6"
"53002","15302","5","8","22","4","6","5","5"
"53003","15401","4","8","22","3","5","4","5"
"53002","15402","4","8","22","3","5","4","5"
"53003","15501","3","8","22","3","4","3","4"
"53002","15502","3","8","22","3","4","3","3"
"53003","15601","2","8","22","2","3","2","3"
"53002","15602","2","8","22","2","3","2","2"
"53003","15701","1","8","22","1","2","1","2"
"53002","15702","1","8","22","1","2","1","1"
"53002","15901","0","8","22","1","1","0","2"
"53003","16001","-1","9","22","5","7","6","8"
"53002","16002","-1","9","22","5","7","6","4"
"53003","16101","5","9","22","4","6","5","6"
"53002","16102","5","9","22","4","6","5","5"
"53003","16201","4","9","22","3","5","4","5"
"53002","16202","4","9","22","3","5","4","5"
"53003","16301","3","9","22","3","4","3","4"
"53002","16302","3","9","22","3","4","3","3"
"53003","16401","2","9","22","2","3","2","3"
"53002","16402","2","9","22","2","3","2","2"
"53003","16501","1","9","22","1","2","1","2"
"53002","16502","1","9","22","1","2","1","1"
