ec1156e6a6a0766a37d23dc1615e20da87b25cdd80d9ca829eed24820cffa178,7deaf1d0878d13b87daa799cffb450a16a9c48e151b4931f8df7c916144e03f5,0524d38074472a2a94534fb582084a02c4c28e6ffb4708f8cccdb591cb12afed,b760a5bfbd560ae26f0d08adf51122197e10494637ba68188c75f7bf1322a678,c078ead026a6eae13217855c9a41734b1ac779a9fcbcab7c14fd0e919f1c2d13,2f707f73fec53850f1ebb49e9bd2e64ffaac9f63c1fc892e6b055d861d4fc0f8,f567391bc609bfe728bdf106b76b461c6e673b70f2dbba21b751c41ffe36f96f,e1b776097776530689ee9ca7f20aa629b252e4c64b1fe49f40aa16e23c754f8d,8c4aa287f57a5dbc508234ec206a429422da3ea77dbb1bf8856a06548f1c6083,1cb46ffde4b80e078a75356293b4327d24f73beb36c41b9ec1fa76cde692b9fe,a92f9ce6b76308cc92c4c5e783786d629a58c204733790f4bec3359a8ec2e912,934abde29b7145a4161d904e2563b02436d0be4b42848dd61c8e5b6f0433b9b5,f65674c5cdbb63d427499ba19d0b4ca5a1f9490b8a92708a41896e479a133f06,c4883d632a15c45ac817964b2980da3270049cd7be7934bf946dd48dad33044b
"0.029","160","1","1","0","122601","1","110","105","1","0","在海邊與夥伴享受夏日的夏海魔法師。以想改變自己的堅定決心，將障礙物無效化並持續奔跑。","1.5","101"
"0.014","120","2","3","1","122401","0","105","111","2","0","比太陽還耀眼的夏海活力女孩。能以與生俱來的身體能力，靈活地應對、跑過各種路線。","2.5","102"
"0.017","350","3","2","0","122501","0","110","105","3","1","在海灘上閃耀的夏海劍士。有著日復一日鍛鍊出來的雙腿，即使長距離也能速度不減地跑到最後。","2.5","103"
"0.016","130","4","3","1","107501","0","110","105","4","0","最喜歡美味海產的海岸公主。能解放「皇家裝備」的力量，不把障礙物放在眼裡地往前邁進。","1.5","104"
"0.014","160","5","1","0","107601","1","110","105","5","0","在海邊也要照顧主人的白色沙灘巫女。以精靈之力使自身加速，用比任何人都快的速度朝終點前進。","2.5","105"
"0.029","255","6","2","0","107801","0","120","103","6","1","對穿泳裝感到害羞的傲嬌貓女。以擅長的魔法妨礙對戰對手跑步，使自己處在有利的情況。","3.5","106"
"0.013","160","7","1","0","110601","1","120","103","7","0","優雅地在沙灘上奔馳，盛夏的真步公主。優雅優雅地以高雅的身姿跳過障礙物。","3.5","107"
"0.014","350","8","2","0","110401","0","110","103","8","1","守護沙灘和平的盛夏狼女。以獸人強健的體力在競賽後半進行衝刺。","2.5","108"
"0.012","130","9","3","1","110501","0","105","100","9","0","在海灘上賣力舞動的盛夏南國少女。即使在競賽的喧囂中精神也不會受擾亂，能展現驚人的中後段加速。","1.5","109"
"0.014","200","10","1","0","115701","1","105","103","10","0","察覺海灘事件徵兆的盛夏名偵探。以高度的推理力與魔法，確實地擾亂對戰對手奔跑。","2.5","110"
"0.071","350","11","2","0","113601","0","105","103","11","1","再次脫下鎧甲的灼熱騎士團長。以實戰中培養出的判斷力，能在一瞬間展開護盾使障礙物無效。","2.5","111"
"0.014","130","12","3","1","107901","0","120","103","12","0","在海邊隨心所欲的怕水貓女。在海灘上現身的美少女義賊，將奪取對戰對手的速度。","1.5","112"
"0.022","200","13","2","0","108001","1","110","105","13","0","即使度假還是效率第一的海之傭兵。就算是競賽也尋求最高效率，無論什麼狀況都能毫無破綻地奔跑。","1.5","113"
"0.031","160","14","1","0","110301","1","110","108","14","0","非常適合盛夏太陽，海邊的咲戀媽媽。多才又靈巧，無論什麼障礙物都能優雅地越過。","2.5","114"
"0.036","130","15","1","1","107701","0","110","105","15","0","於海邊喚來暴風雨的夏日女僕。平時已習慣多災多難，因此即使遇到一點困境也不會動搖。","0.5","115"
"0.048","350","16","2","0","113101","0","110","95","16","1","享受風雅夏日的若夏大姐頭。運用瀟灑的身姿，將始、繼、終的刀法與UB融合，一口氣加速。","3.5","116"
"0.043","130","17","3","1","113301","0","105","105","17","0","接觸到夏日悸動的宅宅魔法少女。操縱多彩的魔法，持續使其他跑者的速度逐漸變慢。","1.5","117"
"0.018","130","18","2","1","113201","0","105","95","18","0","降臨於海獄的盛夏冥姬。在競賽後半解放所有魔力，化為蒼藍疾風奔馳於沙灘。","1.5","118"
