73a1da85c3f551fe7bf3c51621cf1b869605987fd409302672531e330d879dc6,e2870b9f5fab52ba1a5fc240a8680c5d433f3140956b2df67fb90c1f09e31a99,e79597d60f780645c686c585f37d6f7ed2d9a203fadfc1b5433298229b479955,914e5c731227b16c9b436dc948fe303b868f08052688a0223c376b881decc47a,80a6fdee29351ffc6f256fca09e52b6387dace500b1340be1421e0eadc9edf12,fc1009c2cc6791433c4613e2e31951d5bfedd1ad50dfb81d017a1d215c49e444,8c64b3215ed30a396d4598accd88fd7b43194d8d103a903a2dfe480c0dadb06b,620668fcce3004bf3ff8226f6b9ac49773960f0aff0fe5b23d98910cbec75720,92285516f7fa4bd61db27d58f555617652ef93823fb468b7f39d97bc69184083,9fb671802ca8d27ea5f1129f0e612606f323befdb2c1041f972a4db33753c67d,7babefce2db9b70433c425a0ce52378cf514421078b48a5639aa4c14a26584fa,8ab7fa8675ca529fd9fe8b6c7d21df26a33cc14a1200c28449a4d3b28a35493f
"1007001","100700101","0","0","1","0.8","1","0","0","0","4","0"
"1007001","100700102","0","0","0","0","2","vo_svd","vo_svd_0101","0","2","0"
"1007001","100700103","1.684","0","0","0","3","0","0","300","1","1"
"1007001","100700104","0","0","1","1.949","4","0","0","0","4","0"
"1007001","100700105","1.363","15","0","0","5","0","0","327","1","2"
"1007001","100700106","0","0","1","3.027","6","0","0","0","4","0"
"1007001","100700107","0","0","0","0","7","vo_svd","vo_svd_0102","0","2","0"
"1007001","100700108","1.69","0","0","0","8","0","0","441","1","3"
"1007001","100700109","0","0","1","1.7","9","0","0","0","4","0"
"1007001","100700110","1.446","0","0","0","10","0","0","478","1","4"
"1007001","100700111","0","0","1","1.722","11","0","0","0","4","0"
"1007001","100700112","1.245","0","0","0","12","0","0","478","1","5"
"1007001","100700113","0","0","1","0.417","13","0","0","0","4","0"
"1007001","100700114","0.864","478","0","0","14","0","0","478","1","5"
"1007001","100700115","0","0","1","2.482","15","0","0","0","4","0"
"1007001","100700116","0","0","0","0","16","vo_svd","vo_svd_0103","0","2","0"
"1007001","100700117","2.352","0","0","0","17","0","0","420","1","6"
"1007001","100700118","0","0","1","1.694","18","0","0","0","4","0"
"1007001","100700119","0.953","0","0","0","19","0","0","268","1","7"
"1007001","100700120","0","0","1","2.5","20","0","0","0","4","0"
"1007002","100700201","0","0","1","0.8","1","0","0","0","4","0"
"1007002","100700202","0","0","0","0","2","vo_svd","vo_svd_0201","0","2","0"
"1007002","100700203","0.865","0","0","0","3","0","0","237","1","1"
"1007002","100700204","0","0","1","1.516","4","0","0","0","4","0"
"1007002","100700205","1.013","0","0","0","5","0","0","314","1","2"
"1007002","100700206","0","0","1","0.973","6","0","0","0","4","0"
"1007002","100700207","0.755","314","0","0","7","0","0","314","1","2"
"1007002","100700208","0","0","1","2.018","8","0","0","0","4","0"
"1007002","100700209","0","0","0","0","9","vo_svd","vo_svd_0202","0","2","0"
"1007002","100700210","0.541","0","0","0","10","0","0","76","1","3"
"1007002","100700211","0","0","1","0.517","11","0","0","0","4","0"
"1007002","100700212","0.992","76","0","0","12","0","0","330","1","3"
"1007002","100700213","0","0","1","0.792","13","0","0","0","4","0"
"1007002","100700214","0.751","0","0","0","14","0","0","0","1","4"
"1007002","100700215","0","0","1","1.887","15","0","0","0","4","0"
"1007002","100700216","0","0","0","0","16","vo_svd","vo_svd_0203","0","2","0"
"1007002","100700217","1.482","0","0","0","17","0","0","160","1","4"
"1007002","100700218","0","0","1","0.858","18","0","0","0","4","0"
"1007002","100700219","1.255","160","0","0","19","0","0","268","1","4"
"1007002","100700220","0","0","1","2.752","20","0","0","0","4","0"
"1007002","100700221","0","0","0","0","21","vo_svd","vo_svd_0204","0","2","0"
"1007002","100700222","1.827","0","0","0","22","0","0","336","1","5"
"1007002","100700223","0","0","1","1.654","23","0","0","0","4","0"
"1007002","100700224","1.773","0","0","0","24","0","0","364","1","6"
"1007002","100700225","0","0","1","2.5","25","0","0","0","4","0"
"1007003","100700301","0","0","1","0.8","1","0","0","0","4","0"
"1007003","100700302","0","0","0","0","2","vo_svd","vo_svd_0301","0","2","0"
"1007003","100700303","1.205","0","0","0","3","0","0","232","1","1"
"1007003","100700304","0","0","1","1.739","4","0","0","0","4","0"
"1007003","100700305","1.278","232","0","0","5","0","0","355","1","1"
"1007003","100700306","0","0","1","0.687","6","0","0","0","4","0"
"1007003","100700307","0.735","0","0","0","7","0","0","0","1","2"
"1007003","100700308","0","0","1","2.357","8","0","0","0","4","0"
"1007003","100700309","0","0","0","0","9","vo_svd","vo_svd_0302","0","2","0"
"1007003","100700310","1.542","0","0","0","10","0","0","364","1","2"
"1007003","100700311","0","0","1","1.9","11","0","0","0","4","0"
"1007003","100700312","1.82","0","0","0","12","0","0","336","1","3"
"1007003","100700313","0","0","1","1.754","13","0","0","0","4","0"
"1007003","100700314","1.133","0","0","0","14","0","0","255","1","4"
"1007003","100700315","0","0","1","2.697","15","0","0","0","4","0"
"1007003","100700316","0","0","0","0","16","vo_svd","vo_svd_0303","0","2","0"
"1007003","100700317","1.827","0","0","0","17","0","0","336","1","5"
"1007003","100700318","0","0","1","2.182","18","0","0","0","4","0"
