21d1ad8e32a8625c805a0fe918d91bd7a529dcb8e3890f6d1b4319a734bb6222,50896e4de7deae3d1859034391956feb2cadd9feebde2a44c327c8aa6dce1c2f,addb386b8b0aa35cce47ac670c37c935d95e58a66c30c96801b4fcdb4f1103b2,2fc7af2b2601f9caf4700f2cd093c0dba286bd30b378fcc7c85fa9ab2c8cf037,beee57a446b11fd47cea854cf933e8e3f55bc4a304731740ce0d4b5cf3dd9b1a,91553e4fe65db398f6e1121e5f66841605effaae064608fe0000eb1391a9dbaf,b436f0179ebca48a11fccb8e306362b7f8066b8dcbed473ba400412070ae9ee5,e65469f32d793bd74b290958efe515c5970bf5eb3f1a66dc015c6fff4ad5b8b9,21e22aba4dbd989e92a8dddb9c4a7d50b591ef04575d550c2731458d44cba214,3afe054fe8aca39ca9e4b8bb6788ba1de00e0527e1557e1f4741482c24662494
"0","2019/08/01 15:59:59","2018/01/01 15:00:00","0","0","0","0","0","10001","0"
"1001","2020/02/14 15:59:59","2019/08/01 16:00:00","1","0","1001","1","0","10002","1001"
"1001","2020/08/03 15:59:59","2020/02/14 16:00:00","1","0","0","1","0","10003","0"
"1001","2020/08/31 23:59:59","2020/08/03 16:00:00","1","1002","1002","1","0","10004","1002"
"1002","2020/08/31 23:59:59","2020/08/03 16:00:00","2","1002","1002","2","2015009","10005","1002"
"1001","2021/02/09 04:59:59","2020/09/01","1","0","0","1","0","10006","0"
"1002","2021/02/09 04:59:59","2020/09/01","2","0","0","2","2015009","10007","0"
"1001","2021/02/26 04:59:59","2021/02/09 05:00:00","1","1003","0","1","0","10008","0"
"1002","2021/02/26 04:59:59","2021/02/09 05:00:00","2","1003","0","2","2015009","10009","0"
"1001","2021/08/01 04:59:59","2021/02/26 04:59:59","1","0","0","1","0","10010","0"
"1002","2021/08/01 04:59:59","2021/02/26 04:59:59","2","0","0","2","2015009","10011","0"
"1001","2021/08/31 23:59:59","2021/08/01 05:00:00","1","1004","1003","1","0","10012","1003"
"1002","2021/08/31 23:59:59","2021/08/01 05:00:00","2","1004","1003","2","2015009","10013","1003"
"1001","2023/08/01 04:59:59","2021/09/01","1","0","0","1","0","10014","0"
"1002","2023/08/01 04:59:59","2021/09/01","2","0","0","2","2015009","10015","0"
"1001","2023/08/31 23:59:59","2023/08/01 05:00:00","1","1008","1005","1","0","10028","1005"
"1002","2023/08/31 23:59:59","2023/08/01 05:00:00","2","1008","1005","2","2015009","10029","1005"
"1001","2030/08/15 14:59:59","2023/09/01","1","0","0","1","0","10030","0"
"1002","2030/08/15 14:59:59","2023/09/01","2","0","0","2","2015009","10031","0"
