0e9829980620b2577706efafc20ef2df599cf798189e7baf5b4587c67aa5764f,228570bd1b807eefddcee8a720457a6f36a24f6ad16c81e0d838151cd8c1df05,a0fc605b8e4b4ad27577e607bb11ce723da3e02fdd3139521c0f269b59ccb4e5,a3f053b882635aca0202c6da61b9f9bf298c087bd8b01ce0bdb7f231f11fad41,20f1628a357520d989c072421d1a88f30c42836344c7bbe2415bf68bf3478f92,00b3915c5685f1103607086d8b6eeb196fd336549c348bcaf8bfecd5f374dac9,03c72c2a375322f666ce3b8141b88141d944c33b055e896304bf40ba916cb0f9,8519cd6134f3db6d0199f5595d3c175b0ff514f4a7f4425d9bf1e0208a0a29ad,d4a7648d16cc8cc124af44f8862ec3f1863ed53e0bec1c38674e74c65b521da3,8fec8e6afebff483022aa825f156fe95b3d092b19cc0a8497c536bc7eefde1a4,9dfd33c05414671361e884fcd0a1ce89dd3af0b73477d2e0c8b6ed6914bb0cac
"1","1","nop_idle_joy1","-150","101","0","111831","-100","1.5","115","101001"
"1","1","nop_idle_normal_joy","-150","101","1","120731","100","1.5","114","101002"
"1","1","nop_idle_arm_crossed","-127","101","0","120831","-215","1.5","111","101003"
"1","1","nop_idle_normal","-127","101","1","111931","215","1.5","110","101004"
"1","1","nop_idle_thinking","-150","101","0","120931","-330","1.5","113","101005"
"1","1","nop_idle_normal","-150","101","1","112031","330","1.5","112","101006"
"1","1","nop_idle_joy1","-150","102","0","108731","-100","1.5","115","102001"
"1","1","nop_idle_joy_normal","-150","102","1","108831","100","1.5","114","102002"
"1","1","nop_idle_normal","-127","102","0","108931","-215","1.5","111","102003"
"1","1","nop_idle_joy1","-135","103","0","102011","-100","1.5","113","103001"
"1","1","nop_idle_normal","-150","103","0","100411","-215","1.5","115","103002"
"1","1","nop_idle_wish","-143","103","1","103631","100","1.5","114","103003"
"1","1","nop_idle_normal","-150","104","0","101231","-100","1.5","115","104001"
"1","1","nop_idle_normal","-150","104","1","104011","100","1.5","114","104002"
"1","1","nop_idle_normal","-127","104","0","101511","-215","1.5","111","104003"
"1","1","nop_idle_normal","-135","105","0","103111","-100","1.5","113","105001"
"1","1","nop_idle_sad","-135","105","1","102211","100","1.5","111","105002"
"1","1","nop_05_miyako_idle_normal","-150","105","0","100711","-215","1.5","115","105003"
"1","1","nop_idle_joy1","-150","105","1","100611","215","1.5","112","105004"
"1","5","nop_skull_idle","-135","105","1","2051","-25","1.5","114","105005"
"1","1","nop_idle_arm_crossed","-150","106","0","104731","-215","1.5","115","106001"
"1","1","nop_idle_arm_crossed","-150","106","1","107131","215","1.5","114","106002"
"1","1","nop_idle_normal","-135","106","0","103731","-100","1.5","111","106003"
"1","1","nop_idle_joy1","-135","106","1","100511","100","1.5","110","106004"
"1","1","nop_idle_normal","-150","107","0","102831","-100","1.5","115","107001"
"1","1","nop_idle_normal","-150","107","1","102111","100","1.5","114","107002"
"1","1","nop_idle_normal","-127","107","0","102511","-215","1.5","111","107003"
"1","1","nop_idle_normal","-127","107","1","102311","215","1.5","110","107004"
"1","1","nop_idle_joy_normal","-150","108","0","101011","-100","1.5","115","108001"
"1","1","nop_idle_arm_crossed","-150","108","1","104331","100","1.5","114","108002"
"1","1","nop_idle_joy1","-127","108","0","101711","-215","1.5","111","108003"
"1","1","nop_idle_normal","-127","108","1","101431","215","1.5","110","108004"
"1","1","nop_idle_joy1","-150","109","0","103311","-100","1.5","115","109001"
"1","1","nop_idle_joy_normal","-127","109","0","105211","-215","1.5","111","109002"
"1","1","nop_idle_sad2","-150","109","1","102611","100","1.5","114","109003"
"1","1","nop_idle_normal","-127","109","1","103811","215","1.5","110","109004"
"1","1","nop_idle_joy1","-150","110","0","103231","-100","1.5","115","110001"
"1","1","nop_10_yukari_02","-127","110","1","103411","215","1.5","110","110002"
"1","5","nop_10_yukari_02","-127","110","1","11","215","1.5","111","110003"
"1","1","nop_idle_doya","-150","110","1","104811","100","1.5","114","110004"
"1","1","nop_idle_joy_normal","-127","110","0","104611","-215","1.5","111","110005"
"1","1","nop_11_anna_idle_arm_crossed","-150","111","0","100911","-100","1.5","115","111001"
"1","1","nop_idle_joy_normal","-150","111","1","101311","100","1.5","114","111002"
"1","1","nop_11_eriko_idle_wish","-127","111","0","102711","-215","1.5","111","111003"
"1","1","nop_idle_normal","-127","111","1","105111","215","1.5","110","111004"
"1","1","nop_idle_joy1","-143","112","1","101831","100","1.5","115","112001"
"1","1","nop_idle_joy_normal","-135","112","0","101611","-100","1.5","110","112002"
"1","1","nop_idle_joy_normal","-150","112","0","105011","-215","1.5","114","112003"
"1","1","nop_idle_normal_joy","-150","113","1","105331","100","1.5","113","113001"
"1","1","nop_13_kuka_idle_memory2","-150","113","0","104511","-100","1.5","114","113002"
"1","1","nop_idle_joy1","-127","113","0","103031","-215","1.5","110","113003"
"1","1","nop_idle_thinking","-150","113","0","100811","-330","1.5","111","113004"
"1","1","nop_idle_sad","-150","113","1","105511","240","1.5","115","113005"
"1","1","nop_idle_normal","-150","114","1","106831","100","1.5","115","114001"
"1","1","nop_idle_normal","-150","114","0","101131","-100","1.5","114","114002"
"1","1","nop_idle_normal","-127","114","0","104931","-215","1.5","110","114003"
"1","1","nop_idle_joy1","-143","115","1","102931","100","1.5","115","115001"
"1","1","nop_idle_wish","-135","115","0","104211","-100","1.5","110","115002"
"1","1","nop_idle_normal","-150","115","0","105411","-215","1.5","114","115003"
"1","1","nop_idle_normal","-150","116","1","106731","100","1.5","115","116001"
"1","1","nop_idle_joy1","-150","116","0","106631","-100","1.5","114","116002"
"1","1","nop_16_kaya_idle_normal2","-127","116","0","106531","-215","1.5","110","116003"
"1","5","nop_rago_idle","-150","116","1","2","180","1.5","116","116004"
"1","1","nop_idle_normal","-150","117","1","111031","100","1.5","115","117001"
"1","1","nop_idle_joy2","-150","117","0","110931","-100","1.5","114","117002"
"1","1","nop_17_chloe_idle_normal2","-127","117","0","110831","-215","1.5","110","117003"
"1","5","NoItem_idle","-150","117","0","1","-100","1.5","115","117004"
"1","1","nop_18_muimi_idle_joy_normal","-150","118","1","114711","-100","1.5","115","118001"
"1","1","nop_18_karin_idle_normal","-150","118","0","118511","100","1.5","114","118002"
"1","1","nop_idle_normal","-127","118","0","115031","-215","1.5","111","118003"
"1","1","nop_idle_joy1","-127","118","1","118031","215","1.5","110","118004"
