34943288195991faaa6b8c1c0a84523e10187c2a8b0cfeb0f214210fd4e49819,1aab3c76ebe74769917252fc6f6dec8d4a36bb6c4ca4e36d0084f2b1f9f470ec,aa839f1f7aea7636f771596469bf24034b3b47fa9ab15de79ccda43f81573e8f,a18a39b1b7a5448442298b52d6655dc6a8988cfef4dc57fe5f8c9658372b0d0a,91ba7134bfbde837c14ce770d35c5f594e348bc3358fa89a4d3947bca0946dd1,ba2dc4f2537d6a9c497bb6910f60c9e68a2aa7c959d4ba2024a063da5429b2d7
"5","201","2","10201","10201001","5201083"
"3","1021301","2","10213","10213001","5213062"
"2","5213063","3","10213","10213002","1021301"
"3","1021302","2","10213","10213003","5213064"
"2","5213065","3","10213","10213004","1021302"
"3","1021303","2","10213","10213005","5213066"
"2","5213067","3","10213","10213006","1021303"
"3","1021304","2","10213","10213007","5213068"
"2","5213069","3","10213","10213008","1021304"
"3","1021305","2","10213","10213009","5213070"
"2","5213071","3","10213","10213010","1021305"
"3","1021306","2","10213","10213011","5213072"
"2","5213073","3","10213","10213012","1021306"
"3","1021307","2","10213","10213013","5213074"
"2","5213075","3","10213","10213014","1021307"
"3","1021311","2","10213","10213015","5213076"
"2","5213077","3","10213","10213016","1021311"
"3","1021312","2","10213","10213017","5213078"
"2","5213079","3","10213","10213018","1021312"
"3","1021313","2","10213","10213019","5213080"
"2","5213081","3","10213","10213020","1021313"
"3","1021314","2","10213","10213021","5213082"
"2","5213083","3","10213","10213022","1021314"
"3","1021315","2","10213","10213023","5213084"
"2","5213085","3","10213","10213024","1021315"
"3","1021316","2","10213","10213025","5213086"
"2","5213087","3","10213","10213026","1021316"
"3","1021317","2","10213","10213027","5213088"
"2","5213089","3","10213","10213028","1021317"
"3","1021321","2","10213","10213029","5213090"
"2","5213091","3","10213","10213030","1021321"
"3","1021322","2","10213","10213031","5213092"
"2","5213093","3","10213","10213032","1021322"
"3","1021323","2","10213","10213033","5213094"
"2","5213095","3","10213","10213034","1021323"
"3","1021324","2","10213","10213035","5213096"
"2","5213097","3","10213","10213036","1021324"
"3","1021325","2","10213","10213037","5213098"
"2","5213099","3","10213","10213038","1021325"
"3","1021326","2","10213","10213039","5213100"
"2","5213101","3","10213","10213040","1021326"
"3","1021327","2","10213","10213041","5213102"
"2","5213103","3","10213","10213042","1021327"
