2659a3fc11337b225f7f9727fcd78f90a7c498f483b3e20636cb51e92c5964a2,636d4acd2a23d41c8187d4614cc34c41891011285afcc358af7ff91f114a8f2a,5013436b9e83731d5b801577adf7b14566a620986400a7fc45833295a707c5b8,cd94900fd339bb7393fa987228c3ca27f120b71ceec59925adc840a6c5319e42,1d31444cc7e5df09423aa23bd04fb34d174b592ee37c734323270a53652aeb83,8966503ccdfb0590db0411ec7a0f645d095eb4739790d93d19967668cf192876,4f7fdc3772942a1138040395560a072418317d7a0a770aac3f0c3b974667400c,9f8db88116c09a4a6af6c818f9f4fd9ab1a1d5fd31fe1d95368dc9602ec8c24b,1858f428597db1fbe289aa4d0e89760d233fd10f4e2082272138301147d1ae73
"6","-1","8","1","22","5","53003","10001","7"
"6","-1","4","1","22","5","53002","10002","7"
"5","5","6","1","22","4","53003","10101","6"
"5","5","5","1","22","4","53002","10102","6"
"4","4","5","1","22","3","53003","10201","5"
"4","4","5","1","22","3","53002","10202","5"
"3","3","4","1","22","3","53003","10301","4"
"3","3","3","1","22","3","53002","10302","4"
"2","2","3","1","22","2","53003","10401","3"
"2","2","2","1","22","2","53002","10402","3"
"1","1","2","1","22","1","53003","10501","2"
"1","1","1","1","22","1","53002","10502","2"
"0","0","2","1","22","1","53002","10601","1"
"6","-1","8","2","22","5","53003","10701","7"
"6","-1","4","2","22","5","53002","10702","7"
"5","5","6","2","22","4","53003","10801","6"
"5","5","5","2","22","4","53002","10802","6"
"4","4","5","2","22","3","53003","10901","5"
"4","4","5","2","22","3","53002","10902","5"
"3","3","4","2","22","3","53003","11001","4"
"3","3","3","2","22","3","53002","11002","4"
"2","2","3","2","22","2","53003","11101","3"
"2","2","2","2","22","2","53002","11102","3"
"1","1","2","2","22","1","53003","11201","2"
"1","1","1","2","22","1","53002","11202","2"
"0","0","2","2","22","1","53002","11301","1"
"6","-1","8","3","22","5","53003","11401","7"
"6","-1","4","3","22","5","53002","11402","7"
"5","5","6","3","22","4","53003","11501","6"
"5","5","5","3","22","4","53002","11502","6"
"4","4","5","3","22","3","53003","11601","5"
"4","4","5","3","22","3","53002","11602","5"
"3","3","4","3","22","3","53003","11701","4"
"3","3","3","3","22","3","53002","11702","4"
"2","2","3","3","22","2","53003","11801","3"
"2","2","2","3","22","2","53002","11802","3"
"1","1","2","3","22","1","53003","11901","2"
"1","1","1","3","22","1","53002","11902","2"
"0","0","2","3","22","1","53002","12001","1"
"6","-1","8","4","22","5","53003","12101","7"
"6","-1","4","4","22","5","53002","12102","7"
"5","5","6","4","22","4","53003","12201","6"
"5","5","5","4","22","4","53002","12202","6"
"4","4","5","4","22","3","53003","12301","5"
"4","4","5","4","22","3","53002","12302","5"
"3","3","4","4","22","3","53003","12401","4"
"3","3","3","4","22","3","53002","12402","4"
"2","2","3","4","22","2","53003","12501","3"
"2","2","2","4","22","2","53002","12502","3"
"1","1","2","4","22","1","53003","12601","2"
"1","1","1","4","22","1","53002","12602","2"
"0","0","2","4","22","1","53002","12701","1"
"6","-1","8","5","22","5","53003","12801","7"
"6","-1","4","5","22","5","53002","12802","7"
"5","5","6","5","22","4","53003","12901","6"
"5","5","5","5","22","4","53002","12902","6"
"4","4","5","5","22","3","53003","13001","5"
"4","4","5","5","22","3","53002","13002","5"
"3","3","4","5","22","3","53003","13101","4"
"3","3","3","5","22","3","53002","13102","4"
"2","2","3","5","22","2","53003","13201","3"
"2","2","2","5","22","2","53002","13202","3"
"1","1","2","5","22","1","53003","13301","2"
"1","1","1","5","22","1","53002","13302","2"
"0","0","2","5","22","1","53002","13401","1"
"6","-1","8","6","22","5","53003","13501","7"
"6","-1","4","6","22","5","53002","13502","7"
"5","5","6","6","22","4","53003","13601","6"
"5","5","5","6","22","4","53002","13702","6"
"4","4","5","6","22","3","53003","13801","5"
"4","4","5","6","22","3","53002","13902","5"
"3","3","4","6","22","3","53003","14001","4"
"3","3","3","6","22","3","53002","14002","4"
"2","2","3","6","22","2","53003","14101","3"
"2","2","2","6","22","2","53002","14102","3"
"1","1","2","6","22","1","53003","14201","2"
"1","1","1","6","22","1","53002","14202","2"
"0","0","2","6","22","1","53002","14301","1"
"6","-1","8","7","22","5","53003","14401","7"
"6","-1","4","7","22","5","53002","14402","7"
"5","5","6","7","22","4","53003","14501","6"
"5","5","5","7","22","4","53002","14502","6"
"4","4","5","7","22","3","53003","14601","5"
"4","4","5","7","22","3","53002","14701","5"
"3","3","4","7","22","3","53003","14801","4"
"3","3","3","7","22","3","53002","14802","4"
"2","2","3","7","22","2","53003","14901","3"
"2","2","2","7","22","2","53002","14902","3"
"1","1","2","7","22","1","53003","15001","2"
"1","1","1","7","22","1","53002","15002","2"
"0","0","2","7","22","1","53002","15101","1"
"6","-1","8","8","22","5","53003","15201","7"
"6","-1","4","8","22","5","53002","15202","7"
"5","5","6","8","22","4","53003","15301","6"
"5","5","5","8","22","4","53002","15302","6"
"4","4","5","8","22","3","53003","15401","5"
"4","4","5","8","22","3","53002","15402","5"
"3","3","4","8","22","3","53003","15501","4"
"3","3","3","8","22","3","53002","15502","4"
"2","2","3","8","22","2","53003","15601","3"
"2","2","2","8","22","2","53002","15602","3"
"1","1","2","8","22","1","53003","15701","2"
"1","1","1","8","22","1","53002","15702","2"
"0","0","2","8","22","1","53002","15901","1"
"6","-1","8","9","22","5","53003","16001","7"
"6","-1","4","9","22","5","53002","16002","7"
"5","5","6","9","22","4","53003","16101","6"
"5","5","5","9","22","4","53002","16102","6"
"4","4","5","9","22","3","53003","16201","5"
"4","4","5","9","22","3","53002","16202","5"
"3","3","4","9","22","3","53003","16301","4"
"3","3","3","9","22","3","53002","16302","4"
"2","2","3","9","22","2","53003","16401","3"
"2","2","2","9","22","2","53002","16402","3"
"1","1","2","9","22","1","53003","16501","2"
"1","1","1","9","22","1","53002","16502","2"
"0","0","2","9","22","1","53002","16601","1"
"6","-1","8","10","22","5","53003","16701","7"
"6","-1","4","10","22","5","53002","16702","7"
"5","5","6","10","22","4","53003","16801","6"
