819fef1c3581aa7b6c3101d0b026d146312e4e8fcbe3ea3634070c41b5635af0,1980175af4bca78583ef6d14d3a056d6a52dcfc4fd2bdd7b22d4e56c53109def,1da707b39b5fd53e13cf2a8e543e48709fec95f291e62569a870e845f8663b2d,0ed17f6a50df54d18fdeb38e60f2bdc7b70d413d97d357a3eb01c745954a143f,3c1ca8e10303969e4574b8959c108d43fadd9d5dec023ec6ca27a4857ecf6f9f,a2299efa0033edc08e687c749ada4cd073b65221997f74437a903869f28ab85f,fea22d328d77f204d2ea93d195f962cc7444f7a2a78e337f916fcb15d8a27a3d,68fd639b678cd97ad184b8cf3433b2dd1bb996f8b5ff93b084116f70e1cf8310,ebd3662f0a03a08b29646d1df36f7b0aed5a6e57c6aa7a089bf03f78e9006f66,fc2caf2f18e1981721e265fefbb6cf6fc7f1551d5d23f6d97475423ebe4dc833
"1","vo_minigame_1013_icon_1_002_001","2","2","訓練現在\n才要開始。","vo_minigame_1013_icon_2_002_001","1000","2","3000","狀態逐漸\n變好了呢。"
"2","vo_minigame_1013_icon_1_003_001","2","2","嘻嘻，局勢\n發展得不錯。","vo_minigame_1013_icon_2_003_001","5000","2","3000","喂喂，\n還能繼續的吧？"
"3","vo_minigame_1013_icon_1_004_001","3","2","這是出色的\n紀錄。","vo_minigame_1013_icon_2_004_001","10000","2","3000","嘿嘿，你們\n挺行的嘛！"
"4","vo_minigame_1013_icon_1_005_001","3","3","現在狀態\n絕佳呢。","vo_minigame_1013_icon_2_005_001","10000","2","3000","我們還不能\n止步於此！"
"5","vo_minigame_1013_icon_1_005_002","3","3","還能繼續前進。\n給我跟上。","vo_minigame_1013_icon_2_005_002","10000","2","3000","看著吧！\n真琴班過關斬將！"
"6","vo_minigame_1013_icon_1_005_003","3","3","惠理子班\n發揮真本事！","vo_minigame_1013_icon_2_005_003","10000","2","3000","唔哦哦哦！\n狀態絕佳！"
"7","vo_minigame_1013_icon_1_006_001","3","4","接下來是\n前無古人的領域！","vo_minigame_1013_icon_2_006_001","0","2","3000","能前進到什麼地方\n真讓人期待！"
"8","vo_minigame_1013_icon_1_007_001","4","5","真是棘手……","vo_minigame_1013_icon_2_007_001","1","3","1000","還不能放棄。"
"9","vo_minigame_1013_icon_1_007_002","4","5","不可輕敵。","vo_minigame_1013_icon_2_007_002","1","3","1000","捏了把冷汗啊……！"
"10","vo_minigame_1013_icon_1_007_003","4","5","真是可恨……","vo_minigame_1013_icon_2_007_003","1","3","1000","不准說喪氣話。"
"11","vo_minigame_1013_icon_1_008_001","3","6","人多勢眾呢。","vo_minigame_1013_icon_2_008_001","99","4","1500","真琴班集合！"
"12","vo_minigame_1013_icon_1_008_002","3","6","歡迎來到惠理子班。","vo_minigame_1013_icon_2_008_002","99","4","1500","齊心協力上吧！"
"13","vo_minigame_1013_icon_1_020_001","6","8","儘管包在\n小七七香身上。","vo_minigame_1013_icon_2_020_001","0","1","3000","賦予大家力量！"
"14","vo_minigame_1013_icon_1_022_001","7","9","哈哈哈！\n交給我吧！","vo_minigame_1013_icon_2_022_001","0","1","3000","包在我身上。"
"15","vo_minigame_1013_icon_1_023_001","8","10","繼續前進囉。","vo_minigame_1013_icon_2_023_001","0","1","3000","好哪，繼續前進吧。"
