8c39e9a67820a76cbe26d37e596d011f6367ca10b6a9b2136f6b248c4f0a93fe,fb02034c56d8c25c53fdb95794525bb683c6b0dce28ab6397ca7ba3cef9160ae,cd807bb1588c8bac60ed7b9f1bb8a3d83c7cf5f8bf6e17f5b964c56b1320f73e,7b63ce187a364451d5e64f4c5bd73a9e0780dc7f7808cae9dfb3aee22fe19020,42677a1438aa2f2c0e79d9af30d955cf20acb2a26b768c16e04bfee6d110f34c,1dda75c1238daab2e39f31703803b455f0f17e485769d5bea98f8acd90c337f9,4bdaa8177e972ba2ebaa023b5638809b16ca93bf7b85c04c0d247ac2f6825c8a
"0","11012","2","1101","11011","2","這裡是公會管理協會！請問在尋找怎麼樣的夥伴呢？"
"0","11022","2","1102","11021","2","這裡是公會管理協會！請問在尋找怎麼樣的夥伴呢？"
"0","11032","2","1103","11031","2","這裡是公會管理協會！請問在尋找怎麼樣的夥伴呢？"
"0","11042","2","1104","11041","2","這裡是公會管理協會！請問在尋找怎麼樣的夥伴呢？"
"0","11052","4","1105","11051","4","發現了魔物們聚集的競技場！"
"11071","11072","7","1107","11073","7","發現不可思議的石板！要怎麼辦？"
"0","11081","8","1108","11082","8","在地下城迷路了！要往哪邊前進？"
"0","11092","4","1109","11091","4","發現了魔物們聚集的競技場！"
"11103","11102","3","1110","11101","3","剪刀、石頭……布！"
"0","11112","10","1111","11111","10","能聽見箱子裡有聲音傳來……"
"0","11122","11","1112","11121","11","活動會場出現魔物了！"
"0","11132","4","1113","11131","4","發現了魔物們聚集的競技場！"
"0","11172","4","1117","11171","4","發現了魔物們聚集的競技場！"
"0","11182","4","1118","11181","4","發現了魔物們聚集的競技場！"
"0","11192","4","1119","11191","4","發現了魔物們聚集的競技場！"
"0","11202","4","1120","11201","4","發現了魔物們聚集的競技場！"
"0","11212","4","1121","11211","4","發現了魔物們聚集的競技場！"
"0","11222","4","1122","11221","4","發現了魔物們聚集的競技場！"
"0","11232","4","1123","11231","4","發現了魔物們聚集的競技場！"
"0","11242","4","1124","11241","4","發現了魔物們聚集的競技場！"
"0","11252","4","1125","11251","4","發現了魔物們聚集的競技場！"
"0","11262","4","1126","11261","4","發現了魔物們聚集的競技場！"
"0","11272","4","1127","11271","4","發現了魔物們聚集的競技場！"
"0","11282","4","1128","11281","4","發現了魔物們聚集的競技場！"
"0","11292","4","1129","11291","4","發現了魔物們聚集的競技場！"
"0","11302","4","1130","11301","4","發現了魔物們聚集的競技場！"
"0","11312","4","1131","11311","4","發現了魔物們聚集的競技場！"
"0","11322","4","1132","11321","4","發現了魔物們聚集的競技場！"
"0","11332","4","1133","11331","4","發現了魔物們聚集的競技場！"
"0","11342","4","1134","11341","4","發現了魔物們聚集的競技場！"
"0","11352","4","1135","11351","4","發現了魔物們聚集的競技場！"
"0","11362","4","1136","11361","4","發現了魔物們聚集的競技場！"
"0","11372","4","1137","11371","4","發現了魔物們聚集的競技場！"
"0","0","5","1314","13141","5","發現釣魚景點！"
"0","0","9","1315","13151","9","是非常適合野餐的絕佳日子！"
"0","0","6","1316","13161","6","是拉霸機！要挑戰嗎？"
"0","0","5","2314","23141","5","Lucky！還可以再釣一次！"
"0","23151","9","2315","23152","9","菜做好了！不過，還有材料喔！"
"0","23161","6","2316","23162","6","再來一局！"
"0","0","5","3314","33141","5","再最後一次！"
"0","33151","9","3315","33152","9","完美！不過，還有材料喔！"
"0","33161","6","3316","33162","6","最後一次！"
