261a32613d0b976e3d70749c77b9c94610950bc70d6b4867feecf0b025dcb520,f3ee12ce5c0439b0a3546ad79294c140b83cbede1a9773790542b47709f07a7a,2334e6c6cfdb61ece287e6e5e911406ec25317fa8601dba5d7cccef04dca65a6,5744234abe445cb02f65b4f2afba923d1b9e9b7bf88a371ea6e6dbb17cc21151,658c99df07b47e3397a4bd28e2407c1bf2a4854a1116f3c6d7ee432b2a301baa
"94002","150000","31000101","12","310001011"
"22003","10","31000101","2","310001012"
"94002","500000","31000102","12","310001021"
"22003","10","31000102","2","310001022"
"94002","500000","31000103","12","310001031"
"140001","5","31000103","4","310001032"
"25001","5","31000103","2","310001033"
"94002","500000","31000104","12","310001041"
"22003","10","31000104","2","310001042"
"94002","500000","31000105","12","310001051"
"140001","5","31000105","4","310001052"
"25001","5","31000105","2","310001053"
"94002","500000","31000106","12","310001061"
"22003","10","31000106","2","310001062"
"94002","500000","31000107","12","310001071"
"140001","5","31000107","4","310001072"
"25001","5","31000107","2","310001073"
"94002","500000","31000108","12","310001081"
"22003","10","31000108","2","310001082"
"94002","500000","31000109","12","310001091"
"140001","5","31000109","4","310001092"
"25001","5","31000109","2","310001093"
"94002","150000","31001101","12","310011011"
"22003","5","31001101","2","310011012"
"94002","150000","31001102","12","310011021"
"22003","5","31001102","2","310011022"
"94002","150000","31001103","12","310011031"
"22003","5","31001103","2","310011032"
"94002","150000","31001111","12","310011111"
"22003","5","31001111","2","310011112"
"94002","200000","31001112","12","310011121"
"22003","5","31001112","2","310011122"
"94002","150000","31001201","12","310012011"
"22003","5","31001201","2","310012012"
"94002","150000","31001202","12","310012021"
"22003","5","31001202","2","310012022"
"94002","150000","31001203","12","310012031"
"22003","5","31001203","2","310012032"
"94002","150000","31001211","12","310012111"
"22003","5","31001211","2","310012112"
"94002","200000","31001212","12","310012121"
"22003","5","31001212","2","310012122"
"94002","150000","31001301","12","310013011"
"22003","5","31001301","2","310013012"
"94002","150000","31001302","12","310013021"
"22003","5","31001302","2","310013022"
"94002","150000","31001303","12","310013031"
"22003","5","31001303","2","310013032"
"94002","150000","31001311","12","310013111"
"22003","5","31001311","2","310013112"
"94002","200000","31001312","12","310013121"
"22003","5","31001312","2","310013122"
"94002","150000","31001401","12","310014011"
"22003","5","31001401","2","310014012"
"94002","150000","31001402","12","310014021"
"22003","5","31001402","2","310014022"
"94002","150000","31001403","12","310014031"
"22003","5","31001403","2","310014032"
"94002","150000","31001411","12","310014111"
"22003","5","31001411","2","310014112"
"94002","200000","31001412","12","310014121"
"22003","5","31001412","2","310014122"
"94002","150000","31002101","12","310021011"
"22003","5","31002101","2","310021012"
"94002","150000","31002102","12","310021021"
"22003","5","31002102","2","310021022"
"94002","150000","31002103","12","310021031"
"22003","5","31002103","2","310021032"
"91002","50","31002104","8","310021041"
"94002","150000","31002111","12","310021111"
"22003","5","31002111","2","310021112"
"94002","200000","31002112","12","310021121"
"22003","5","31002112","2","310021122"
"91002","100","31002113","8","310021131"
"94002","150000","31003101","12","310031011"
"22003","5","31003101","2","310031012"
"94002","150000","31003102","12","310031021"
"22003","5","31003102","2","310031022"
"94002","150000","31003103","12","310031031"
"22003","5","31003103","2","310031032"
"91002","50","31003104","8","310031041"
"94002","150000","31003111","12","310031111"
"22003","5","31003111","2","310031112"
"94002","200000","31003112","12","310031121"
"22003","5","31003112","2","310031122"
"91002","100","31003113","8","310031131"
"94002","150000","31003201","12","310032011"
"22003","5","31003201","2","310032012"
"94002","150000","31003202","12","310032021"
"22003","5","31003202","2","310032022"
"94002","150000","31003203","12","310032031"
"22003","5","31003203","2","310032032"
"91002","50","31003204","8","310032041"
"94002","150000","31003211","12","310032111"
"22003","5","31003211","2","310032112"
"94002","200000","31003212","12","310032121"
"22003","5","31003212","2","310032122"
"91002","100","31003213","8","310032131"
