926c9b1b73e63524b4153f59d8f7911779ff1d67c235b7272f6a4847d80266c4,c2008cb6196c4cf5b47e00053dda6e06298d81aa2c8810f8ff973e878aa569e5,d7050aae1c94d684204c36d9776df1940d53294810578ac8cfaafdf704894ba7,322f1148ae90097c6cecad16942d68bf82e756a1cf92edc552202b3632554b50,2ecec0482eb843a99582068ce0ef5cb2e2c35f8945fa583f5ac2ccae90044994
"5000000","1","12","94002","100101"
"2000","2","2","90008","100102"
"20","3","2","25001","100103"
"2500","4","2","90008","100104"
"30","5","2","25001","100105"
"300","6","8","91002","100106"
"1","7","2","41000","100107"
"5000000","8","12","94002","100108"
"1000000","9","12","94002","100109"
"1000000","10","12","94002","100110"
"1000000","11","12","94002","100111"
"400","12","2","20004","100112"
"300","13","2","20004","100113"
"200","14","2","20004","100114"
"1000000","15","12","94002","100115"
"1000000","16","12","94002","100116"
"1000000","17","12","94002","100117"
"400","18","2","20004","100118"
"300","19","2","20004","100119"
"200","20","2","20004","100120"
"1000000","21","12","94002","100121"
"1000000","22","12","94002","100122"
"1000000","23","12","94002","100123"
"400","24","2","20004","100124"
"300","25","2","20004","100125"
"200","26","2","20004","100126"
"5000000","27","12","94002","100201"
"2000","28","2","90008","100202"
"20","29","2","25001","100203"
"2500","30","2","90008","100204"
"30","31","2","25001","100205"
"300","32","8","91002","100206"
"1","33","2","41000","100207"
"5000000","34","12","94002","100208"
"1000000","35","12","94002","100209"
"1000000","36","12","94002","100210"
"1000000","37","12","94002","100211"
"400","38","2","20004","100212"
"300","39","2","20004","100213"
"200","40","2","20004","100214"
"1000000","41","12","94002","100215"
"1000000","42","12","94002","100216"
"1000000","43","12","94002","100217"
"400","44","2","20004","100218"
"300","45","2","20004","100219"
"200","46","2","20004","100220"
"1000000","47","12","94002","100221"
"1000000","48","12","94002","100222"
"1000000","49","12","94002","100223"
"400","50","2","20004","100224"
"300","51","2","20004","100225"
"200","52","2","20004","100226"
"5000000","53","12","94002","100301"
"2000","54","2","90008","100302"
"20","55","2","25001","100303"
"2500","56","2","90008","100304"
"30","57","2","25001","100305"
"300","58","8","91002","100306"
"1","59","2","41000","100307"
"5000000","60","12","94002","100308"
"1000000","61","12","94002","100309"
"1000000","62","12","94002","100310"
"1000000","63","12","94002","100311"
"400","64","2","20004","100312"
"300","65","2","20004","100313"
"200","66","2","20004","100314"
"1000000","67","12","94002","100315"
"1000000","68","12","94002","100316"
"1000000","69","12","94002","100317"
"400","70","2","20004","100318"
"300","71","2","20004","100319"
"200","72","2","20004","100320"
"1000000","73","12","94002","100321"
"1000000","74","12","94002","100322"
"1000000","75","12","94002","100323"
"400","76","2","20004","100324"
"300","77","2","20004","100325"
"200","78","2","20004","100326"
"5000000","79","12","94002","100401"
"2000","80","2","90008","100402"
"20","81","2","25001","100403"
"2500","82","2","90008","100404"
"30","83","2","25001","100405"
"300","84","8","91002","100406"
"1","85","2","41000","100407"
"5000000","86","12","94002","100408"
"1000000","87","12","94002","100409"
"1000000","88","12","94002","100410"
"1000000","89","12","94002","100411"
"400","90","2","20004","100412"
"300","91","2","20004","100413"
"200","92","2","20004","100414"
"1000000","93","12","94002","100415"
"1000000","94","12","94002","100416"
"1000000","95","12","94002","100417"
"400","96","2","20004","100418"
"300","97","2","20004","100419"
"200","98","2","20004","100420"
"1000000","99","12","94002","100421"
"1000000","100","12","94002","100422"
"1000000","101","12","94002","100423"
"400","102","2","20004","100424"
"300","103","2","20004","100425"
"200","104","2","20004","100426"
"5000000","105","12","94002","100501"
"2000","106","2","90008","100502"
"20","107","2","25001","100503"
"2500","108","2","90008","100504"
"30","109","2","25001","100505"
"300","110","8","91002","100506"
"1","111","2","41000","100507"
"5000000","112","12","94002","100508"
"1000000","113","12","94002","100509"
"1000000","114","12","94002","100510"
"1000000","115","12","94002","100511"
"400","116","2","20004","100512"
"300","117","2","20004","100513"
"200","118","2","20004","100514"
"1000000","119","12","94002","100515"
"1000000","120","12","94002","100516"
"1000000","121","12","94002","100517"
"400","122","2","20004","100518"
"300","123","2","20004","100519"
"200","124","2","20004","100520"
"1000000","125","12","94002","100521"
"1000000","126","12","94002","100522"
"1000000","127","12","94002","100523"
"400","128","2","20004","100524"
"300","129","2","20004","100525"
"200","130","2","20004","100526"
"5000000","131","12","94002","100601"
"2000","132","2","90008","100602"
"20","133","2","25001","100603"
"2500","134","2","90008","100604"
"30","135","2","25001","100605"
"300","136","8","91002","100606"
"1","137","2","41000","100607"
"5000000","138","12","94002","100608"
"1000000","139","12","94002","100609"
"1000000","140","12","94002","100610"
"1000000","141","12","94002","100611"
"400","142","2","20004","100612"
"300","143","2","20004","100613"
"200","144","2","20004","100614"
"1000000","145","12","94002","100615"
"1000000","146","12","94002","100616"
"1000000","147","12","94002","100617"
"400","148","2","20004","100618"
"300","149","2","20004","100619"
"200","150","2","20004","100620"
"1000000","151","12","94002","100621"
"1000000","152","12","94002","100622"
"1000000","153","12","94002","100623"
"400","154","2","20004","100624"
"300","155","2","20004","100625"
"200","156","2","20004","100626"
"5000000","157","12","94002","100701"
"2000","158","2","90008","100702"
"20","159","2","25001","100703"
"2500","160","2","90008","100704"
"30","161","2","25001","100705"
"300","162","8","91002","100706"
"1","163","2","41000","100707"
"5000000","164","12","94002","100708"
"1000000","165","12","94002","100709"
"1000000","166","12","94002","100710"
"1000000","167","12","94002","100711"
"400","168","2","20004","100712"
"300","169","2","20004","100713"
"200","170","2","20004","100714"
"1000000","171","12","94002","100715"
"1000000","172","12","94002","100716"
"1000000","173","12","94002","100717"
"400","174","2","20004","100718"
"300","175","2","20004","100719"
"200","176","2","20004","100720"
"1000000","177","12","94002","100721"
"1000000","178","12","94002","100722"
"1000000","179","12","94002","100723"
"400","180","2","20004","100724"
"300","181","2","20004","100725"
"200","182","2","20004","100726"
"5000000","183","12","94002","100801"
"2000","184","2","90008","100802"
"20","185","2","25001","100803"
"2500","186","2","90008","100804"
"30","187","2","25001","100805"
"300","188","8","91002","100806"
"1","189","2","41000","100807"
"5000000","190","12","94002","100808"
"1000000","191","12","94002","100809"
"1000000","192","12","94002","100810"
"1000000","193","12","94002","100811"
"400","194","2","20004","100812"
"300","195","2","20004","100813"
"200","196","2","20004","100814"
"1000000","197","12","94002","100815"
"1000000","198","12","94002","100816"
"1000000","199","12","94002","100817"
"400","200","2","20004","100818"
"300","201","2","20004","100819"
"200","202","2","20004","100820"
"1000000","203","12","94002","100821"
"1000000","204","12","94002","100822"
"1000000","205","12","94002","100823"
"400","206","2","20004","100824"
"300","207","2","20004","100825"
"200","208","2","20004","100826"
"5000000","209","12","94002","100901"
"2000","210","2","90008","100902"
"20","211","2","25001","100903"
"2500","212","2","90008","100904"
"30","213","2","25001","100905"
"300","214","8","91002","100906"
"1","215","2","41000","100907"
"5000000","216","12","94002","100908"
"1000000","217","12","94002","100909"
"1000000","218","12","94002","100910"
"1000000","219","12","94002","100911"
"400","220","2","20004","100912"
"300","221","2","20004","100913"
"200","222","2","20004","100914"
"1000000","223","12","94002","100915"
"1000000","224","12","94002","100916"
"1000000","225","12","94002","100917"
"400","226","2","20004","100918"
"300","227","2","20004","100919"
"200","228","2","20004","100920"
"1000000","229","12","94002","100921"
"1000000","230","12","94002","100922"
"1000000","231","12","94002","100923"
"400","232","2","20004","100924"
"300","233","2","20004","100925"
"200","234","2","20004","100926"
