0e0fe197a2dfab2ef0d8c0f0d83ca1425407ffa6f5e71e84095cd0cd114e09cc,47515b32c0c27470d5fdd33b1557615c21c2151d96fca632762f2b27846d98f2,67c78332f123705f335b9f39f398ba956909cd079b6eaffd756a1aed74024c05,5a15e87aaabc2c7079cc3f357bac733050e1bbc5af3bb79fcd08615b3e8dbcec,bac441eedcd41305b3683a7bfc028c3761b842721e7e297bf023ba4f69df9eb7,261c3b3f376066b651e143c37d91f3700610b0d87f10f6c86f93b744ee909f52,4b11471b113f5e36b32a52957a98a2f9eb74c4fe5325163c62160936ea4e8c4f,8771a1d4aa2850e1f8913f240127451e6e50f2f05c7c64beb7765334b078fb21,db96fb65c351f5bfc1c241db93b1295eacce0692d2a14431f4637fdf8015621d,6bbe35410d870b2b9c9f24ecc72a765d5d05b8b05c432af78ddc162ac35d8a30
"5","0","5","3","進行5次究極鍊成","26031","100","260311020","22","1001"
"10","0","5","3","進行10次究極鍊成","26031","200","260311021","22","1002"
"30","0","5","3","進行30次究極鍊成","26031","300","260311022","22","1003"
"50","0","5","3","進行50次究極鍊成","26031","400","260311023","22","1004"
"70","0","5","3","進行70次究極鍊成","26031","500","260311024","22","1005"
"100","0","5","3","進行100次究極鍊成","26031","1000","260311025","22","1006"
"10","0","5","3","將連結RANK合計提升10","26031","1000","260311026","42","1007"
"100","0","5","3","將角色的等級合計提升100","26031","1000","260311027","56","1008"
"200","0","5","3","將角色的等級合計提升200","26031","2000","260311028","56","1009"
"5","0","5","3","不使用掃蕩，通過5次黎明界迷宮","26031","1000","260311029","55","1010"
"10","0","5","3","不使用掃蕩，通過10次黎明界迷宮","26031","2000","260311030","55","1011"
"1","0","3","1","登入遊戲1次","26041","200","260411001","43","1"
"500","0","3","1","消耗500體力","26041","200","260411002","45","2"
"4","0","3","1","完成合計4次經驗值冒險或瑪那冒險","26041","200","260411003","47","3"
"10","0","3","1","完成10次主線、活動或支線冒險","26041","200","260411004","48","4"
"10","0","3","1","完成10次深域冒險","26041","200","260411005","49","5"
"5","0","5","3","進行5次究極鍊成","26041","100","260411006","22","1001"
"10","0","5","3","進行10次究極鍊成","26041","200","260411007","22","1002"
"30","0","5","3","進行30次究極鍊成","26041","300","260411008","22","1003"
"50","0","5","3","進行50次究極鍊成","26041","400","260411009","22","1004"
"70","0","5","3","進行70次究極鍊成","26041","500","260411010","22","1005"
"100","0","5","3","進行100次究極鍊成","26041","1000","260411011","22","1006"
"10","0","5","3","將連結RANK合計提升10","26041","1000","260411012","42","1007"
"100","0","5","3","將角色的等級合計提升100","26041","1000","260411013","56","1008"
"200","0","5","3","將角色的等級合計提升200","26041","2000","260411014","56","1009"
"5","0","5","3","不使用掃蕩，通過5次黎明界迷宮","26041","1000","260411015","55","1010"
"10","0","5","3","不使用掃蕩，通過10次黎明界迷宮","26041","2000","260411016","55","1011"
"1","0","3","1","登入遊戲1次","26051","200","260511001","43","1"
"500","0","3","1","消耗500體力","26051","200","260511002","45","2"
"4","0","3","1","完成合計4次經驗值冒險或瑪那冒險","26051","200","260511003","47","3"
"10","0","3","1","完成10次主線、活動或支線冒險","26051","200","260511004","48","4"
"10","0","3","1","完成10次深域冒險","26051","200","260511005","49","5"
"5","0","5","3","進行5次究極鍊成","26051","100","260511006","22","1001"
"10","0","5","3","進行10次究極鍊成","26051","200","260511007","22","1002"
"30","0","5","3","進行30次究極鍊成","26051","300","260511008","22","1003"
"50","0","5","3","進行50次究極鍊成","26051","400","260511009","22","1004"
"70","0","5","3","進行70次究極鍊成","26051","500","260511010","22","1005"
"100","0","5","3","進行100次究極鍊成","26051","1000","260511011","22","1006"
"10","0","5","3","將連結RANK合計提升10","26051","1000","260511012","42","1007"
"100","0","5","3","將角色的等級合計提升100","26051","1000","260511013","56","1008"
"200","0","5","3","將角色的等級合計提升200","26051","2000","260511014","56","1009"
"5","0","5","3","不使用掃蕩，通過5次黎明界迷宮","26051","1000","260511015","55","1010"
"10","0","5","3","不使用掃蕩，通過10次黎明界迷宮","26051","2000","260511016","55","1011"
