57fa6cffda50325374ffa8a120c9077a29907daf1091d913a6c79ee199d5b662,71331ba954becc44071b9122f11a3feb21f3d12ca4a31b63d03f339e5bdf8bd8,806a8530a885f12f0738f2c553d16a1a1d0f99df232c0b67b1ae42ee91e0ab82,2ac8a6a660133594d2a0c1d89f6c2b83ed3e3642b0147e6475ac8795b36dd0b3,f1c7f3ab19404f3e0dc718886b766e11194352708d1f3cef446150de5a57538d
"2021/08/02 16:00:00","519","2021/08/20 15:59:59","27001","27003"
"2022/02/01 16:00:00","550","2022/02/22 15:59:59","27001","27004"
"2022/05/02 16:00:00","571","2022/05/23 15:59:59","27001","27005"
"2022/08/01 16:00:00","572","2022/08/20 15:59:59","27005","27006"
"2023/01/20 16:00:00","575","2023/02/10 15:59:59","27001","27007"
"2023/05/11 16:00:00","609","2023/05/26 15:59:59","27001","27008"
"2023/08/01 16:00:00","616","2023/08/20 15:59:59","27005","27009"
"2023/09/01 16:00:00","626","2023/09/26 15:59:59","27009","27010"
"2024/02/07 16:00:00","632","2024/02/25 15:59:59","27001","27011"
"2024/05/01 16:00:00","641","2024/05/22 15:59:59","27012","27013"
"2024/08/15 16:00:00","649","2024/09/03 15:59:59","27005","27014"
"2024/10/01 00:00:00","656","2024/10/31 23:59:59","27012","27015"
"2025/02/01 00:00:00","664","2025/02/27 23:59:59","27012","27016"
"2025/05/01 00:00:00","674","2025/05/25 23:59:59","27012","27018"
