88b6a6a0c5e93db3365c882a187c9b74f17b9a867f5ff1cdc56ea46d2fc5e26b,aa0b641379f31aedb011572b80e848acdd7774682f22368d92d6d096a6912329,849c3d704967abf7fa14140e483044ab7417399241c371fa11e17bc3a11d9d8e,c137aac8eeca152f3400de658051f26c72376872392dc2a281b624e77564e210,54456d9e04f3fb5de2db3ffc2af01c48a47d5d2b016c56bdb58dbc95fd3c20ac,d01c2f6a96e7fe7725b62459bffaefe3acc726c27709daccd4c31be9ba3857a0,ce1734f7b40a695030f579b62961d0a99ea686d6a99b4ad530ec5f46464d5472,c9d32584fbae3d42d1e83c189a012a3f50879b720973f563163d4fd68dfeeda1,9cada511553449cbd7a7ac51a33dae63a4b2e3996045ad466cbe9daaa898c139,49db42f747e40044310800848a8ee7a65a35474f7445df3be027c7f623eb615c,a4cdf583c71c313fb71f11661a3cd8d8aeda825f1108f58b82dcd7cf1dd31a8c,656005380fd955eeda90956af370209427e33c1687ed96b94d2677a94abfc83a,75b5941626f81d4ea862c9c037b9411781f005f8291a058df18e226149a6b700,beff47345460d6ff44585029cc345f0e0a02f83ed8d36cf8eb8e55db38f85fa0,59767d02ad6ecb15805390bb5e206ef47a277440e7feafd27a48f87388fe3004,890eda64a2fb42caea63462f553007342f75f464773876f76e9918b04dcc1909,3650203d9dac983217b7c103bd9c042f61eeeba9a7ab500c99e51b6274aadca6,433cb6e9ad3a9cdf5cf00f8e75c3955e4a8e83c5be076cbe18b24a3231e7563d,42404fd340f994a1c297a70a82139774c2ea76246b6f420c07337e47abefbe43,70da90f8eb4dc6eef26afaf0e94f65d9d10e82abcfaf0d71d82239a171c36486,b272b6555a99bf5d94efb73398b1374e4a8f5b78e6273b4220cbc16cc7d617cf,601ccb9f6c13d6f547021c1920dc0baa4a3295ce164122988ef09606c4ce5780,b0717f369d67a7076ebce3b9d1e344a300ab232e907c7f82ff0d2c2a08bb4f70,d6103c714d62e442df50c75d9cc691a1905333ce49a0c8d653c641fb36b3c8a4,1ba880a179c5362db6d7949b7d69cec6341455649c51e7ba31915b35ec215a44,62c0b2a011db4ac49af8a41ec4b55863085a3c7b0a6304c01da0d173fa67ad6c,7a3179ea09410ef4ef07d176b3714fb2161787530d0c781a720e152ae62d1a33
"0","0","2010100","0","0","公主突襲車１號","0","0","0","0","0","0","0","0","0","2010100","0","101","1","0","0","201010","1","0","3010100","1010101","1"
"0","0","2010100","0","0","深淵戰車Mk－１","0","0","0","0","0","0","0","0","0","2020100","0","405","2","0","0","201020","1","0","3050101","1040101","2"
"0","0","2040100","0","0","第一可可蘿丸","0","0","0","0","0","0","0","0","0","2040100","0","315","3","0","0","201030","1","0","3040100","1030101","3"
"0","0","2020100","0","0","冰龍加速‧一重","0","0","0","0","0","0","0","0","0","2020100","0","211","4","0","0","201040","1","0","3020101","1020101","4"
"0","0","2040100","0","0","勇往直前號‧壹式","0","0","0","0","0","0","0","0","0","2040100","0","106","5","0","0","201050","1","0","3030101","1010101","5"
"0","0","2020100","0","0","小槌子亂揮１號","0","0","0","0","0","0","3040101","0","0","2020100","0","506","6","0","0","201060","1","0","0","1050101","6"
"0","0","2020100","0","0","大章魚燒丸‧阿爾法","0","0","0","0","0","0","0","0","0","2010100","0","315","7","0","0","201070","1","0","3010101","1030101","7"
"0","0","2040100","4030102","0","火箭戰車α","0","0","0","0","0","0","0","2040100","4030102","0","0","310","8","0","0","201080","1","0","3010102","1030101","8"
"0","0","0","0","0","創雷夜轉‧第一位階","0","0","0","10501100","0","0","3010100","0","0","0","0","501","9","0","0","201090","1","0","3010100","1050101","9"
"0","0","2030100","4020102","0","真摯維拉１","0","0","0","0","0","0","0","0","0","2030100","20301010","102","10","0","0","201100","1","0","3030101","1010101","10"
"0","0","0","0","0","垃圾維拉１","0","0","0","0","0","0","0","0","0","2030100","20301010","103","11","0","0","201110","1","0","3010101","1010101","11"
"0","0","2020100","4030102","0","青銅翻滾","0","0","0","0","0","0","0","0","0","2020100","20201010","313","12","0","0","201120","1","0","3040101","1030101","12"
"0","0","2040100","0","0","耕耘機α","20401030","30202015","0","10201050","0","0","0","0","0","2030100","20301030","210","13","0","0","201130","1","0","3020102","1020101","13"
"0","0","2020100","0","0","萬化黑鐵‧壹式","20201010","30502015","0","10401075","0","0","0","2020100","0","2020100","20201010","406","14","0","0","201140","1","20201010","3050102","1040101","14"
"0","0","2040200","0","0","公主突襲車２號","0","0","0","0","0","0","0","0","0","2020200","0","101","15","0","0","201150","2","0","3010201","1010201","15"
