d9ab6b7f565204a344b15b6c7011b25ad8a76108278e8b1c0e71f67646fd0293,f079d60f6ec1c420932017c141c1559817704a55e300f4a0814b8494ba47fade,e6ae36974ae422cc2ec66470d1eafc7ba5f57f65ecc68b6a13874a148e0be50f,3301b7de4ffb3f8e6e9c2c398be74399c68d03f5561dd973097fd7cf9a2bea36
"1004601","1","1004601","5046601"
"1004801","1","1004801","5048007"
"1004802","2","1004802","1004801"
"1005601","1","1005601","5056601"
"1006101","1","1006101","5061601"
"1006102","3","1006102","5061602"
"1006103","1","1006103","5061601"
"1006601","4","1006601","5027704"
"1007001","5","1007001","0"
"1007301","1","1007301","5046601"
"1007501","1","1007501","5048007"
"1007502","2","1007502","1004801"
"1008201","6","1008201","0"
"1008301","1","1008301","5056601"
"1008901","1","1008901","5061601"
"1008902","3","1008902","5061602"
"1008903","1","1008903","5061601"
"1009201","3","1009201","5092601"
"1010001","3","1010001","5100601"
"1010201","3","1010201","5100601"
"1010901","6","1010901","0"
"1011901","3","1011901","5092601"
"1012701","3","1012701","5100601"
"2003201","1","2003201","5056601"
