09b27d28be2013c667c2c55b8821757dcdec3b6ab11e163e1bf0529f9523bf85,bc7ea8c852d67fb0225926e1ce0c40aab75c6b1524e4126e22110a77fab4f91e,59af9c601fe12a125bd75a1286b2b0d48b3be91277db33e8c539d598f0415aba,3b091a2885ee3a36bfb43cbf26c0759c1be2b521552e52ae8ed8f3f1b4251523,46479b2247e32c1171dcb67904de4930a27600911304c97910fd10255758062a,d0772febafa1ed781001c7a27368d3ae9c491e2404a76ffc65f15f41066617c1,6f00681d7b1e211bcd83fbb03b7afd213865522787576f52441ca3a71674b816,1620d83e0910decb386af7a73b8ecc0a59235966ecdc67c950bbd94b9aee43ae,8fc8277165a5481ab7bacafb258dab3d9c0c018c1df439d71c9e551efdbb57a1,0a6524bdf435c2ab6f84b48808961a8b13559d0cc2f3d2cebf11cd0b64eb1fda,b1bad0a837bc30b375621c2a3757300aafad6824d0ca6f8d3464a097b944e2cf,630bf9f61255c10e6925a42122c5f3c7e6e0ae5b95a1f596f107da9543dc5288,dedd9d3790b3d9c2c6d8958817604dcd521376284ca9caef111ec5b917d72a72
"2","10000101","0","倭","0","提升攻擊力15％、\n提升攻擊速度10％。","100001","0","0","0","130011","小幅度提升攻擊力跟攻擊速度","2210101"
"2","10000201","0","若菜","0","提升最大HP15％、\n提升攻擊速度10％。","100002","0","0","0","130111","小幅度提升最大HP跟攻擊速度","2210201"
"2","0","0","布武機","0","戰鬥開始３秒內，\n使敵人的移動速度與攻擊速度下降15％。","100003","0","0","0","130211","小幅度降低敵人的移動速度與攻擊速度","2210301"
"2","10000401","0","貪吃佩可","1","提升最大HP25％。","100004","0","0","0","105811","中幅度提升最大HP","0"
"2","0","0","凱留","2","戰鬥開始３秒內，\n使敵人的移動速度下降25％。","100005","0","0","0","106011","中幅度降低敵人的移動速度","2210501"
"2","10000601","0","可可蘿","3","提升COST上限50％。","100006","0","0","0","105911","大幅度提升COST","0"
"3","0","0","雪菲","4","提升移動速度25％。","100007","0","0","0","106411","中幅度提升移動速度","2210701"
"2","10000801","0","莉莉","5","提升攻擊力15％、\n提升移動速度10％。","100008","0","0","0","131311","小幅度提升攻擊力跟移動速度","2210801"
"2","10000901","0","可璃亞","6","提升最大HP15％、\n提升移動速度10％。","100009","0","0","0","131411","小幅度提升最大HP跟移動速度","2210901"
"2","10001001","0","普蕾西亞","7","提升COST上限25％、\n提升移動速度10％。","100010","0","0","0","131511","小幅度提升COST上限跟移動速度","2211001"
"2","10001101","0","克蘿茜","8","提升攻擊力10％，\n戰鬥開始３秒內，提升攻擊速度15％。","100011","0","0","0","126411","小幅度提升攻擊力跟攻擊速度","2211101"
"3","0","0","萊拉耶爾","9","戰鬥開始３秒內，\n提升攻擊力25％。","100012","0","0","0","126511","中幅度提升攻擊力","2211201"
"2","0","0","琳德","10","戰鬥開始３秒內，提升攻擊速度10％，\n然後提升攻擊力25％。","100013","0","0","0","127711","提升攻擊速度跟攻擊力","2211301"
"2","0","0","烏爾姆","11","戰鬥開始３秒內，\n使自身的攻擊速度下降10％，\n然後使敵人的攻擊力下降25％。","100014","0","0","0","127811","降低自身的攻擊速度與敵人的攻擊力","2211401"
"3","10001501","0","庫露露","12","提升COST上限25％、\n提升HP15％。","100015","10001502","0","0","130911","小幅度提升COST上限跟HP","0"
"2","0","0","安涅默涅","13","降低敵人的攻擊力跟攻擊速度10％。","100016","0","0","0","129611","小幅度降低對方的攻擊力跟攻擊速度","2211601"
"3","0","0","涅妃‧涅羅","14","戰鬥開始1.5秒內，\n使敵人的移動速度下降50％。","100017","0","0","0","129711","大幅度降低對方的移動速度","2211701"
"1","0","0","倭","0","剩餘HP在50％以下時發動。\n在３秒間射出斬擊，造成大幅度傷害。","101001","0","0","1","130011","射出斬擊攻擊敵人","3110101"
"1","0","0","若菜","0","剩餘HP在70％以下時發動。\n尖刺兄弟會出現，要是撞到敵人\n會造成小幅度傷害，將其擊飛。","101002","0","0","1","130111","尖刺兄弟撞飛敵人","3110201"
"1","0","0","布武機","0","戰鬥開始３秒後發動。\n封鎖敵人的移動與攻擊１秒。","101003","0","0","1","130211","封鎖敵人的移動與攻擊１秒","2110301"
"2","20101001","0","貪吃佩可","0","提升最大HP15％。","201010","0","0","1","105811","提升最大HP","0"
"2","0","0","凱留","0","戰鬥開始３秒內，\n使敵人的移動速度下降15％。","201020","0","0","1","106011","降低敵方的移動速度","2220201"
"2","20103001","0","可可蘿","0","提升COST上限50％。","201030","0","0","1","105911","提升COST上限","0"
"3","0","0","雪菲","0","提升移動速度15％。","201040","0","0","1","106411","提升移動速度","2220401"
"2","20105001","0","莉莉","0","提升攻擊力25％、\n提升移動速度10％。","201050","0","0","1","131311","提升攻擊力跟移動速度","2220501"
"2","20106001","0","可璃亞","0","提升最大HP25％、\n提升移動速度10％。","201060","0","0","1","131411","提升最大HP跟移動速度","2220601"
"2","20107001","0","普蕾西亞","0","提升COST上限25％、\n提升移動速度10％。","201070","0","0","1","131511","提升COST上限跟移動速度","2220701"
"2","20108001","0","克蘿茜","0","提升攻擊力25％，\n戰鬥開始３秒內，提升攻擊速度15％。","201080","0","0","1","126411","提升攻擊力跟攻擊速度","2220801"
"3","0","0","萊拉耶爾","0","戰鬥開始３秒內，\n提升攻擊力25％。","201090","0","0","1","126511","提升攻擊力","2220901"
"2","0","0","琳德","0","戰鬥開始３秒內，提升攻擊速度10％，\n然後提升攻擊力15％。","201100","0","0","1","127711","提升攻擊速度跟攻擊力","2221001"
"2","0","0","烏爾姆","0","戰鬥開始３秒內，\n使自身的攻擊速度下降10％，\n然後使敵人的攻擊力下降15％。","201110","0","0","1","127811","降低自身的攻擊速度與敵人的攻擊力","2221101"
"3","20112001","0","庫露露","0","提升COST上限25％、\n提升HP50％。","201120","20112002","0","1","130911","提升COST上限跟HP","0"
"2","0","0","安涅默涅","0","降低敵人的攻擊力跟攻擊速度10％。","201130","0","0","1","129611","降低對方的攻擊力跟攻擊速度","2221301"
"3","0","0","涅妃‧涅羅","0","戰鬥開始1.5秒內，\n使敵人的移動速度下降25％。","201140","0","0","1","129711","降低對方的移動速度","2221401"
"2","20115001","0","貪吃佩可","0","提升最大HP３0％。","201150","0","0","1","105811","提升最大HP","0"
"2","0","0","凱留","0","戰鬥開始３秒內，\n使敵人的移動速度下降20％。","201160","0","0","1","106011","降低敵方的移動速度","2221601"
"2","20117001","0","可可蘿","0","提升COST上限75％。","201170","0","0","1","105911","提升COST上限","0"
"3","0","0","雪菲","0","提升移動速度20％。","201180","0","0","1","106411","提升移動速度","2221801"
"2","20119001","0","莉莉","0","提升攻擊力50％、\n提升移動速度15％。","201190","0","0","1","131311","提升攻擊力跟移動速度","2221901"
"2","20120001","0","可璃亞","0","提升最大HP50％、\n提升移動速度15％。","201200","0","0","1","131411","提升最大HP跟移動速度","2222001"
"2","20121001","0","普蕾西亞","0","提升COST上限３0％、\n提升移動速度15％。","201210","0","0","1","131511","提升COST上限跟移動速度","2222101"
"2","20122001","0","克蘿茜","0","提升攻擊力50％，\n戰鬥開始３秒內，提升攻擊速度20％。","201220","0","0","1","126411","提升攻擊力跟攻擊速度","2222201"
"3","0","0","萊拉耶爾","0","戰鬥開始３秒內，\n提升攻擊力３0％。","201230","0","0","1","126511","提升攻擊力","2222301"
"2","0","0","琳德","0","戰鬥開始３秒內，提升攻擊速度15％，\n然後提升攻擊力20％。","201240","0","0","1","127711","提升攻擊速度跟攻擊力","2222401"
"2","0","0","烏爾姆","0","戰鬥開始３秒內，\n使自身的攻擊速度下降10％，\n然後使敵人的攻擊力下降20％。","201250","0","0","1","127811","降低自身的攻擊速度與敵人的攻擊力","2222501"
"3","20126001","0","庫露露","0","提升COST上限３0％、\n提升HP50％。","201260","20126002","0","1","130911","提升COST上限跟HP","0"
"2","0","0","安涅默涅","0","降低敵人的攻擊力跟攻擊速度15％。","201270","0","0","1","129611","降低對方的攻擊力跟攻擊速度","2222701"
"3","0","0","涅妃‧涅羅","0","戰鬥開始1.5秒內，\n使敵人的移動速度下降３5％。","201280","0","0","1","129711","降低對方的移動速度","2222801"
"2","20129001","0","莉莉","0","提升攻擊力50％、\n提升移動速度20％。","201290","0","0","1","131311","提升攻擊力跟移動速度","2222901"
"2","0","0","琳德","0","戰鬥開始３秒內，提升攻擊速度20％，\n然後提升攻擊力50％。","201300","0","0","1","127711","提升攻擊速度跟攻擊力","2223001"
"2","20131001","0","貪吃佩可","0","提升最大HP50％。","201310","0","0","1","105811","提升最大HP","0"
"2","0","0","凱留","0","戰鬥開始３秒內，\n使敵人的移動速度下降25％。","201320","0","0","1","106011","降低敵方的移動速度","2223201"
"2","20133001","0","可可蘿","0","提升COST上限100％。","201330","0","0","1","105911","提升COST上限","0"
"3","0","0","雪菲","0","提升移動速度25％。","201340","0","0","1","106411","提升移動速度","2223401"
"2","20135001","0","莉莉","0","提升攻擊力50％、\n提升移動速度20％。","201350","0","0","1","131311","提升攻擊力跟移動速度","2223501"
"2","20136001","0","可璃亞","0","提升最大HP50％、\n提升移動速度20％。","201360","0","0","1","131411","提升最大HP跟移動速度","2223601"
"2","20137001","0","普蕾西亞","0","提升COST上限50％、\n提升移動速度20％。","201370","0","0","1","131511","提升COST上限跟移動速度","2223701"
"2","20138001","0","克蘿茜","0","提升攻擊力50％，\n戰鬥開始３秒內，提升攻擊速度25％。","201380","0","0","1","126411","提升攻擊力跟攻擊速度","2223801"
"3","0","0","萊拉耶爾","0","戰鬥開始３秒內，\n提升攻擊力３5％。","201390","0","0","1","126511","提升攻擊力","2223901"
"2","0","0","琳德","0","戰鬥開始３秒內，提升攻擊速度20％，\n然後提升攻擊力25％。","201400","0","0","1","127711","提升攻擊速度跟攻擊力","2224001"
"2","0","0","烏爾姆","0","戰鬥開始３秒內，\n使自身的攻擊速度下降10％，\n然後使敵人的攻擊力下降25％。","201410","0","0","1","127811","降低自身的攻擊速度與敵人的攻擊力","2224101"
"3","20142001","0","庫露露","0","提升COST上限50％、\n提升HP50％。","201420","20142002","0","1","130911","提升COST上限跟HP","0"
"2","0","0","安涅默涅","0","降低敵人的攻擊力跟攻擊速度20％。","201430","0","0","1","129611","降低對方的攻擊力跟攻擊速度","2224301"
"3","0","0","涅妃‧涅羅","0","戰鬥開始1.5秒內，\n使敵人的移動速度下降75％。","201440","0","0","1","129711","降低對方的移動速度","2224401"
"2","20145001","0","貪吃佩可","0","提升最大HP100％。","201450","0","0","1","105811","提升最大HP","0"
"2","20146001","0","可可蘿","0","提升COST上限100％。","201460","0","0","1","105911","提升COST上限","0"
"2","20147001","0","莉莉","0","提升攻擊力75％、\n提升移動速度３0％。","201470","0","0","1","131311","提升攻擊力跟移動速度","2224701"
"3","0","0","萊拉耶爾","0","戰鬥開始３秒內，\n提升攻擊力75％。","201480","0","0","1","126511","提升攻擊力","2224801"
"3","0","0","涅妃‧涅羅","0","戰鬥開始1.5秒內，\n使敵人的移動速度下降90％。","201490","0","0","1","129711","降低對方的移動速度","2224901"
"2","20150001","0","貪吃佩可","0","提升最大HP200％。","201500","0","0","1","105811","提升最大HP","0"
