6da6bc580a98b511bc88d3b7b0a5439a987743d2fea69b0aaab0e0b75b2491fc,cc6083b6c149ce7447eb2df2e0e0dfa8718426ba52df7f2b130f6e4f17f108c3,d2beb2275fb938dbf9ed6c33e6ca1c09d9abe8a1d20507195224baa9d2468201,8d0b4f57d5582cfa5324be9bcc9819a76d02a1a9beb53ee125a3d9ea558e9dcf,e3b91ec8ee599db5f503102c5284ba49908f180f9a357239113d826707030277,1cd884ae60a6111a6fcc880b2f0bfed3ff50bc89fddc8b43819000344a3daa8c,5740b64711dac6ff58f4e06f20d1de80b8dcbfa6f18b7b28bd546fbf3a99393f,0e6f5c87fd7a51980302d4b35358625787d783662780841f5c89bb0a62cfb1fc
"1","1","0","0","0","0","0","0"
"2","2","0","0","0","0","0","0"
"3","3","0","0","0","0","0","0"
"4","4","0","0","0","0","0","0"
"5","5","0","0","0","0","0","0"
"6","6","0","0","0","0","0","0"
"7","7","0","0","0","0","0","0"
"8","8","0","0","0","0","0","0"
"9","0","1","0","0","0","0","0"
"10","0","0","1","0","0","0","0"
"11","11","0","0","0","0","0","0"
"12","12","0","0","0","0","0","0"
"13","0","0","0","1","0","0","0"
"14","0","0","0","0","0","0","0"
"15","0","0","0","0","0","0","0"
"16","0","0","0","0","1","0","0"
"17","0","0","0","0","0","10056","0"
"18","0","0","0","0","0","0","0"
"19","19","0","0","0","0","0","0"
"20","0","0","0","0","0","10061","0"
"21","0","0","0","0","0","0","0"
"22","0","0","0","0","0","0","0"
"23","0","0","0","0","0","0","23"
"24","0","0","0","0","0","0","0"
"25","25","0","0","0","0","0","0"
"26","0","0","0","0","0","10088","0"
"27","0","0","0","0","0","10102","0"
"28","28","0","0","0","0","0","0"
"29","0","0","0","0","0","30001","0"
