90005673452b43e8cf60c32e9982ddf23bde3286933d50a701c8552630716015,d0628bdf714dd900ef7e2cf1de4514bd8b3c536ab9cb9b6679a04fabe1a329e0,c66153d5dab9aa878e3ed9ee71b55e85167635e0d15bfcd620bf0af79dd5ea9e,a1eba792989406e3f364aea79d03f6ae83fd38086b0ca592ba273e72068da0b6,cd18038b3231f5f59d952676a1e3eb923532b682bad3fafbff3698e41a765bfc,46a0a933716bbad28b86bacd2bfcf17c51231f02cb18cf25ee985505812ab7a9,36f05ce04be27ff250d3dd98ed75fab97347aae03e658468e81420f78f8a9827,1c90348851ab83fcb35566516e18dce3610f719835f85bd8af8c86bff05f2d48,4ad316cb9ebf005f8adc9059d3888ee2fca8115bc40a08788508a2c4b035e872,0d02e7d570dba03bede19482de9f3854c564b976d14e89e499e9cf9da5102e9a,567dcc10c5613563a9f25847c480646028674c113248ac6f166ba00eac257b44,aec0b4dadac28d3eb88f95347c7b9abbb1e2a20c8377a9ffcaa7eabd9c516b0c,db40d61480e683b3ca824295d11284de2dcd5f7cc48ca20cc1296d11964c170c,5cd89c99c327de83a85f20c7c33397b1c09dd2ce932ae23399e63f99f402b98a,c2cebecbd519956dc16ff60d36c6957d9cb4b8bb42bb20c9702c473171d2f8d6,d203f943b1b205e79bb585cadab7572cfb3a994a5eb03626d8cd1641795f11ee,cdabd63422d6eed5905bcbd5a9c632281700911509243510fed21d72fecbc707,65593cfa0349bbf053419dcf2f50b28701992b7ce63173d5228c8acc093ee27a,c8473dd48dba489eb7db8756dcd88673041ac9044c41f5dd8f46bcbde0c7f14a,2f5839d7cc74f4636eaa62cfadfd36b97462e1bb64581c0325b814b2e9bb747f,e8e360cfd2c14f6bdabbc153a3a515db446385fb634f2d049dc3894c5a854af2,3e10eb0dca1b0fbad9b99c5e7ab63761216fab2ce74837baee89cf3da4045ef1,28520b69f4aa9e959b8b264ff5441d4470af593bde6f03b7c2ce6d6603b0aac4,5130abf177a16c6128f1b3423957a890717f50a4cc99f15e7f7c6818b7e6ce0b,7e5e69d7c8bf683d6ecb4e669705730a4fa6046ecb73c603218020fb7b72c487,102624d944d8447329fa42f74bfac2ec6c35d3ad3c3f709a21a73ca9f131067e,c4373db06d279fe1fe11ed953bd5b12788ec3db669842181b6d57bc394b3c362,a47b22464005d915ae86fd3b972373ccf60a102b2aa9cf9303554b5597247bd0,0eda1f95d19ed3a29da32ba773c810f18a52cb3f4e2dc7338ba75328f5dd8e73,5c7364517f359a78355895604888fcef82b058d7142b559cdad993832a84d8b2,c41d10f78d124e3b856e6914c1e768abba6de4ef97d11888df18d65f8da966eb,699b215764d48a82743713b39c665c1fa362669c8da441b3457883ab6e61b006,6e097627ffead13c4e8368d5a7587fcb43a4e5dde89dfee2d0311813802f29bb,e2e1fcbed8d00b577c63fcfac8b3890fdd10e7c85c7c40ad6ba33a3f9ad6e4fd,73aabf4e31b308a6c071ca2822df518c54f81567881e59fc09813950a612c6e3,a10a01537d4db4affaea54f1a63dc17ccd1bdcc94223011cf91e7ba760f13f58,d47860ad1a6fcaffed39d17c227a4df833d1cf030ef5239535edcd098e235987,fe67fec8b775b20fb7d59ba66bf3f63dabdec1aae0f4ac78a23fb73c271c3398,df8a0c779f3ac3a4dd8d040299408fabeef50545557e177679e0ddc0e1d51394,06df5b9cae8dc6e710c9ede152183bdc1dadc27f6ec7986427ef81fbb2ededde,14246209156bfb759816c8903ebf8cc7a6e620160b0e358f823ed5ea92645064,ce8ddb49182423eb30ca92c0a1c714f0e997b3821194ceab82d6e550bf0bbd2f,ed9a9e52f9e9d98ee0f285fef4850fa315c8bebe73c411b84306517ecec1119f,c3558b36d029d19b40c977cb1d1bac25fae1649b3a8ed2f637aa1ec101663c44
"1.1","1","0.03","0","10010102","1001","401010051","1","710011","0","1001102","0","1001101","100000","401010021","1.1","1001103","0","10010101","0","1","10010105","0","1","1001105","401010031","0","1001104","10010104","0","0","0","1.2","1","401010011","1","1","1","0","401010041","1","0","0","10010103"
"1.7","1.2","0.06","0","10010102","1001","401010051","1","710011","0","1001107","0","1001106","100000","401010021","1.5","1001108","0","10010101","0","2","10010105","0","2","1001110","401010031","0","1001109","10010104","0","0","0","2","1","401010011","1","-1","1.2","0","401010041","2","0","0","10010103"
"1.1","1","0.03","0","10020102","1002","401020051","1","710021","0","1002102","0","1002101","100000","401020021","1.1","1002103","0","10020101","0","3","10020105","0","1","1002105","401020031","0","1002104","10020104","0","0","0","1.2","1","401020011","1","1","1","0","401020041","1","0","0","10020103"
"1.7","1.2","0.06","0","10020102","1002","401020101","1","710021","0","1002107","0","1002106","100000","401020071","1.5","1002108","0","10020101","0","4","10020105","0","2","1002110","401020081","0","1002109","10020104","0","0","0","2","1","401020061","1","-1","1.2","0","401020091","2","0","0","10020103"
"1.1","1","0.03","0","10030102","1003","401030051","1","710031","0","1003102","0","1003101","100000","401030021","1.1","1003103","0","10030101","0","5","10030105","0","1","1003105","401030031","0","1003104","10030104","0","0","0","1.2","1","401030011","1","1","1","0","401030041","1","0","0","10030103"
"1.7","1.2","0.06","0","10030102","1003","401030101","1","710031","0","1003107","0","1003106","100000","401030071","1.5","1003108","0","10030101","0","6","10030105","0","2","1003110","401030081","0","1003109","10030104","0","0","0","2","1","401030061","1","-1","1.2","0","401030091","2","0","0","10030103"
"1.1","1","0.03","0","10040102","1004","401040051","1","710041","0","1004102","0","1004101","100000","401040021","1.1","1004103","0","10040101","0","7","10040105","0","1","1004105","401040031","0","1004104","10040104","0","0","0","1.2","1","401040011","1","1","1","0","401040041","1","0","0","10040103"
"1.7","1.2","0.06","0","10040102","1004","401040101","1","710041","0","1004107","0","1004106","100000","401040071","1.5","1004108","0","10040101","0","8","10040105","0","2","1004110","401040081","0","1004109","10040104","0","0","0","2","1","401040061","1","-1","1.2","0","401040091","2","0","0","10040103"
"1.1","1","0.03","0","10050102","1005","401040151","1","710051","0","1004102","0","1004101","100000","401040121","1.1","1004103","0","10050101","0","9","10050105","0","1","1004105","401040131","0","1004104","10050104","0","0","0","1.2","1","401040111","1","1","1","0","401040141","1","0","0","10050103"
"1.7","1.2","0.06","0","10050102","1005","401040201","1","710051","0","1004107","0","1004106","100000","401040171","1.5","1004108","0","10050101","0","10","10050105","0","2","1004110","401040181","0","1004109","10050104","0","0","0","2","1","401040161","1","-1","1.2","0","401040191","2","0","0","10050103"
"1.3","1","0.03","0","10060102","1006","401040251","1","710061","0","1004102","0","1004101","100000","401040221","1.3","1004103","0","10060101","0","11","10060105","0","1","1004105","401040231","0","1004104","10060104","0","0","0","1.5","1","401040211","1","1","1","0","401040241","1","0","0","10060103"
"1.8","1.3","0.06","0","10060102","1006","401040301","1","710061","0","1004107","0","1004106","100000","401040271","1.8","1004108","0","10060101","0","12","10060105","0","2","1004110","401040281","0","1004109","10060104","0","0","0","2","1","401040261","1","-1","1.3","0","401040291","2","0","0","10060103"
"1.3","1","0.03","0","10070102","1007","401040351","1","710071","0","1004102","0","1004101","100000","401040321","1.3","1004103","0","10070101","0","13","10070105","0","1","1004105","401040331","0","1004104","10070104","0","0","0","1.5","1","401040311","1","1","1","0","401040341","1","0","0","10070103"
"1.8","1.3","0.06","0","10070102","1007","401040401","1","710071","0","1004107","0","1004106","100000","401040371","1.8","1004108","0","10070101","0","14","10070105","0","2","1004110","401040381","0","1004109","10070104","0","0","0","2","1","401040361","1","-1","1.3","0","401040391","2","0","0","10070103"
