09ee81175cf391a6f0d2d6ec4e3ca4fcccefff4c449fc7b981d11437ebf587aa,ffa3c6e5205c80de18471fd4f7aee39bb18e7dd6092ae7bca9f6f5c8aafe4997,a2831361709be0411975f9324dd2525d0f96631d5ed5a85d307e1fe46225def2,f50bad20f509276006218a57052e09e109e875720008c55bc94bbc5a1c5966cf
"1","18","4301511","1"
"1","18","4301512","2"
"1","18","4301513","3"
"1","18","4301514","4"
"1","18","4301515","5"
"1","2","26202","6"
"2","18","4302511","1"
"2","18","4302512","2"
"2","18","4302513","3"
"2","18","4302514","4"
"2","18","4302515","5"
"2","2","26202","6"
"3","18","4303511","1"
"3","18","4303512","2"
"3","18","4303513","3"
"3","18","4303514","4"
"3","18","4303515","5"
"3","2","26202","6"
"4","18","4304511","1"
"4","18","4304512","2"
"4","18","4304513","3"
"4","18","4304514","4"
"4","18","4304515","5"
"4","2","26202","6"
"5","18","4305511","1"
"5","18","4305512","2"
"5","18","4305513","3"
"5","18","4305514","4"
"5","18","4305515","5"
"5","2","26202","6"
"6","18","4301516","1"
"6","18","4301517","2"
"6","18","4301518","3"
"6","18","4301519","4"
"6","18","4301520","5"
"6","2","26202","6"
"7","18","4302516","1"
"7","18","4302517","2"
"7","18","4302518","3"
"7","18","4302519","4"
"7","18","4302520","5"
"7","2","26202","6"
"8","18","4303516","1"
"8","18","4303517","2"
"8","18","4303518","3"
"8","18","4303519","4"
"8","18","4303520","5"
"8","2","26202","6"
"9","18","4304516","1"
"9","18","4304517","2"
"9","18","4304518","3"
"9","18","4304519","4"
"9","18","4304520","5"
"9","2","26202","6"
"10","18","4305516","1"
"10","18","4305517","2"
"10","18","4305518","3"
"10","18","4305519","4"
"10","18","4305520","5"
"10","2","26202","6"
