74c24d96e8a00926c700fe244a72ac0f97e88cff6528c0210da33821163aef31,9a6537312c57b91a27c07816a8f88e1e1667024337b86f0146d750d7442fb298,44d9f6da33e70b31994a87cfa5093ddd531ea9e3d3e6dc8e3ddf0d9be6f7b29e,6260343797ad1f62846fb571664e9bdca9057b51f81d4369a6b5c82518ee25d4
"100101","0","1001","無法戰鬥的角色為0人以下時獲勝"
"100102","1","1001","無法戰鬥的角色為1人以下時獲勝"
"100103","2","1001","無法戰鬥的角色為2人以下時獲勝"
"100201","74001","1002","戰鬥剩餘時間為1:15以上時獲勝"
"100202","69001","1002","戰鬥剩餘時間為1:10以上時獲勝"
"100203","59001","1002","戰鬥剩餘時間為1:00以上時獲勝"
"100204","49001","1002","戰鬥剩餘時間為0:50以上時獲勝"
"100205","44001","1002","戰鬥剩餘時間為0:45以上時獲勝"
"100206","39001","1002","戰鬥剩餘時間為0:40以上時獲勝"
"100207","29001","1002","戰鬥剩餘時間為0:30以上時獲勝"
"100301","1000","1003","我方的Total HP為100%以上時獲勝"
"100302","900","1003","我方的Total HP為90%以上時獲勝"
"100303","800","1003","我方的Total HP為80%以上時獲勝"
"100304","700","1003","我方的Total HP為70%以上時獲勝"
"100305","600","1003","我方的Total HP為60%以上時獲勝"
"100306","500","1003","我方的Total HP為50%以上時獲勝"
