2bba1388355832f8894357cc225b6c39de9c0a81c46368a7637bf243c470189a,f3d608b72a595c091aaed6c534d56b39d6425f78ba8cc8ee0813a073298e3110,1c004dcfae142b778bd4dc1dbd16f559d2a4fdbc85a11793dc57c5a7a5a97e2c,f372b8545cc8224c885c6646c890a773feeaa4e1cedf374e0b5402b18dae5318,9d62172377b316d95f6e94b445b6712b789d4c5bef230d21be3cc59268c2efa7,f6a4f5f9e6cee7033d37d8bd03b503d66ae66cdc38d64da10ea1b1fa7ec7823f,7545de159cb66b4ee70c000311395b2f3f65f460e3cc1efb8f19df348d4c6390,aebbeb58aed2a3103c9ff7f90561b6fea469e0eba634591c96b525cdf2efebe7,024daeac62f66c02a6f3f329fb18044e5ac93d35006b01df82c76915144323f3,77d8d79822eecee772880399e5f27f4ec726c5162a9211a482c34d925ae07444,652990a47d46dcbd5f69a5a59cbff9c002cef8b429499467507ed20ad0a9a7b8
"0","100","1","1.7","1","1002011","100211","1002011001","0","mhp_sit_idle","0"
"","1","3","0.2","100211","1002011","mhp_sit_talk_memory","1002011002","","",""
"","0","21","","vo_mhp","1002011","vo_mhp_0401","1002011003","","","0"
"0","5","11","0","100211","1002011","好久沒見到\n深月小姐了，\n我有點期待♪","1002011004","0","0","0"
"","","91","","0","1002011","","1002011005","","",""
"","1","3","0.2","100211","1002011","mhp_sit_idle_memory","1002011006","","",""
"0","100","1","1.7","1","1002012","100211","1002012001","0","mhp_sit_idle","0"
"","1","3","0.2","100211","1002012","mhp_sit_talk_sad","1002012002","","",""
"","0","21","","vo_mhp","1002012","vo_mhp_0402","1002012003","","","0"
"0","5","11","0","100211","1002012","唉……如果是什麼\n不好的病，\n我該怎麼辦……","1002012004","0","0","0"
"","","91","","0","1002012","","1002012005","","",""
"","1","3","0.2","100211","1002012","mhp_sit_idle_sad","1002012006","","",""
"0","100","1","1.7","1","1002013","100211","1002013001","0","mhp_sit_idle","0"
"","1","3","0.2","100211","1002013","mhp_yui_sit_talk_wish","1002013002","","",""
"","0","21","","vo_mhp","1002013","vo_mhp_0403","1002013003","","","0"
"0","4","11","0","100211","1002013","診察結果終於……\n我、我緊張到\n心跳加快了……！","1002013004","0","0","0"
"","","91","","0","1002013","","1002013005","","",""
"","1","3","0.2","100211","1002013","mhp_sit_idle_sad","1002013006","","",""
"-240","100","1","1.7","1","1007401","100211","1007401001","0","mhp_idle_normal","-1000"
"-220","100","1","1.7","1","1007401","117531","1007401002","1","mhp_sit_idle","185"
"-200","100","1","1.7","1","1007401","117631","1007401003","1","mhp_sit_idle","365"
"0.85","-240","31","1","1","1007401","1","1007401004","","","-154"
"0.85","-230","31","0","23","1007401","123","1007401005","","","-18"
"-220","110","5","1.7","1","1007401","11","1007401006","0","NoItem","-200"
"-220","105","5","1.7","1","1007401","12","1007401007","0","NoItem","-200"
"-220","110","5","1.7","1","1007401","21","1007401008","1","NoItem","185"
"-220","105","5","1.7","1","1007401","22","1007401009","1","NoItem","185"
"0","1","6","0","11","1007401","1","1007401010","0","","1"
"0","1","6","0","12","1007401","1","1007401011","0","","1"
"0","1","6","0","21","1007401","1","1007401012","0","","1"
"0","1","6","0","22","1007401","1","1007401013","0","","1"
"-220","110","5","1.7","1","1007401","31","1007401014","0","NoItem","-1000"
"","","91","","0","1007401","","1007401015","","",""
"","1","3","0.2","117531","1007401","mhp_sit_talk_normal","1007401016","","",""
"","0","21","","vo_mhp_1007401","1007401","vo_mhp_4001","1007401017","","","0"
"0","7","11","0","117531","1007401","下一位請進～","1007401018","0","0.5","0"
"","","91","","0","1007401","","1007401019","","",""
"","1","3","0.2","117531","1007401","mhp_sit_idle","1007401020","","",""
"","1","3","0.2","100211","1007401","mhp_anna_walk_sad","1007401021","","",""
"0","-220","2","","100211","1007401","-200","1007401022","","","4"
"","1","3","0.2","31","1007401","NoItem","1007401023","","",""
"0","-220","2","","31","1007401","-200","1007401024","","","4"
"","","91","","0","1007401","","1007401025","","",""
"1","0","3","0.2","100211","1007401","mhp_sit_in_sad","1007401026","0.2","","mhp_sit_idle_sad"
"","","93","","1","1007401","","1007401027","","",""
"","1","3","0.2","100211","1007401","mhp_sit_talk_sad","1007401028","","",""
"","0","21","","vo_mhp_1007401","1007401","vo_mhp_4002","1007401029","","","0"
"0","7","11","0","100211","1007401","那、那個……久疏問候，好久不見。","1007401030","0","0.5","1"
"","","91","","0","1007401","","1007401031","","",""
"","1","3","0.2","100211","1007401","mhp_sit_idle_sad","1007401032","","",""
"","1","3","0.2","117531","1007401","mhp_sit_talk_normal","1007401033","","",""
"","0","21","","vo_mhp_1007401","1007401","vo_mhp_4003","1007401034","","","0"
"0","6","11","0","117531","1007401","好久不見，優衣。\n上次見面是在大家\n一起去大江戶町的那時候呢。","1007401035","0","0.5","1"
"","","91","","0","1007401","","1007401036","","",""
"","1","3","0.2","117531","1007401","mhp_sit_idle","1007401037","","",""
"","1","3","0.2","100211","1007401","mhp_sit_talk_memory","1007401038","","",""
"","1","3","0","31","1007401","mhp_yui_sit_talk_memory","1007401039","","",""
"","0","21","","vo_mhp_1007401","1007401","vo_mhp_4004","1007401040","","","0"
"0","3","11","0","100211","1007401","是啊，那時候雖然很辛苦，\n卻過得很開心呢，\n真想再去泡溫泉──\n溫、泉……啊，啊……","1007401041","0","1.5","1"
"","","93","","14","1007401","1","1007401042","","",""
"","1","3","0.2","100211","1007401","mhp_yui_hot","1007401043","","",""
"","1","3","0.2","31","1007401","mhp_yui_hot","1007401044","","",""
"","","32","","123","1007401","1","1007401045","","",""
"","","23","","se_10031400","1007401","se_10031400_love","1007401046","","",""
"","","91","","1007401041","1007401","","1007401047","","",""
"","","93","","3","1007401","0","1007401048","","",""
"","1","3","0.2","117531","1007401","mhp_sit_talk_worry","1007401049","","",""
"","0","21","","vo_mhp_1007401","1007401","vo_mhp_4005","1007401050","","","0"
"0","6","11","0","117531","1007401","怎麼了？妳的臉很紅喔？","1007401051","0","0.5","1"
"","","91","","0","1007401","","1007401052","","",""
"","","32","","123","1007401","0","1007401053","","",""
"","1","3","0.2","117531","1007401","mhp_sit_idle","1007401054","","",""
"","1","3","0.2","100211","1007401","mhp_yui_sit_talk_worry","1007401055","","",""
"","1","3","0.2","31","1007401","NoItem","1007401056","","",""
"","0","21","","vo_mhp_1007401","1007401","vo_mhp_4006","1007401057","","","0"
"0","3","11","0","100211","1007401","關、關於這個，\n我最近經常臉頰突然發燙……\n這是什麼疾病嗎？","1007401058","0","0.5","1"
"","","91","","0","1007401","","1007401059","","",""
"0","1","3","0.2","100211","1007401","mhp_yui_sit_idle_sad","1007401060","","",""
"0","1","3","0.2","117531","1007401","mhp_sit_talk_thinking","1007401061","","",""
"","0","21","","vo_mhp_1007401","1007401","vo_mhp_4007","1007401062","","","0"
"0","4","11","0","117531","1007401","我沒有辦法馬上斷定，\n但那說不定是很嚴重的疾病，\n而且還是不治之症呢。","1007401063","0","0.5","1"
"","","91","","0","1007401","","1007401064","","",""
"","1","3","0.2","117531","1007401","mhp_sit_idle_thinking","1007401065","","",""
"","1","3","0.2","100211","1007401","mhp_yui_sit_talk_sad","1007401066","","",""
"","0","21","","vo_mhp_1007401","1007401","vo_mhp_4008","1007401067","","","0"
"0","8","11","0","100211","1007401","怎麼會……","1007401068","0","0.5","1"
"","","91","","0","1007401","","1007401069","","",""
"","1","3","0.2","100211","1007401","mhp_yui_sit_idle_sad","1007401070","","",""
"","1","3","0.2","117531","1007401","mhp_sit_talk_normal","1007401071","","",""
"","0","21","","vo_mhp_1007401","1007401","vo_mhp_4009","1007401072","","","0"
"0","4","11","0","117531","1007401","一般來說是不會危及性命，\n但要是拖得太久，可就麻煩了，\n所以今天就先──","1007401073","0","0.5","1"
"","","91","","0","1007401","","1007401074","","",""
"","","22","","0","1007401","0","1007401075","","",""
"","0","103","","拿條冷毛巾敷在額頭上。","1007401","1007401079","1007401076","","",""
"","0","103","","放空腦袋好好休息。","1007401","1007401125","1007401077","","",""
"","0","103","","我開個特製的中藥給妳。","1007401","1007401142","1007401078","","",""
"1","0","3","0.2","117531","1007401","mhp_sit_out","1007401079","0","","mhp_idle_normal"
"","","93","","0.6","1007401","0","1007401080","","",""
"1","0","3","0.2","100211","1007401","mhp_sit_out","1007401081","0","","mhp_idle_normal"
"","","93","","0.2","1007401","0","1007401082","","",""
"0","1","3","0.2","100211","1007401","mhp_walk","1007401083","","",""
"0","-220","2","","100211","1007401","35","1007401084","","","1.5"
"0","-220","2","","31","1007401","35","1007401085","","","1.5"
"0","-220","2","","11","1007401","35","1007401086","","","1.5"
"0","-220","2","","12","1007401","35","1007401087","","","1.5"
"","","93","","0.3","1007401","0","1007401088","","",""
"1","0","3","0.2","117531","1007401","mhp_handover_in","1007401089","0","","mhp_handover_loop"
"1","1","6","0","21","1007401","1","1007401090","0","","1"
"1","1","6","0","22","1007401","1","1007401091","0","","1"
"1","0","3","0.2","21","1007401","mhp_handover_in","1007401092","0","","mhp_handover_loop"
"1","0","3","0.2","22","1007401","mhp_item_EX0015_handover_in","1007401093","0","","mhp_item_EX0015_handover_loop"
"","","93","","1.2","1007401","0","1007401094","","",""
"1","0","3","0.2","100211","1007401","mhp_handover_receive_in","1007401095","0","","mhp_handover_receive_loop"
"1","1","6","0","11","1007401","1","1007401096","0","","1"
"1","1","6","0","12","1007401","1","1007401097","0","","1"
"1","0","3","0.2","11","1007401","mhp_receive_yui_in","1007401098","0","","mhp_receive_yui_loop"
"1","0","3","0.2","12","1007401","mhp_item_EX0015_receive_in","1007401099","0","","mhp_item_EX0015_receive_loop"
"","","93","","0.6","1007401","0","1007401100","","",""
"1","1","6","0.4","22","1007401","1","1007401101","0","","1"
"","","93","","0.4","1007401","0","1007401102","","",""
